version,2
info,visteam,TOR
info,hometeam,ANA
info,site,ANA01
info,date,2000/04/10
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,cousd901
info,ump1b,marqa901
info,ump2b,brinj901
info,ump3b,nelsj901
info,pitches,pitches
info,oscorer,munse701
info,temp,72
info,winddir,rtol
info,windspeed,1
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,142
info,attendance,14338
info,wp,schos001
info,lp,carpc002
info,save,
start,stews002,"Shannon Stewart",0,1,7
start,bushh001,"Homer Bush",0,2,4
start,mondr002,"Raul Mondesi",0,3,9
start,delgc001,"Carlos Delgado",0,4,3
start,batit001,"Tony Batista",0,5,5
start,cordm001,"Marty Cordova",0,6,10
start,cruzj004,"Jose Cruz",0,7,8
start,gonza001,"Alex S. Gonzalez",0,8,6
start,casta001,"Alberto Castillo",0,9,2
start,carpc002,"Chris Carpenter",0,0,1
start,erstd001,"Darin Erstad",1,1,7
start,kenna001,"Adam Kennedy",1,2,4
start,vaugm001,"Mo Vaughn",1,3,3
start,salmt001,"Tim Salmon",1,4,9
start,andeg001,"Garret Anderson",1,5,8
start,glaut001,"Troy Glaus",1,6,5
start,spies001,"Scott Spiezio",1,7,10
start,molib001,"Ben Molina",1,8,2
start,gil-b001,"Benji Gil",1,9,6
start,schos001,"Scott Schoeneweis",1,0,1
play,1,0,stews002,11,CBX,9/F9
play,1,0,bushh001,10,BX,3/G
play,1,0,mondr002,30,BBBX,8/F8
play,1,1,erstd001,31,BBBCB,W
play,1,1,kenna001,10,BX,64(1)/FO
play,1,1,vaugm001,31,BBFBB,W.1-2
play,1,1,salmt001,21,CBBX,5(2)/FO.1-2
play,1,1,andeg001,12,CBSX,7/F7
play,2,0,delgc001,01,CX,63/G
play,2,0,batit001,00,X,63/G
play,2,0,cordm001,21,BCBX,23/G
play,2,1,glaut001,00,X,53/G
play,2,1,spies001,11,CBX,S9
play,2,1,molib001,12,CBFS,K
play,2,1,gil-b001,01,CX,43/G
play,3,0,cruzj004,00,X,E6/TH
play,3,0,gonza001,00,X,13/SH.1-2
play,3,0,casta001,11,CBX,3/G.2-3
play,3,0,stews002,01,CX,63/G
play,3,1,erstd001,10,BX,7/L7
play,3,1,kenna001,02,CFX,7/F7
play,3,1,vaugm001,10,BX,S8
play,3,1,salmt001,32,BSBFBB,W.1-2
play,3,1,andeg001,10,BX,D7/7D.2-H;1-H
play,3,1,glaut001,30,BBBB,W
play,3,1,spies001,31,FBBBB,W.2-3;1-2
play,3,1,molib001,10,BX,54(1)/FO
play,4,0,bushh001,31,BBCBB,W
play,4,0,mondr002,02,CSS,K+WP.1-2
play,4,0,delgc001,10,BB,SB3
play,4,0,delgc001,31,BBSBX,FC1.3XH(12);B-1#
play,4,0,batit001,12,BCFB,WP.1-2
play,4,0,batit001,22,BCFBFS,K
play,4,1,gil-b001,00,X,63/G
play,4,1,erstd001,02,CFX,7/F7
play,4,1,kenna001,11,CBX,7/F7
play,5,0,cordm001,22,BFFBX,S9
play,5,0,cruzj004,11,CBX,16(1)3/GDP
play,5,0,gonza001,32,CBFBBFB,W
play,5,0,casta001,00,1,POCS2(13)
play,5,1,vaugm001,11,BCX,8/F8
play,5,1,salmt001,31,BBBCB,W
play,5,1,andeg001,22,BBFCX,46(1)3/GDP
play,6,0,casta001,01,CX,43/G
play,6,0,stews002,00,X,53/G
play,6,0,bushh001,20,BBX,D9
play,6,0,mondr002,21,FBBX,53/G
play,6,1,glaut001,32,BCFBBFB,W
play,6,1,spies001,32,BCBBFB,W.1-2
play,6,1,molib001,00,X,3/BP3
play,6,1,gil-b001,10,BX,6(B)4(2)/LDP
play,7,0,delgc001,12,CBSC,K/C
play,7,0,batit001,00,X,43/G
play,7,0,cordm001,30,BBBB,W
play,7,0,cruzj004,22,FFBFFBS,K
play,7,1,erstd001,00,,NP
sub,borbp001,"Pedro Borbon",0,0,1
play,7,1,erstd001,12,CSBX,7/F7
play,7,1,kenna001,11,BSX,S9
play,7,1,vaugm001,11,CBX,D9.1-3
play,7,1,salmt001,30,IIII,IW
play,7,1,andeg001,12,CSFBX,7/SF.3-H
play,7,1,glaut001,00,,NP
sub,quanp001,"Paul Quantrill",0,0,1
play,7,1,glaut001,00,X,HR/8.2-H;1-H
play,7,1,spies001,32,BCBFBX,43/G
play,8,0,gonza001,00,X,S
play,8,0,casta001,00,X,6(1)3/GDP
play,8,0,stews002,21,BSBX,43/G
play,8,1,molib001,00,X,S7
play,8,1,gil-b001,12,CFFBX,3/L3
play,8,1,erstd001,12,CBFX,54(1)/FO
play,8,1,kenna001,12,CFBFFX,63/G
play,9,0,bushh001,00,X,53/G
play,9,0,mondr002,31,BBBCX,9/F9D
play,9,0,delgc001,32,BCSBBB,W
play,9,0,batit001,11,SBX,54(1)/FO
data,er,carpc002,2
data,er,borbp001,3
data,er,quanp001,1
data,er,schos001,0
