version,2
info,visteam,TBA
info,hometeam,ANA
info,site,ANA01
info,date,2000/04/27
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,relic901
info,ump1b,carlm901
info,ump2b,demud901
info,ump3b,eddid901
info,pitches,pitches
info,oscorer,munse701
info,temp,63
info,winddir,rtol
info,windspeed,3
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,195
info,attendance,16144
info,wp,goodd001
info,lp,ortir002
info,save,
start,willg001,"Gerald Williams",0,1,8
start,martd002,"Dave Martinez",0,2,9
start,vaugg001,"Greg Vaughn",0,3,7
start,cansj001,"Jose Canseco",0,4,10
start,mcgrf001,"Fred McGriff",0,5,3
start,castv001,"Vinny Castilla",0,6,5
start,flahj001,"John Flaherty",0,7,2
start,graft001,"Tony Graffanino",0,8,4
start,stock001,"Kevin Stocker",0,9,6
start,goodd001,"Dwight Gooden",0,0,1
start,erstd001,"Darin Erstad",1,1,7
start,kenna001,"Adam Kennedy",1,2,4
start,vaugm001,"Mo Vaughn",1,3,3
start,salmt001,"Tim Salmon",1,4,9
start,andeg001,"Garret Anderson",1,5,8
start,glaut001,"Troy Glaus",1,6,5
start,spies001,"Scott Spiezio",1,7,10
start,molib001,"Ben Molina",1,8,2
start,disag001,"Gary DiSarcina",1,9,6
start,ortir002,"Ramon Ortiz",1,0,1
play,1,0,willg001,10,BX,23/G
play,1,0,martd002,11,BFX,8/F8
play,1,0,vaugg001,22,CSBBS,K
play,1,1,erstd001,20,BBX,S
play,1,1,kenna001,10,BX,7/F7
play,1,1,vaugm001,00,B,WP.1-2
play,1,1,vaugm001,12,BFFX,43/G.2-3
play,1,1,salmt001,11,FBH,HP
play,1,1,andeg001,00,X,43/G
play,2,0,cansj001,32,BSSBBX,53/G
play,2,0,mcgrf001,10,BX,43/G
play,2,0,castv001,31,SBBBX,D8/8D
play,2,0,flahj001,12,BFSX,S9/9S.2-H;BX2(96)
play,2,1,glaut001,12,BCCX,53/G
play,2,1,spies001,30,BBBB,W
play,2,1,molib001,32,BBFCFFBFX,86(1)/FO
play,2,1,disag001,11,BCH,HP.1-2
play,2,1,erstd001,11,BCX,7/F7
play,3,0,graft001,11,BFX,7/F7
play,3,0,stock001,02,FFX,7/FL
play,3,0,willg001,12,CBFX,S7/7S
play,3,0,martd002,10,BC,SB2
play,3,0,martd002,11,BCX,D9.2-H
play,3,0,vaugg001,01,SX,63/G
play,3,1,kenna001,20,BBX,HR/9
play,3,1,vaugm001,10,BX,43/G
play,3,1,salmt001,22,BCFBX,63/G
play,3,1,andeg001,22,BCBFX,7/F7
play,4,0,cansj001,32,BSFBFBB,W
play,4,0,mcgrf001,22,FCBBS,K
play,4,0,castv001,12,SBFS,K
play,4,0,flahj001,31,SBBBB,W.1-2
play,4,0,graft001,00,X,9/F9
play,4,1,glaut001,12,BCCFFFFS,K
play,4,1,spies001,32,BBBCFB,W
play,4,1,molib001,01,FX,6(1)3/GDP
play,5,0,stock001,00,X,S9/9S
play,5,0,willg001,01,LX,E3/TH/SH.1-3;B-2
play,5,0,martd002,22,BFBFX,9/SF.3-H(UR);2-3
play,5,0,vaugg001,12,FBSS,K
play,5,0,cansj001,31,BCBBB,W
play,5,0,mcgrf001,02,FCB,SB2
play,5,0,mcgrf001,22,FCBBFFX,43/G
play,5,1,disag001,01,CX,S
play,5,1,erstd001,00,X,S2/BG2.1-2
play,5,1,kenna001,11,BCX,54/SH.2-3;1-2
play,5,1,vaugm001,12,FSBFS,K
play,5,1,salmt001,32,FBSBBFFFS,K
play,6,0,castv001,31,BBCBB,W
play,6,0,flahj001,00,,NP
sub,levia001,"Al Levine",1,0,1
play,6,0,flahj001,00,B,CS2(24)
play,6,0,flahj001,32,BSFFBBB,W
play,6,0,graft001,10,BX,S.1-2
play,6,0,stock001,12,SBCB,WP.2-3;1-2
play,6,0,stock001,32,SBCBFBB,W
play,6,0,willg001,10,BX,S8.3-H;2-H;1-2
play,6,0,martd002,21,CBBX,46(1)/FO.2-3
play,6,0,vaugg001,22,CCBBFX,S7.3-H;1-2
play,6,0,cansj001,32,BCSBFBX,53/G
play,6,1,andeg001,00,,NP
sub,whitr002,"Rick White",0,0,1
play,6,1,andeg001,12,CBFX,8/F8
play,6,1,glaut001,02,CCX,8/F8
play,6,1,spies001,22,FCBBFFC,K/C
play,7,0,mcgrf001,00,,NP
sub,merck001,"Kent Mercker",1,0,1
play,7,0,mcgrf001,00,X,43/G
play,7,0,castv001,12,BCCX,S
play,7,0,flahj001,00,X,S.1-2
play,7,0,graft001,01,CX,4/P4
play,7,0,stock001,00,B,WP.2-3;1-2
play,7,0,stock001,10,BX,9/F9D
play,7,1,molib001,12,BFFFX,63/G
play,7,1,disag001,00,X,13/G
play,7,1,erstd001,30,BBBB,W
play,7,1,kenna001,21,FBBX,8/F8D
play,8,0,willg001,31,BBBCB,W
play,8,0,martd002,10,BX,D9.1-H
play,8,0,vaugg001,12,FFBC,K/C
play,8,0,cansj001,22,BBFCX,63/G
play,8,0,mcgrf001,02,SCFC,K/C
play,8,1,vaugm001,00,,NP
sub,morrj004,"Jim Morris",0,0,1
play,8,1,vaugm001,10,BX,8/F8
play,8,1,salmt001,12,FBFFC,K/C
play,8,1,andeg001,02,FSS,K
play,9,0,castv001,00,,NP
sub,potel001,"Lou Pote",1,0,1
play,9,0,castv001,21,BBFX,53/G
play,9,0,flahj001,01,CX,S7
play,9,0,graft001,11,CBX,46(1)3/GDP
play,9,1,glaut001,00,,NP
sub,hernr001,"Roberto Hernandez",0,0,1
play,9,1,glaut001,31,BBBCB,W
play,9,1,spies001,32,BBCBCX,D9.1-H
play,9,1,molib001,22,BFFBS,K
play,9,1,disag001,02,CSS,K
play,9,1,erstd001,11,CBX,S8/8S.2-H
play,9,1,kenna001,00,C,DI.1-2
play,9,1,kenna001,01,CX,43/G
data,er,goodd001,1
data,er,whitr002,0
data,er,morrj004,0
data,er,hernr001,2
data,er,ortir002,2
data,er,levia001,3
data,er,merck001,1
data,er,potel001,0
