version,2
info,visteam,TEX
info,hometeam,ANA
info,site,ANA01
info,date,2000/05/12
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,younl901
info,ump1b,bonig901
info,ump2b,katzt901
info,ump3b,mealj901
info,pitches,pitches
info,oscorer,munse701
info,temp,71
info,winddir,ltor
info,windspeed,5
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,187
info,attendance,35305
info,wp,david002
info,lp,schos001
info,save,wettj001
start,alicl001,"Luis Alicea",0,1,4
start,curtc001,"Chad Curtis",0,2,7
start,rodri001,"Ivan Rodriguez",0,3,2
start,palmr001,"Rafael Palmeiro",0,4,10
start,segud001,"David Segui",0,5,3
start,mater001,"Ruben Mateo",0,6,8
start,clayr001,"Royce Clayton",0,7,6
start,lambm001,"Mike Lamb",0,8,5
start,mcdoj002,"Jason McDonald",0,9,9
start,david002,"Doug Davis",0,0,1
start,erstd001,"Darin Erstad",1,1,10
start,kenna001,"Adam Kennedy",1,2,4
start,vaugm001,"Mo Vaughn",1,3,3
start,salmt001,"Tim Salmon",1,4,9
start,andeg001,"Garret Anderson",1,5,8
start,glaut001,"Troy Glaus",1,6,5
start,cleme001,"Edgard Clemente",1,7,7
start,molib001,"Ben Molina",1,8,2
start,gil-b001,"Benji Gil",1,9,6
start,schos001,"Scott Schoeneweis",1,0,1
play,1,0,alicl001,10,BX,8/F8
play,1,0,curtc001,21,BBFX,S9/9S
play,1,0,rodri001,22,CFFBFFBX,46(1)3/GDP
play,1,1,erstd001,32,BBBCCX,7/F7
play,1,1,kenna001,10,BX,S8
play,1,1,vaugm001,31,BBCBX,7/F7
play,1,1,salmt001,11,CBX,HR/78.1-H
play,1,1,andeg001,11,BFX,S8
play,1,1,glaut001,31,BBBCB,W.1-2
play,1,1,cleme001,12,CBSFFFB,SB3;SB2
play,1,1,cleme001,22,CBSFFFBS,K
play,2,0,palmr001,31,CBBBX,43/G
play,2,0,segud001,02,FCX,63/G
play,2,0,mater001,12,BFFFX,8/L8
play,2,1,molib001,00,X,S9
play,2,1,gil-b001,31,BBFBB,W.1-2
play,2,1,erstd001,01,CX,36(1)/FO.2-3
play,2,1,kenna001,21,CBBX,S7.3-H;1-2
play,2,1,vaugm001,32,CBBSBS,K+CS3(25)/DP
play,3,0,clayr001,30,BBBB,W
play,3,0,lambm001,11,CBX,HR/9.1-H
play,3,0,mcdoj002,00,X,8/F8
play,3,0,alicl001,12,CCBX,S8
play,3,0,curtc001,10,BX,6(1)3/GDP
play,3,1,salmt001,31,BBCBB,W
play,3,1,andeg001,02,FFFS,K
play,3,1,glaut001,22,BSBSB,WP.1-2
play,3,1,glaut001,32,BSBSBX,7/F7
play,3,1,cleme001,12,SBFS,K
play,4,0,rodri001,10,BX,T7/7D
play,4,0,palmr001,21,BFBX,63/G.3-H
play,4,0,segud001,10,BX,53/G
play,4,0,mater001,00,X,HR/78
play,4,0,clayr001,11,BCX,7/F7
play,4,1,molib001,12,CBSFX,HR/7
play,4,1,gil-b001,01,FX,6/L6
play,4,1,erstd001,12,BCSX,8/L8
play,4,1,kenna001,00,X,3/G
play,5,0,lambm001,22,BBCFFX,63/G
play,5,0,mcdoj002,10,BX,53/G
play,5,0,alicl001,11,CBX,3/G
play,5,1,vaugm001,31,FBBBX,43/G
play,5,1,salmt001,22,FBBFS,K
play,5,1,andeg001,10,BX,3/G
play,6,0,curtc001,20,BBX,S
play,6,0,rodri001,10,BX,46(1)/FO
play,6,0,palmr001,10,BX,S9.1-3
play,6,0,segud001,10,BX,D/78.3-H;1-3
play,6,0,mater001,30,IIII,IW
play,6,0,clayr001,32,BSBBFX,HR/7.3-H;2-H;1-H
play,6,0,lambm001,22,SBBCX,13/G
play,6,0,mcdoj002,10,BX,63/G
play,6,1,glaut001,12,BCCX,8/F8
play,6,1,cleme001,22,SBFFBX,7/F7
play,6,1,molib001,00,X,HR/9
play,6,1,gil-b001,12,FFFBX,63/G
play,7,0,alicl001,00,,NP
sub,fyhrm001,"Mike Fyhrie",1,0,1
play,7,0,alicl001,32,BFBBCFX,3/G
play,7,0,curtc001,22,CCBBC,K/C
play,7,0,rodri001,10,BX,HR/78
play,7,0,palmr001,21,FBBX,9/F9D
play,7,1,erstd001,00,,NP
sub,venam002,"Mike Venafro",0,0,1
play,7,1,erstd001,11,BCX,E1/TH1.B-2
play,7,1,kenna001,00,X,S9.2-H(UR);BX2(926)
play,7,1,vaugm001,02,FFC,K/C
play,7,1,salmt001,00,X,9/F9
play,8,0,segud001,10,BX,63/G
play,8,0,mater001,02,FFFX,D9/9S
play,8,0,clayr001,12,CCBX,S9.2-3
play,8,0,lambm001,10,BX,8/SF.3-H
play,8,0,mcdoj002,32,CBBSBS,K
play,8,1,andeg001,21,CBBX,7/F7
play,8,1,glaut001,00,,NP
sub,zimmj001,"Jeff Zimmerman",0,0,1
play,8,1,glaut001,20,BBX,3/FL
play,8,1,cleme001,00,,NP
sub,palmo001,"Orlando Palmeiro",1,7,11
play,8,1,palmo001,30,BBBB,W
play,8,1,molib001,12,CSBX,D/78.1-H
play,8,1,gil-b001,00,,NP
sub,spies001,"Scott Spiezio",1,9,11
play,8,1,spies001,32,BCSBFFBFB,W
play,8,1,erstd001,00,,NP
sub,wettj001,"John Wetteland",0,0,1
play,8,1,erstd001,02,CSX,S7/7S.2-H;1-2
play,8,1,kenna001,22,BCFFFBFX,8/F8D
play,9,0,alicl001,00,,NP
sub,glaut001,"Troy Glaus",1,6,6
play,9,0,alicl001,00,,NP
sub,palmo001,"Orlando Palmeiro",1,7,7
play,9,0,alicl001,00,,NP
sub,spies001,"Scott Spiezio",1,9,5
