id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
suzum001,0,13,6,2,5,5,80,4,2,4,0,0,0,0,21,19,0,0,0,1
witaj001,0,5,2,1,0,0,28,0,0,1,1,0,0,0,7,6,0,0,0,0
spolp001,0,0,1,1,2,2,9,0,1,0,0,0,0,0,2,1,0,0,0,0
reicd001,0,6,2,3,2,2,48,1,0,2,0,0,2,1,11,7,0,0,0,0
levia001,1,13,7,2,4,4,80,2,0,6,1,0,0,0,22,18,0,1,1,0
fyhrm001,1,1,1,1,0,0,12,0,0,1,0,0,0,0,3,1,0,0,1,0
holtm001,1,2,0,1,0,0,15,1,0,0,0,0,1,0,3,2,0,0,0,0
weave001,1,3,2,1,2,0,25,1,0,2,0,0,0,0,7,6,0,0,0,0
hases001,1,2,2,2,2,2,31,1,0,1,1,0,0,0,6,4,0,0,0,0
hincb001,1,3,0,0,0,0,11,0,0,0,0,0,0,0,3,3,0,0,0,0
perct001,1,3,0,1,0,0,13,1,0,0,0,0,0,0,4,3,0,0,0,0
