version,2
info,visteam,LAN
info,hometeam,ANA
info,site,ANA01
info,date,2000/06/03
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,froeb901
info,ump1b,guccc901
info,ump2b,wintm901
info,ump3b,welkb901
info,pitches,pitches
info,oscorer,munse701
info,temp,82
info,winddir,fromlf
info,windspeed,3
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,196
info,attendance,34580
info,wp,parkc002
info,lp,coopb001
info,save,
start,hollt001,"Todd Hollandsworth",0,1,8
start,grudm001,"Mark Grudzielanek",0,2,4
start,shefg001,"Gary Sheffield",0,3,7
start,grees001,"Shawn Green",0,4,9
start,karre001,"Eric Karros",0,5,3
start,hansd001,"Dave Hansen",0,6,10
start,elstk001,"Kevin Elster",0,7,5
start,kreuc001,"Chad Kreuter",0,8,2
start,coraa001,"Alex Cora",0,9,6
start,parkc002,"Chan Ho Park",0,0,1
start,erstd001,"Darin Erstad",1,1,7
start,stock001,"Kevin Stocker",1,2,6
start,vaugm001,"Mo Vaughn",1,3,3
start,salmt001,"Tim Salmon",1,4,9
start,andeg001,"Garret Anderson",1,5,8
start,glaut001,"Troy Glaus",1,6,5
start,spies001,"Scott Spiezio",1,7,10
start,kenna001,"Adam Kennedy",1,8,4
start,walbm001,"Matt Walbeck",1,9,2
start,coopb001,"Brian Cooper",1,0,1
play,1,0,hollt001,10,BX,E6/G
play,1,0,grudm001,01,CB,SB2
play,1,0,grudm001,12,CBCFX,S9.2-3
play,1,0,shefg001,00,X,HR/7.3-H(UR);1-H
play,1,0,grees001,00,X,8/F8
play,1,0,karre001,32,CFBBBX,8/F8
play,1,0,hansd001,11,CBX,63/G
play,1,1,erstd001,22,FBBFX,5/L5
play,1,1,stock001,30,BBBB,W
play,1,1,vaugm001,01,CX,S7/7S.1-3
play,1,1,salmt001,10,BX,9/F9
play,1,1,andeg001,02,SSS,K
play,2,0,elstk001,11,BCX,5/P5
play,2,0,kreuc001,22,BBCFFC,K/C
play,2,0,coraa001,32,BBCFBFB,W
play,2,0,hollt001,02,FS1,PO1(E1).1-2
play,2,0,hollt001,12,FS1BX,S7.2-H(UR);BX2(74)
play,2,1,glaut001,00,X,43/G
play,2,1,spies001,32,BBSFBX,9/F9
play,2,1,kenna001,22,SCBBS,K
play,3,0,grudm001,00,X,63/G
play,3,0,shefg001,22,BBSFFX,HR/7
play,3,0,grees001,12,CBFC,K/C
play,3,0,karre001,12,CBCFX,7/F7D
play,3,1,walbm001,30,BBBB,W
play,3,1,erstd001,10,BX,7/F7
play,3,1,stock001,10,BX,13/G.1-2
play,3,1,vaugm001,12,BSSX,S7/7S.2-H
play,3,1,salmt001,32,BSSFBBH,HP.1-2
play,3,1,andeg001,12,FFBB,WP.2-3;1-2
play,3,1,andeg001,22,FFBBX,13/G
play,4,0,hansd001,00,X,31/G
play,4,0,elstk001,20,BBX,63/G
play,4,0,kreuc001,00,X,S9
play,4,0,coraa001,11,CBX,8/F8S
