advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,12,1,,,,,0,5,CSFBX,coopb001,1,0,,damoj001,0,P
,22,1,reboj001,,,,1,11,BCBFFX,coopb001,0,0,reboj001 singles. ,reboj001,0,
reboj001 to 3B. ,01,1,,beltc001,reboj001,,2,13,FX,coopb001,0,0,beltc001 doubles. ,beltc001,0,
reboj001 scores. ,01,1,,beltc001,,,3,15,CX,coopb001,1,1,dye-j001 hits sacrifice fly. ,dye-j001,0,
beltc001 scores. ,32,1,sweem002,,,,4,21,CBFBBX,coopb001,0,1,sweem002 singles. ,sweem002,0,
sweem002 to 3B. ,21,1,randj002,,sweem002,,5,25,BBCX,coopb001,0,0,randj002 singles. ,randj002,0,
,32,1,randj002,,sweem002,,6,33,BBBFSFFX,coopb001,1,0,,dunwt001,0,F
,10,1,,,,,7,2,BX,suppj001,1,0,,erstd001,1,F
,00,1,,,,,8,3,X,suppj001,1,0,stock001 grounds out. ,stock001,1,G
,30,1,vaugm001,,,,9,7,BBBB,suppj001,0,0,vaugm001 walks. ,vaugm001,1,
vaugm001 out. ,11,1,salmt001,,,,10,10,CBX,suppj001,1,0,salmt001 reaches on fielder's choice. ,salmt001,1,
,10,2,,,,,11,35,BX,coopb001,1,0,,zaung001,0,F
,11,2,,,,,12,38,BCX,coopb001,1,0,sancr001 grounds out. ,sancr001,0,G
,11,2,,,,,13,41,CBX,coopb001,1,0,,damoj001,0,F
,22,2,,,,,14,15,CBFBX,suppj001,1,0,andeg001 grounds out. ,andeg001,1,G
,12,2,,,,,15,19,CBSS,suppj001,1,0,glaut001 strikes out. ,glaut001,1,
,10,2,,,,,16,21,BX,suppj001,1,0,,molib001,1,F
,01,3,,,,,17,43,CX,coopb001,1,0,,reboj001,0,F
,11,3,beltc001,,,,18,46,FBX,coopb001,0,0,beltc001 singles. ,beltc001,0,
,31,3,beltc001,,,,19,51,CBBBX,coopb001,1,0,,dye-j001,0,F
beltc001 to 2B. ,00,3,,beltc001,,sweem002,20,52,1,coopb001,0,0,Pickoff error. ,sweem002,0,
beltc001 scores. sweem002 to 2B. ,22,3,,sweem002,,,21,58,1SBFBX,coopb001,0,1,sweem002 singles. ,sweem002,0,
,00,3,,sweem002,,,22,59,X,coopb001,1,0,,randj002,0,L
,32,3,,,,,23,27,CBFBBS,suppj001,1,0,kenna001 strikes out. ,kenna001,1,
,11,3,,,,,24,30,BCX,suppj001,1,0,,palmo001,1,P
,30,3,erstd001,,,,25,34,BBBB,suppj001,0,0,erstd001 walks. ,erstd001,1,
erstd001 to 2B. ,30,3,stock001,erstd001,,,26,38,BBBB,suppj001,0,0,stock001 walks. ,stock001,1,
erstd001 to 3B. stock001 to 2B. ,22,3,vaugm001,stock001,erstd001,,27,44,CFFBBH,suppj001,0,0,vaugm001 hit by pitch. ,vaugm001,1,
erstd001 scores. stock001 scores. vaugm001 scores. ,31,3,,,,,28,49,SBBBX,suppj001,0,4,salmt001 homers. ,salmt001,1,
,20,3,,,,,29,52,BBX,suppj001,1,0,,andeg001,1,
,01,4,,,,,30,61,FX,coopb001,1,0,,dunwt001,0,P
,12,4,,,,,31,67,CBFFFX,coopb001,1,0,zaung001 grounds out. ,zaung001,0,G
,00,4,,,,,32,68,X,coopb001,1,0,sancr001 grounds out. ,sancr001,0,G
,22,4,,,,,33,57,FCBBC,suppj001,1,0,glaut001 strikes out. ,glaut001,1,
,01,4,molib001,,,,34,59,FX,suppj001,0,0,molib001 singles. ,molib001,1,
,00,4,,,,,35,60,X,suppj001,2,0,Double Play. ,kenna001,1,
,00,5,,,,,36,69,X,coopb001,1,0,,damoj001,0,F
,22,5,reboj001,,,,37,74,CFBBX,coopb001,0,0,reboj001 singles. ,reboj001,0,
,00,5,reboj001,,,,38,75,X,coopb001,1,0,,beltc001,0,F
reboj001 to 2B. ,32,5,dye-j001,reboj001,,,39,83,BBFFBFFB,coopb001,0,0,dye-j001 walks. ,dye-j001,0,
,32,5,dye-j001,reboj001,,,40,89,CBBBFX,coopb001,1,0,,sweem002,0,P
,12,5,,,,,41,64,CBFX,suppj001,1,0,,palmo001,1,F
,00,5,erstd001,,,,42,65,X,suppj001,0,0,erstd001 singles. ,erstd001,1,
,21,5,,,,,43,69,FBBX,suppj001,2,0,Double Play. ,stock001,1,
,02,6,,,,,44,92,CFX,coopb001,1,0,,randj002,0,P
,12,6,,,,,45,97,CSBFX,coopb001,1,0,,dunwt001,0,P
,32,6,zaung001,,,,46,106,BBCFFFBFB,coopb001,0,0,zaung001 walks. ,zaung001,0,
,11,6,zaung001,,,,47,109,CBX,coopb001,1,0,,sancr001,0,F
,00,6,,,,vaugm001,48,70,F,suppj001,0,0,,vaugm001,1,
,01,6,,,,,49,72,FX,suppj001,1,0,,vaugm001,1,F
,30,6,salmt001,,,,50,76,BBBB,suppj001,0,0,salmt001 walks. ,salmt001,1,
salmt001 scores. ,22,6,,,,,51,81,BCBFX,suppj001,0,2,andeg001 homers. ,andeg001,1,
,00,6,glaut001,,,,52,82,H,suppj001,0,0,glaut001 hit by pitch. ,glaut001,1,
glaut001 to 2B. ,22,6,,glaut001,,,53,87,BFFBX,suppj001,1,0,molib001 grounds out. ,molib001,1,G
,21,6,,glaut001,,,54,91,BBFX,suppj001,1,0,,kenna001,1,F
,01,7,damoj001,,,,55,111,CX,coopb001,0,0,damoj001 singles. ,damoj001,0,
,21,7,,damoj001,,reboj001,56,115,FBBC,coopb001,0,0,damoj001 steals 2B. ,reboj001,0,
damoj001 to 3B. ,32,7,reboj001,,damoj001,,57,121,FBBCBX,coopb001,0,0,reboj001 singles. ,reboj001,0,
damoj001 scores. ,01,7,reboj001,,,,59,2,FX,hases001,1,1,beltc001 hits sacrifice fly. ,beltc001,0,
,32,7,reboj001,,,,60,9,BBCBSFX,hases001,1,0,,dye-j001,0,F
reboj001 to 2B. ,12,7,sweem002,reboj001,,,61,15,CBCFFX,hases001,0,0,sweem002 singles. ,sweem002,0,
reboj001 scores. sweem002 out. ,22,7,randj002,,,,62,20,BCBSX,hases001,1,1,randj002 singles. ,randj002,0,
,11,7,,,,,64,3,CBX,santj002,1,0,palmo001 grounds out. ,palmo001,1,G
,30,7,erstd001,,,,65,7,BBBB,santj002,0,0,erstd001 walks. ,erstd001,1,
erstd001 out. ,01,7,stock001,,,,66,9,CX,santj002,1,0,stock001 reaches on fielder's choice. ,stock001,1,
stock001 to 2B. ,32,7,vaugm001,stock001,,,67,15,BBFFBB,santj002,0,0,vaugm001 walks. ,vaugm001,1,
,22,7,vaugm001,stock001,,,68,20,CBFBS,santj002,1,0,salmt001 strikes out. ,salmt001,1,
,22,8,,,,,69,25,CBBFX,hases001,1,0,,dunwt001,0,P
,11,8,,,,,70,28,BFX,hases001,1,0,zaung001 grounds out. ,zaung001,0,G
,31,8,mccad001,,,,72,33,BBBCB,hases001,0,0,mccad001 walks. ,mccad001,0,
ordal001 to 3B. ,20,8,damoj001,,ordal001,,74,36,BBX,hases001,0,0,damoj001 singles. ,damoj001,0,
,00,8,,damoj001,ordal001,reboj001,75,37,C,hases001,0,0,damoj001 steals 2B. ,reboj001,0,
,12,8,,damoj001,ordal001,,76,43,CCBFFX,hases001,1,0,reboj001 grounds out. ,reboj001,0,G
