version,2
info,visteam,KCA
info,hometeam,ANA
info,site,ANA01
info,date,2000/06/22
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,herna901
info,ump1b,fostm901
info,ump2b,kulpr901
info,ump3b,marsr901
info,pitches,pitches
info,oscorer,munse701
info,temp,73
info,winddir,ltor
info,windspeed,3
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,140
info,attendance,17805
info,wp,belct001
info,lp,witaj001
info,save,petkm001
start,damoj001,"Johnny Damon",0,1,7
start,reboj001,"Jeff Reboulet",0,2,4
start,beltc001,"Carlos Beltran",0,3,8
start,dye-j001,"Jermaine Dye",0,4,9
start,sweem002,"Mike Sweeney",0,5,3
start,randj002,"Joe Randa",0,6,5
start,quinm001,"Mark Quinn",0,7,10
start,zaung001,"Gregg Zaun",0,8,2
start,sancr001,"Rey Sanchez",0,9,6
start,witaj001,"Jay Witasick",0,0,1
start,erstd001,"Darin Erstad",1,1,8
start,palmo001,"Orlando Palmeiro",1,2,7
start,vaugm001,"Mo Vaughn",1,3,3
start,salmt001,"Tim Salmon",1,4,9
start,andeg001,"Garret Anderson",1,5,10
start,glaut001,"Troy Glaus",1,6,5
start,molib001,"Ben Molina",1,7,2
start,kenna001,"Adam Kennedy",1,8,4
start,gil-b001,"Benji Gil",1,9,6
start,belct001,"Tim Belcher",1,0,1
play,1,0,damoj001,21,BSBX,63/G
play,1,0,reboj001,02,CCS,K
play,1,0,beltc001,30,BBBB,W
play,1,0,dye-j001,01,CX,HR/8.1-H
play,1,0,sweem002,10,BX,8/F8
play,1,1,erstd001,32,CBFBFFBX,S7
play,1,1,palmo001,12,CBFX,S.1-2
play,1,1,vaugm001,00,X,8/F8.2-3
play,1,1,salmt001,20,BBX,54(1)3/GDP
play,2,0,randj002,20,BBX,53/G
play,2,0,quinm001,12,CBFX,7/F7
play,2,0,zaung001,22,BCBCFX,8/F8
play,2,1,andeg001,01,CX,S9
play,2,1,glaut001,22,SFBBFX,9/F9
play,2,1,molib001,01,FX,HR/78.1-H
play,2,1,kenna001,10,BX,8/F8D
play,2,1,gil-b001,22,BSBCC,K/C
play,3,0,sancr001,02,CFX,43/G
play,3,0,damoj001,12,CFBS,K
play,3,0,reboj001,32,CBFBBB,W
play,3,0,beltc001,21,BCBX,8/F8
play,3,1,erstd001,01,FX,S7.B-3(E7)
play,3,1,palmo001,12,CCBFFX,S9.3-H
play,3,1,vaugm001,21,BBSX,D9/9D.1-3
play,3,1,salmt001,00,X,8/F8S
play,3,1,andeg001,21,BBCX,43/G.3-H;2-3
play,3,1,glaut001,11,CBX,143/G
play,4,0,dye-j001,12,CFBX,8/F8
play,4,0,sweem002,32,CBBFBH,HP
play,4,0,randj002,01,FX,4/P4
play,4,0,quinm001,30,BBBB,W.1-2
play,4,0,zaung001,20,BBX,6/P6
play,4,1,molib001,10,BX,S8/8S
play,4,1,kenna001,21,CBBX,7/F7
play,4,1,gil-b001,02,LCFX,64(1)3/GDP
play,5,0,sancr001,00,X,3/G
play,5,0,damoj001,21,CBBX,6/P6
play,5,0,reboj001,12,CFBX,5/P5
play,5,1,erstd001,01,CX,S8/8S
play,5,1,palmo001,00,X,53/SH.1-2#
play,5,1,vaugm001,22,CBBSS,K
play,5,1,salmt001,22,BBSFFS,K
play,6,0,beltc001,11,BLX,4/P4
play,6,0,dye-j001,02,FFX,8/F8
play,6,0,sweem002,01,CX,5/L5
play,6,1,andeg001,01,FX,43/G
play,6,1,glaut001,11,BCX,S7
play,6,1,molib001,00,X,63/G.1-2
play,6,1,kenna001,11,CBX,63/G
play,7,0,randj002,10,BX,S7/7S
play,7,0,quinm001,11,FBX,D9.1-3
play,7,0,zaung001,00,,NP
sub,petkm001,"Mark Petkovsek",1,0,1
play,7,0,zaung001,00,X,63/G.3-H;2-3
play,7,0,sancr001,00,X,4/P4
play,7,0,damoj001,10,BX,43/G
play,7,1,gil-b001,11,BCX,43/G
play,7,1,erstd001,12,BCFC,K/C
play,7,1,palmo001,01,SX,63/G
play,8,0,reboj001,22,BBCCFX,63/G
play,8,0,beltc001,10,BX,3/G#
play,8,0,dye-j001,11,SBX,53/G
play,8,1,vaugm001,22,CFBBC,K/C
play,8,1,salmt001,32,FBSBBX,8/F8
play,8,1,andeg001,01,CX,13/G
play,9,0,sweem002,11,BCX,53/G
play,9,0,randj002,11,BCX,53/G
play,9,0,quinm001,10,BX,63/G
data,er,witaj001,4
data,er,belct001,3
data,er,petkm001,0
