version,2
info,visteam,OAK
info,hometeam,ANA
info,site,ANA01
info,date,2000/07/02
info,number,0
info,starttime,5:05PM
info,daynight,night
info,usedh,true
info,umphome,hirsm901
info,ump1b,bellw901
info,ump2b,onorb901
info,ump3b,iassd901
info,pitches,pitches
info,oscorer,munse701
info,temp,79
info,winddir,ltor
info,windspeed,5
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,204
info,attendance,21150
info,wp,hudst001
info,lp,belct001
info,save,
start,chrir001,"Ryan Christenson",0,1,8
start,velar001,"Randy Velarde",0,2,4
start,giamj001,"Jason Giambi",0,3,3
start,grieb001,"Ben Grieve",0,4,7
start,saeno001,"Olmedo Saenz",0,5,10
start,staim001,"Matt Stairs",0,6,9
start,tejam001,"Miguel Tejada",0,7,6
start,chave001,"Eric Chavez",0,8,5
start,hernr002,"Ramon Hernandez",0,9,2
start,hudst001,"Tim Hudson",0,0,1
start,erstd001,"Darin Erstad",1,1,10
start,palmo001,"Orlando Palmeiro",1,2,7
start,vaugm001,"Mo Vaughn",1,3,3
start,salmt001,"Tim Salmon",1,4,9
start,andeg001,"Garret Anderson",1,5,8
start,glaut001,"Troy Glaus",1,6,5
start,molib001,"Ben Molina",1,7,2
start,kenna001,"Adam Kennedy",1,8,4
start,gil-b001,"Benji Gil",1,9,6
start,belct001,"Tim Belcher",1,0,1
play,1,0,chrir001,10,BX,HR/78
play,1,0,velar001,11,BCX,S9
play,1,0,giamj001,30,BBBB,W.1-2
play,1,0,grieb001,10,BX,S8.2-H;1-2
play,1,0,saeno001,11,BFX,S7.2-H;1-2
play,1,0,staim001,32,CBFBBB,W.2-3;1-2
play,1,0,tejam001,21,BBFX,53/G.3-H;2-3;1-2
play,1,0,chave001,30,IIII,IW
play,1,0,hernr002,21,BCBX,S8.3-H;2-3;1-2
play,1,0,chrir001,00,,NP
sub,fyhrm001,"Mike Fyhrie",1,0,1
play,1,0,chrir001,12,BFSX,S.3-H;2-3;1-2
play,1,0,velar001,11,CBX,S9/9S.3-H;2-3;1-2
play,1,0,giamj001,02,FFFX,7/F7S
play,1,0,grieb001,22,BCCBS,K
play,1,1,erstd001,10,BX,S7/7S
play,1,1,palmo001,10,BX,36(1)/FO
play,1,1,vaugm001,11,CBX,D7/7D.1-3
play,1,1,salmt001,32,CSBFBBB,W
play,1,1,andeg001,12,SFBFX,36(1)/FO.3-H;2-3
play,1,1,glaut001,21,BCBX,43/G
play,2,0,saeno001,21,BCBX,9/F9
play,2,0,staim001,22,CSBBX,2/FL
play,2,0,tejam001,22,SBFFBX,163/G
play,2,1,molib001,10,BX,9/F9D
play,2,1,kenna001,22,FBBSS,K
play,2,1,gil-b001,11,BCX,53/G
play,3,0,chave001,20,BBX,9/F9
play,3,0,hernr002,12,CSFBX,63/G
play,3,0,chrir001,12,CBFC,K/C
play,3,1,erstd001,31,BCBBB,W
play,3,1,palmo001,01,CX,S9/9S.1-3
play,3,1,vaugm001,02,FCS,K
play,3,1,salmt001,21,BCBX,S8.3-H;1-3(E8)
play,3,1,andeg001,02,CCS,K
play,3,1,glaut001,22,CBSBS,K
play,4,0,velar001,01,FX,8/F8
play,4,0,giamj001,31,BBBCX,S
play,4,0,grieb001,01,CX,D9/9D.1-3
play,4,0,saeno001,22,BCBCX,9/L9
play,4,0,staim001,32,SBBSFBX,3/G
play,4,1,molib001,02,CCX,9/F9
play,4,1,kenna001,00,X,3/G
play,4,1,gil-b001,12,BSCS,K
play,5,0,tejam001,11,BFX,53/G
play,5,0,chave001,12,FFBC,K/C
play,5,0,hernr002,00,X,9/L9
play,5,1,erstd001,31,FBBBX,8/F8
play,5,1,palmo001,22,BBCCX,S7
play,5,1,vaugm001,22,BBFFFX,8/F8
play,5,1,salmt001,10,BX,64(1)/FO
