version,2
info,visteam,CHA
info,hometeam,ANA
info,site,ANA01
info,date,2000/07/27
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,hudsm901
info,ump1b,cedeg901
info,ump2b,scotd901
info,ump3b,lampi901
info,pitches,pitches
info,oscorer,munse701
info,temp,76
info,winddir,ltor
info,windspeed,3
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,204
info,attendance,24394
info,wp,garlj001
info,lp,coopb001
info,save,foulk001
start,durhr001,"Ray Durham",0,1,4
start,valej003,"Jose Valentin",0,2,6
start,thomf001,"Frank Thomas",0,3,10
start,ordom001,"Magglio Ordonez",0,4,9
start,konep001,"Paul Konerko",0,5,3
start,singc001,"Chris Singleton",0,6,8
start,lee-c001,"Carlos Lee",0,7,7
start,perrh001,"Herbert Perry",0,8,5
start,fordb001,"Brook Fordyce",0,9,2
start,garlj001,"Jon Garland",0,0,1
start,erstd001,"Darin Erstad",1,1,7
start,stock001,"Kevin Stocker",1,2,6
start,vaugm001,"Mo Vaughn",1,3,3
start,salmt001,"Tim Salmon",1,4,9
start,andeg001,"Garret Anderson",1,5,8
start,glaut001,"Troy Glaus",1,6,5
start,molib001,"Ben Molina",1,7,2
start,kenna001,"Adam Kennedy",1,8,4
start,palmo001,"Orlando Palmeiro",1,9,10
start,coopb001,"Brian Cooper",1,0,1
play,1,0,durhr001,32,CBBBFB,W
play,1,0,valej003,00,B,SB2
play,1,0,valej003,31,BLBBX,9/L9
play,1,0,thomf001,32,CBBFBB,W
play,1,0,ordom001,21,CBBX,7/F7
play,1,0,konep001,01,CX,7/F7
play,1,1,erstd001,12,CBSC,K/C
play,1,1,stock001,21,BBCX,S9
play,1,1,vaugm001,00,X,8/F8
play,1,1,salmt001,10,BC,CS2(24)
play,2,0,singc001,00,X,7/F7D
play,2,0,lee-c001,32,CSBBBX,S8
play,2,0,perrh001,01,CX,HR/7.1-H
play,2,0,fordb001,11,FBX,S9/9S
play,2,0,durhr001,32,BBFFFBFFFX,13/G.1-2
play,2,0,valej003,20,BBF,FLE5
com,"DV guess; might be on Fordyce AB"
play,2,0,valej003,31,BBFBX,S8.2-H(UR)
play,2,0,thomf001,01,CB,SB2.1-3(E2/TH2)
play,2,0,thomf001,22,CBBFS,K
play,2,1,salmt001,02,CCX,S7
play,2,1,andeg001,10,BX,16(1)/FO
play,2,1,glaut001,21,BBCX,54(1)3/GDP
play,3,0,ordom001,01,CX,9/F9
play,3,0,konep001,00,X,S9/9S.BX2(96)#
play,3,0,singc001,32,CBBFBFX,C/E2
play,3,0,lee-c001,01,FB,SB2
play,3,0,lee-c001,21,FBBX,53/G
play,3,1,molib001,10,BX,8/F8
play,3,1,kenna001,20,BBX,3/P3
