version,2
info,visteam,CHA
info,hometeam,ANA
info,site,ANA01
info,date,2000/07/30
info,number,0
info,starttime,5:05PM
info,daynight,night
info,usedh,true
info,umphome,lampi901
info,ump1b,hudsm901
info,ump2b,cedeg901
info,ump3b,scotd901
info,pitches,pitches
info,oscorer,munse701
info,temp,77
info,winddir,ltor
info,windspeed,5
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,249
info,attendance,27538
info,wp,foulk001
info,lp,levia001
info,save,
start,durhr001,"Ray Durham",0,1,4
start,valej003,"Jose Valentin",0,2,6
start,thomf001,"Frank Thomas",0,3,10
start,ordom001,"Magglio Ordonez",0,4,9
start,perrh001,"Herbert Perry",0,5,5
start,singc001,"Chris Singleton",0,6,8
start,lee-c001,"Carlos Lee",0,7,7
start,nortg001,"Greg Norton",0,8,3
start,johnm003,"Mark Johnson",0,9,2
start,parqj001,"Jim Parque",0,0,1
start,erstd001,"Darin Erstad",1,1,7
start,gil-b001,"Benji Gil",1,2,10
start,vaugm001,"Mo Vaughn",1,3,3
start,salmt001,"Tim Salmon",1,4,9
start,andeg001,"Garret Anderson",1,5,8
start,glaut001,"Troy Glaus",1,6,5
start,molib001,"Ben Molina",1,7,2
start,kenna001,"Adam Kennedy",1,8,4
start,stock001,"Kevin Stocker",1,9,6
start,ethes001,"Seth Etherton",1,0,1
play,1,0,durhr001,12,FSBX,8/F8D
play,1,0,valej003,01,CX,HR/9
play,1,0,thomf001,31,BCBBX,9/F9
play,1,0,ordom001,02,CFFX,53/G
play,1,1,erstd001,00,X,S8
play,1,1,gil-b001,12,CBFX,64(1)3/GDP
play,1,1,vaugm001,32,CBBCBX,63/G
play,2,0,perrh001,11,CBX,S8/8S
play,2,0,singc001,12,LCBX,D/89D.1-H
play,2,0,lee-c001,32,BBBCSFFX,FC5.2X3(5);B-2(E5/TH1)
play,2,0,nortg001,31,BBBCX,5/FL
play,2,0,johnm003,31,BCBBX,7/L7
play,2,1,salmt001,20,BBX,S7/7S
play,2,1,andeg001,30,BBBB,W.1-2
play,2,1,glaut001,11,BFX,S7.2-3;1-2
play,2,1,molib001,10,BX,7/SF.3-H;2-3;1-2
play,2,1,kenna001,12,CFBFC,K/C
play,2,1,stock001,31,BSBBX,43/G
play,3,0,durhr001,02,FSC,K/C
play,3,0,valej003,22,CBFBC,K/C
play,3,0,thomf001,10,BX,E6/G
play,3,0,ordom001,21,BFBX,S7/7S.1-3
play,3,0,perrh001,32,SFBBBX,7/L7
play,3,1,erstd001,32,CBBBCX,63/G
play,3,1,gil-b001,32,BBSSFFBX,HR/7
play,3,1,vaugm001,10,BX,43/G
play,3,1,salmt001,22,FCBBFFX,9/F9
play,4,0,singc001,12,SCBC,K/C
play,4,0,lee-c001,00,X,63/G
play,4,0,nortg001,31,BCBBX,S7/7S
play,4,0,johnm003,02,CCX,S7.1-2
play,4,0,durhr001,11,CBX,46(1)/FO.2-3
play,4,1,andeg001,02,FCX,S1.B-2(E1/TH1)
play,4,1,glaut001,32,CBSBBX,8/F8
play,4,1,molib001,00,X,63/G.2-3
play,4,1,kenna001,21,BFBX,8/F8
play,5,0,valej003,10,BX,S
play,5,0,thomf001,00,X,4/P4
play,5,0,ordom001,12,BCFX,9/F9D
play,5,0,perrh001,00,X,13/G
play,5,1,stock001,10,BX,9/F9
play,5,1,erstd001,10,BX,S9/9S
play,5,1,gil-b001,12,FCBFB,SB2
play,5,1,gil-b001,32,FCBFBBFX,8/F8S
play,5,1,vaugm001,32,BCSBBX,D7/7S.2-H
play,5,1,salmt001,22,FBBSS,K
play,6,0,singc001,11,SBX,S9
play,6,0,lee-c001,02,CFX,54(1)/FO.B-2(E4/TH1)
play,6,0,nortg001,31,BCBBB,W
play,6,0,johnm003,32,BBCBCFB,W.2-3;1-2
play,6,0,durhr001,12,SBFS,K
play,6,0,valej003,01,FX,43/G
play,6,1,andeg001,21,FBBX,7/F7
play,6,1,glaut001,10,BX,9/F9D
play,6,1,molib001,01,CX,13/G
play,7,0,thomf001,01,CX,D8/8D
play,7,0,ordom001,00,X,9/F9D.2-3
play,7,0,perrh001,22,CCFBFBFX,8/F8S
play,7,0,singc001,00,,NP
sub,holtm001,"Mike Holtz",1,0,1
play,7,0,singc001,00,,NP
sub,abboj002,"Jeff Abbott",0,6,11
play,7,0,abboj002,12,BCSFS,K23
play,7,1,kenna001,00,,NP
sub,abboj002,"Jeff Abbott",0,6,8
play,7,1,kenna001,10,BX,D9/9S
play,7,1,stock001,10,BX,54/SH.2-3
play,7,1,erstd001,00,X,S7/F7S.3-3
play,7,1,gil-b001,00,,NP
sub,simab001,"Bill Simas",0,0,1
play,7,1,gil-b001,00,,NP
sub,palmo001,"Orlando Palmeiro",1,2,11
play,7,1,palmo001,01,FX,13/SH.3-H;1-2
play,7,1,vaugm001,30,IIII,IW
play,7,1,salmt001,10,BX,T8/8D.2-H;1-H
play,7,1,andeg001,32,BBBCCFC,K/C
play,8,0,lee-c001,00,X,S
play,8,0,nortg001,30,BBBB,W.1-2
play,8,0,johnm003,12,BCCC,K/C
play,8,0,durhr001,01,CX,53/G.2-3;1-2
play,8,0,valej003,00,X,E5/G.3-H(UR)(NR);2-3
play,8,0,thomf001,00,,NP
sub,petkm001,"Mark Petkovsek",1,0,1
play,8,0,thomf001,00,X,D9.3-H(UR);1-3
play,8,0,ordom001,21,CBBX,63/G
play,8,1,glaut001,00,,NP
sub,howrb001,"Bobby Howry",0,0,1
play,8,1,glaut001,12,BFCS,K
play,8,1,molib001,11,BCX,S8
play,8,1,kenna001,22,BFFBS,K
play,8,1,stock001,12,BFCC,K/C
play,9,0,perrh001,00,,NP
sub,perct001,"Troy Percival",1,0,1
play,9,0,perrh001,01,FX,9/F9
play,9,0,abboj002,00,X,S/78
play,9,0,lee-c001,12,FBCS,K
play,9,0,nortg001,01,FB,DI.1-2
play,9,0,nortg001,32,FBBFFBFB,W
play,9,0,johnm003,11,BFX,D/89D.2-H;1-H
play,9,0,durhr001,22,BBFFFX,D/89D.2-H
play,9,0,valej003,31,BFBBX,7/F7
play,9,1,erstd001,00,,NP
sub,wunsk001,"Kelly Wunsch",0,0,1
play,9,1,erstd001,02,CSS,K
play,9,1,palmo001,00,,NP
sub,spies001,"Scott Spiezio",1,2,11
play,9,1,spies001,31,BSBBB,W
play,9,1,vaugm001,31,BSBBX,S9/9S.1-2
play,9,1,salmt001,00,,NP
sub,cleme001,"Edgard Clemente",1,3,12
play,9,1,salmt001,00,,NP
sub,foulk001,"Keith Foulke",0,0,1
play,9,1,salmt001,31,BBBCB,W.2-3;1-2
play,9,1,andeg001,22,CBBCX,7/SF.3-H
play,9,1,glaut001,01,CX,5/L5
play,10,0,thomf001,00,,NP
sub,erstd001,"Darin Erstad",1,1,3
play,10,0,thomf001,00,,NP
sub,cleme001,"Edgard Clemente",1,3,7
play,10,0,thomf001,00,,NP
sub,levia001,"Al Levine",1,0,1
play,10,0,thomf001,22,BCCBX,S8
play,10,0,ordom001,12,BSFX,S.1-2
play,10,0,perrh001,00,X,FC2/SH.2-3;1-2;B-1#
play,10,0,abboj002,21,CBBX,S9.3-H;2-H;1-3;B-2(E9/TH)
play,10,0,lee-c001,00,X,S9.3-H;2-H(UR)
play,10,0,nortg001,00,,NP
sub,turnd001,"Derrick Turnbow",1,0,1
play,10,0,nortg001,11,FBB,SB2
play,10,0,nortg001,21,FBBX,3/L3
play,10,0,johnm003,02,CCS,K
play,10,0,durhr001,22,BBFFX,7/F7
play,10,1,molib001,22,CBSBX,9/F9
play,10,1,kenna001,32,BBBCCX,7/F7
play,10,1,stock001,22,BCSBC,K/C
data,er,parqj001,5
data,er,simab001,1
data,er,howrb001,0
data,er,wunsk001,1
data,er,foulk001,0
data,er,ethes001,2
data,er,holtm001,0
data,er,petkm001,0
data,er,perct001,3
data,er,levia001,3
data,er,turnd001,0
