version,2
info,visteam,CLE
info,hometeam,ANA
info,site,ANA01
info,date,2000/08/25
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,packs901
info,ump1b,davig901
info,ump2b,guccc901
info,ump3b,emmep901
info,pitches,pitches
info,oscorer,munse701
info,temp,82
info,winddir,ltor
info,windspeed,5
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,182
info,attendance,41452
info,wp,wisem001
info,lp,burbd001
info,save,hases001
start,loftk001,"Kenny Lofton",0,1,8
start,vizqo001,"Omar Vizquel",0,2,6
start,alomr001,"Roberto Alomar",0,3,4
start,ramim002,"Manny Ramirez",0,4,9
start,thomj002,"Jim Thome",0,5,3
start,segud001,"David Segui",0,6,10
start,frymt001,"Travis Fryman",0,7,5
start,cordw001,"Wil Cordero",0,8,7
start,diaze002,"Einar Diaz",0,9,2
start,burbd001,"Dave Burba",0,0,1
start,erstd001,"Darin Erstad",1,1,10
start,palmo001,"Orlando Palmeiro",1,2,7
start,vaugm001,"Mo Vaughn",1,3,3
start,salmt001,"Tim Salmon",1,4,9
start,andeg001,"Garret Anderson",1,5,8
start,glaut001,"Troy Glaus",1,6,5
start,kenna001,"Adam Kennedy",1,7,4
start,molib001,"Ben Molina",1,8,2
start,stock001,"Kevin Stocker",1,9,6
start,wisem001,"Matt Wise",1,0,1
play,1,0,loftk001,12,CBSX,3/G
play,1,0,vizqo001,31,BBBCX,7/F7
play,1,0,alomr001,12,CSFFBX,S7/7S
play,1,0,ramim002,22,CBBCX,53/G
play,1,1,erstd001,01,CX,S8/8S
play,1,1,palmo001,12,FFBX,9/L9
play,1,1,vaugm001,22,CBBSS,K
play,1,1,salmt001,02,CFX,D7.1-H
play,1,1,andeg001,22,BBCFX,3/G
play,2,0,thomj002,21,FBBX,43/G
play,2,0,segud001,22,BCCBS,K
play,2,0,frymt001,32,CBFBBS,K
play,2,1,glaut001,12,CBCS,K
play,2,1,kenna001,00,X,S7
play,2,1,molib001,10,BX,53/G.1-2
play,2,1,stock001,00,X,63/G
play,3,0,cordw001,00,X,4/FL
play,3,0,diaze002,32,CBFBFBS,K
play,3,0,loftk001,00,X,8/F8
play,3,1,erstd001,01,CX,S8/8S
play,3,1,palmo001,02,LFX,9/F9
play,3,1,vaugm001,32,FSBFBBFFX,S8/8S.1-3
play,3,1,salmt001,32,CBBBFFS,K
play,3,1,andeg001,32,CSBBBFX,43/G
play,4,0,vizqo001,32,BFBBCFFFB,W
play,4,0,alomr001,01,CX,3/G.1-2
play,4,0,ramim002,02,CFFX,63/G
play,4,0,thomj002,11,BSX,7/F7
play,4,1,glaut001,22,BFSBX,53/G
play,4,1,kenna001,12,CFBX,3/G
play,4,1,molib001,20,BBX,53/G
play,5,0,segud001,11,SBX,53/G
play,5,0,frymt001,22,BFBSS,K
play,5,0,cordw001,12,BCCX,63/G
play,5,1,stock001,10,BX,S8/8S
play,5,1,erstd001,00,X,S/89.1-2
play,5,1,palmo001,21,BBLX,54/SH.2-3;1-2
play,5,1,vaugm001,32,SBCFBBFC,K/C
play,5,1,salmt001,31,BBBCB,W
play,5,1,andeg001,00,X,63/G
play,6,0,diaze002,02,CFX,3/P3
play,6,0,loftk001,01,CX,43/G
play,6,0,vizqo001,12,BCFX,8/F8
play,6,1,glaut001,22,BCSBFS,K
play,6,1,kenna001,22,BBCSX,7/F7
play,6,1,molib001,32,BFBBFFFB,W
play,6,1,stock001,32,CSBBBX,43/G
play,7,0,alomr001,11,BCX,8/F8
play,7,0,ramim002,20,BBX,7/F7
play,7,0,thomj002,21,CBBX,S9
play,7,0,segud001,32,BSCFBFFBFS,K
play,7,1,erstd001,22,BBCSX,S/78
play,7,1,palmo001,02,FLX,9/F9
play,7,1,vaugm001,32,BFBFBB,W.1-2
play,7,1,salmt001,00,,NP
sub,speij001,"Justin Speier",0,0,1
play,7,1,salmt001,01,CX,HR/78.2-H;1-H
play,7,1,andeg001,02,FCS,K
play,7,1,glaut001,32,BCBFBFFS,K
play,8,0,frymt001,00,X,9/F9D
play,8,0,cordw001,02,CCX,53/G
play,8,0,diaze002,00,X,8/F8
play,8,1,kenna001,00,X,9/F9D
play,8,1,molib001,01,CX,7/F7
play,8,1,stock001,31,BFBBB,W
play,8,1,erstd001,22,FFBBS,K
play,9,0,loftk001,00,X,HR/9
play,9,0,vizqo001,12,LBFX,43/G
play,9,0,alomr001,31,BCBBB,W
play,9,0,ramim002,00,,NP
sub,hases001,"Shigetoshi Hasegawa",1,0,1
play,9,0,ramim002,12,BSSX,S9.1-2
play,9,0,thomj002,20,BBX,36(1)/FO.2-3
play,9,0,segud001,12,FBCS,K
data,er,burbd001,3
data,er,speij001,1
data,er,wisem001,1
data,er,hases001,0
