version,2
info,visteam,CLE
info,hometeam,ANA
info,site,ANA01
info,date,2000/08/27
info,number,0
info,starttime,5:05PM
info,daynight,night
info,usedh,true
info,umphome,guccc901
info,ump1b,emmep901
info,ump2b,packs901
info,ump3b,davig901
info,pitches,pitches
info,oscorer,munse701
info,temp,79
info,winddir,ltor
info,windspeed,5
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,219
info,attendance,31504
info,wp,levia001
info,lp,finlc001
info,save,hases001
start,loftk001,"Kenny Lofton",0,1,8
start,vizqo001,"Omar Vizquel",0,2,6
start,alomr001,"Roberto Alomar",0,3,4
start,ramim002,"Manny Ramirez",0,4,9
start,segud001,"David Segui",0,5,10
start,frymt001,"Travis Fryman",0,6,5
start,thomj002,"Jim Thome",0,7,3
start,cordw001,"Wil Cordero",0,8,7
start,aloms001,"Sandy Alomar",0,9,2
start,finlc001,"Chuck Finley",0,0,1
start,erstd001,"Darin Erstad",1,1,10
start,glaut001,"Troy Glaus",1,2,5
start,salmt001,"Tim Salmon",1,3,9
start,vaugm001,"Mo Vaughn",1,4,3
start,gantr001,"Ron Gant",1,5,7
start,andeg001,"Garret Anderson",1,6,8
start,molib001,"Ben Molina",1,7,2
start,kenna001,"Adam Kennedy",1,8,4
start,gil-b001,"Benji Gil",1,9,6
start,merck001,"Kent Mercker",1,0,1
play,1,0,loftk001,32,CFBBFBB,W
play,1,0,vizqo001,01,CX,HR/7.1-H
play,1,0,alomr001,32,BCSFFFBBFX,8/F8
play,1,0,ramim002,00,X,D7
play,1,0,segud001,20,BBX,S7.2-H
play,1,0,frymt001,22,BCBSS,K
play,1,0,thomj002,00,X,D8/8D.1XH(862)
play,1,1,erstd001,31,CBBBX,43/G
play,1,1,glaut001,00,X,4/P4
play,1,1,salmt001,32,BCBFBB,W
play,1,1,vaugm001,22,BCFBFFC,K/C
play,2,0,cordw001,11,CBX,D7/7D
play,2,0,aloms001,11,BSX,13/SH.2-3
play,2,0,loftk001,11,FBX,8/F8S
play,2,0,vizqo001,30,BBBB,W
play,2,0,alomr001,01,LX,7/F7
play,2,1,gantr001,00,X,S7/7S
play,2,1,andeg001,12,FFBFC,K/C
play,2,1,molib001,01,FX,46(1)/FO
play,2,1,kenna001,12,LBSX,46(1)/FO
play,3,0,ramim002,02,CCX,53/G
play,3,0,segud001,01,CX,S9
play,3,0,frymt001,00,X,S9.1-3
play,3,0,thomj002,00,X,FC3.3XH(32);1-2;B-1#
play,3,0,cordw001,00,X,8/F8
play,3,1,gil-b001,00,X,13/BG
play,3,1,erstd001,12,CBCX,S8
play,3,1,glaut001,31,BCBBX,HR/7.1-H
play,3,1,salmt001,32,BCSBBB,W
play,3,1,vaugm001,00,X,S9/9S.1-2
play,3,1,gantr001,30,BBBB,W.2-3;1-2
play,3,1,andeg001,21,BBFX,32(3)/FO.2-3;1-2
play,3,1,molib001,21,BFBX,S9/9S.3-H;2-H;1-2
play,3,1,kenna001,10,BX,64(1)/FO.2-3
play,4,0,aloms001,11,FBX,7/F7
play,4,0,loftk001,00,X,43/G
play,4,0,vizqo001,32,CFBBBB,W
play,4,0,alomr001,00,B,SB2
play,4,0,alomr001,22,BCBFFFX,D/89D.2-H
play,4,0,ramim002,30,IIII,IW
play,4,0,segud001,00,,NP
sub,levia001,"Al Levine",1,0,1
play,4,0,segud001,21,CBBX,64(1)/FO.2-3
play,4,1,gil-b001,21,BSBX,S
play,4,1,erstd001,00,X,54(1)3/GDP
play,4,1,glaut001,32,BBBCCS,K
play,5,0,frymt001,02,CCS,K
play,5,0,thomj002,32,CBBBFB,W
play,5,0,cordw001,12,CFBX,7/L7
play,5,0,aloms001,10,BX,4(1)/FO/G
play,5,1,salmt001,01,CX,HR/78
com,"$Salmon's 30th HR giving Angels four batters with 30"
play,5,1,vaugm001,32,BBFBSX,2/P2
play,5,1,gantr001,20,BBX,S7
play,5,1,andeg001,01,FX,64(1)3/GDP
play,6,0,loftk001,10,BX,8/F8
play,6,0,vizqo001,32,BCFFBFBX,S7
play,6,0,alomr001,31,BCBBB,W.1-2
play,6,0,ramim002,12,BCFX,53/G.2-3;1-2
play,6,0,segud001,11,BCX,63/G
play,6,1,molib001,00,X,8/F8
play,6,1,kenna001,32,CBBSBX,S
play,6,1,gil-b001,11,BSX,S.1-2
play,6,1,erstd001,22,CBBCX,S7/7S.2-H;1-2
play,6,1,glaut001,00,,NP
sub,speij001,"Justin Speier",0,0,1
play,6,1,glaut001,22,CBFBB,SB3;SB2
play,6,1,glaut001,32,CBFBBFB,W
play,6,1,salmt001,00,X,D7/7D.3-H;2-H;1-3
play,6,1,vaugm001,10,BX,S9/9D.3-H;2-H
play,6,1,gantr001,12,CSBX,S7/7S.1-2
play,6,1,andeg001,10,BX,8/F8
play,6,1,molib001,01,FX,63/G
play,7,0,frymt001,20,BBX,S
play,7,0,thomj002,00,,NP
sub,holtm001,"Mike Holtz",1,0,1
play,7,0,thomj002,30,BBBB,W.1-2
play,7,0,cordw001,02,CCX,7/F7
play,7,0,aloms001,32,BBBCFX,S.2-3;1-2
play,7,0,loftk001,11,BSX,8/SF.3-H
play,7,0,vizqo001,31,CBBBB,W.2-3;1-2
play,7,0,alomr001,00,,NP
sub,petkm001,"Mark Petkovsek",1,0,1
play,7,0,alomr001,10,BX,HR/89.3-H;2-H;1-H
play,7,0,ramim002,32,BSCFFBBFX,D7
play,7,0,segud001,21,BFBX,S8.2XH(82)
play,7,1,kenna001,00,,NP
sub,reeds001,"Steve Reed",0,0,1
play,7,1,kenna001,22,BBCFX,S8/8S
play,7,1,gil-b001,10,BX,34/SH.1-2
play,7,1,erstd001,30,IIII,IW
play,7,1,glaut001,21,BCBX,5(B)4(2)/LDP
play,8,0,frymt001,00,,NP
sub,hases001,"Shigetoshi Hasegawa",1,0,1
play,8,0,frymt001,00,X,9/F9D
play,8,0,thomj002,22,BBCFC,K/C
play,8,0,cordw001,12,FFBX,53/G
play,8,1,salmt001,00,,NP
sub,karss001,"Steve Karsay",0,0,1
play,8,1,salmt001,22,SBFBX,S1.B-2(E1/TH1)
play,8,1,vaugm001,30,IIII,IW
play,8,1,gantr001,00,,NP
sub,palmo001,"Orlando Palmeiro",1,5,11
play,8,1,palmo001,10,BX,14/SH.2-3;1-2
play,8,1,andeg001,30,IIII,IW
play,8,1,molib001,00,X,52(3)/FO.2-3;1-2
play,8,1,kenna001,12,CCFBX,41/G
play,9,0,aloms001,00,,NP
sub,palmo001,"Orlando Palmeiro",1,5,7
play,9,0,aloms001,11,BFX,9/F9
play,9,0,loftk001,10,BX,8/F8
play,9,0,vizqo001,32,BCFFFFBBX,63/G
data,er,finlc001,8
data,er,speij001,2
data,er,reeds001,0
data,er,karss001,0
data,er,merck001,4
data,er,levia001,1
data,er,holtm001,3
data,er,petkm001,1
data,er,hases001,0
