id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
hairj002,0,1,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moram002,0,2,6,5,4,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
deshd001,0,3,7,5,3,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
conij001,0,4,3,5,4,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
ripkc001,0,5,10,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
coffi001,0,5,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fordb001,0,6,2,4,3,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
minor001,0,7,5,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
matol001,0,8,9,4,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
kingg001,0,9,8,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
erstd001,1,1,8,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
palmo001,1,2,7,4,4,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
vaugm001,1,3,3,4,4,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
salmt001,1,4,9,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
andeg001,1,5,10,4,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
glaut001,1,6,5,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
molib001,1,7,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kenna001,1,8,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gil-b001,1,9,6,3,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
