id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
hillk001,LAN200007130,18,4,5,2,2,129,8,1,2,1,0,1,0,27,22,0,0,0,1,LAN,0,1,1
hases001,LAN200007130,6,1,2,1,0,47,3,0,1,0,0,0,0,10,8,0,0,0,0,LAN,0,1,0
petkm001,LAN200007130,3,1,1,0,0,12,0,0,0,1,0,0,0,4,3,0,0,0,1,LAN,0,1,0
levia001,LAN200007130,2,2,0,1,1,13,0,0,1,0,1,0,0,4,4,0,0,0,0,LAN,0,1,0
bottk001,LAN200007140,21,3,0,3,3,97,3,2,0,0,1,0,0,24,23,0,0,1,0,LAN,0,1,1
petkm001,LAN200007140,3,0,0,0,0,9,0,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
perct001,LAN200007140,3,0,2,0,0,16,0,0,0,0,0,0,0,4,2,0,0,0,0,LAN,0,1,0
ethes001,LAN200007150,18,4,2,2,1,102,2,1,1,2,0,0,0,25,22,0,1,0,0,LAN,0,1,1
petkm001,LAN200007150,3,1,0,0,0,16,0,0,1,0,0,0,0,4,4,0,0,0,0,LAN,0,1,0
hases001,LAN200007150,6,1,1,0,0,19,0,0,1,0,0,0,0,7,6,0,0,0,0,LAN,0,1,0
schos001,TBA200004210,10,7,4,6,5,92,0,0,4,3,0,0,0,21,17,0,0,0,0,TBA,0,1,1
levia001,TBA200004210,7,1,3,0,0,47,1,0,1,0,0,0,0,11,7,0,0,1,0,TBA,0,1,0
petkm001,TBA200004210,7,0,0,0,0,25,1,0,0,0,0,0,0,7,7,0,0,0,0,TBA,0,1,0
perct001,TBA200004210,3,0,0,0,0,11,1,0,0,0,0,0,0,3,3,0,0,0,0,TBA,0,1,0
ortir002,TBA200004220,18,5,4,6,6,99,4,3,1,1,0,1,0,27,22,0,1,0,0,TBA,0,1,1
hases001,TBA200004220,9,5,0,3,3,49,2,1,3,1,0,0,0,13,13,0,0,0,0,TBA,0,1,0
merck001,TBA200004220,2,2,0,2,2,18,1,1,1,0,0,0,0,4,4,0,0,0,0,TBA,0,1,0
dickj001,TBA200004230,21,4,1,1,0,102,6,0,4,0,0,0,0,26,25,0,0,0,0,TBA,0,1,1
petkm001,TBA200004230,3,1,0,0,0,14,0,0,1,0,0,0,0,4,4,0,0,0,0,TBA,0,1,0
ethes001,TBA200006130,15,5,3,2,2,82,5,0,3,2,0,0,0,21,18,0,0,0,0,TBA,0,1,1
levia001,TBA200006130,3,2,0,1,1,16,1,1,1,0,0,0,0,5,5,0,0,0,0,TBA,0,1,0
hases001,TBA200006130,6,0,0,0,0,15,1,0,0,0,0,0,0,6,6,0,0,0,0,TBA,0,1,0
