advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,10,1,,,,,0,2,BX,johnr005,1,0,,goodt001,0,F
,12,1,,,,,1,7,CFBFX,johnr005,1,0,huntb002 grounds out. ,huntb002,0,G
,12,1,,,,,2,11,BCCX,johnr005,1,0,lansm001 grounds out. ,lansm001,0,G
,12,1,womat001,,,,3,5,SCFBX,yoshm001,0,0,womat001 singles. ,womat001,1,
,31,1,womat001,,,,4,10,CBBBX,yoshm001,1,0,,bellj001,1,F
,22,1,,womat001,,gonzl001,5,15,BCBFB,yoshm001,0,0,womat001 steals 2B. ,gonzl001,1,
,32,1,,womat001,,,6,24,BCBFBFFFX,yoshm001,1,0,,gonzl001,1,P
,31,1,durae001,womat001,,,7,29,BBCBB,yoshm001,0,0,durae001 walks. ,durae001,1,
,10,1,durae001,womat001,,,8,31,BX,yoshm001,1,0,,finls001,1,F
,12,2,,,,,9,15,CSBX,johnr005,1,0,,cirij001,0,F
,10,2,,,,,10,17,BX,johnr005,1,0,,hammj001,0,F
,11,2,,,,,11,20,BSX,johnr005,1,0,,shumt001,0,P
,00,2,,,,,12,32,X,yoshm001,1,0,,lee-t002,1,F
,12,2,stink001,,,,13,37,BFSFX,yoshm001,0,0,stink001 singles. ,stink001,1,
stink001 to 2B. ,32,2,,stink001,,counc001,14,44,BBCSBFF,yoshm001,0,0,Balk. ,counc001,1,
,32,2,,stink001,,,15,52,BBCSBFFS,yoshm001,1,0,counc001 strikes out. ,counc001,1,
,12,2,,stink001,,,16,56,BSSS,yoshm001,1,0,johnr005 strikes out. ,johnr005,1,
,32,3,servs002,,,,17,28,BSBFFBFB,johnr005,0,0,servs002 walks. ,servs002,0,
,12,3,servs002,,,,18,34,SSFBFC,johnr005,1,0,peren001 strikes out. ,peren001,0,
servs002 to 2B. ,02,3,,servs002,,,19,37,LLX,johnr005,1,0,Sacrifice bunt by yoshm001.,yoshm001,0,
,22,3,,servs002,,,20,42,BBFSS,johnr005,1,0,goodt001 strikes out. ,goodt001,0,
,02,3,,,,,21,59,FFX,yoshm001,1,0,,womat001,1,F
,32,3,,,,,22,70,BCFFFBBFFFX,yoshm001,1,0,,bellj001,1,F
,20,3,,,,,23,73,BBX,yoshm001,1,0,,gonzl001,1,L
,00,4,huntb002,,,,24,43,X,johnr005,0,0,huntb002 singles. ,huntb002,0,
,01,4,,huntb002,,lansm001,25,45,CB,johnr005,0,0,huntb002 steals 2B. ,lansm001,0,
,12,4,,huntb002,,,26,49,CBFC,johnr005,1,0,lansm001 strikes out. ,lansm001,0,
huntb002 to 3B. ,00,4,,,huntb002,cirij001,27,50,B,johnr005,0,0,Wild Pitch. ,cirij001,0,
huntb002 scores. ,20,4,,,,,28,53,BBX,johnr005,1,1,cirij001 hits sacrifice fly. ,cirij001,0,
