version,2
info,visteam,MON
info,hometeam,ARI
info,site,PHO01
info,date,2000/08/07
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,false
info,umphome,reilm901
info,ump1b,kellj901
info,ump2b,coope901
info,ump3b,diazl901
info,pitches,pitches
info,temp,72
info,winddir,rtol
info,windspeed,0
info,fieldcond,dry
info,precip,none
info,sky,dome
info,timeofgame,139
info,attendance,31526
info,wp,schic002
info,lp,moort001
info,save,
start,bergp001,"Peter Bergeron",0,1,8
start,vidrj001,"Jose Vidro",0,2,4
start,traca001,"Andy Tracy",0,3,5
start,guerv001,"Vladimir Guerrero",0,4,9
start,stevl001,"Lee Stevens",0,5,3
start,blumg001,"Geoff Blum",0,6,6
start,widgc001,"Chris Widger",0,7,2
start,guerw001,"Wilton Guerrero",0,8,7
start,moort001,"Trey Moore",0,9,1
start,womat001,"Tony Womack",1,1,6
start,bellj001,"Jay Bell",1,2,4
start,gonzl001,"Luis Gonzalez",1,3,7
start,willm003,"Matt D. Williams",1,4,5
start,finls001,"Steve Finley",1,5,8
start,colbg001,"Greg Colbrunn",1,6,3
start,milld002,"Damian Miller",1,7,2
start,bautd001,"Danny Bautista",1,8,9
start,schic002,"Curt Schilling",1,9,1
play,1,0,bergp001,11,BCX,4/P4
play,1,0,vidrj001,00,X,63/G
play,1,0,traca001,12,CCBX,D/78
play,1,0,guerv001,31,BCBBB,W
play,1,0,stevl001,32,FBBFBFS,K
play,1,1,womat001,12,CSBX,63/G
play,1,1,bellj001,22,BSBSX,S9
play,1,1,gonzl001,12,CBFFH,HP.1-2
play,1,1,willm003,22,BSFBX,3/FL
play,1,1,finls001,12,BFFS,K.2-H(E2/TH1)(UR);1-2;B-1
play,1,1,colbg001,00,X,S8/78.2-H(UR);1XH(842)
play,2,0,blumg001,22,BCBCX,S7
play,2,0,widgc001,12,FBFX,D7.1-3
play,2,0,guerw001,01,CX,FC5.3XH(52);B-1#
play,2,0,moort001,01,FX,54/SH.2-3;1-2
play,2,0,bergp001,11,FBX,13/G
play,2,1,milld002,00,X,4/P4
play,2,1,bautd001,30,BBBB,W
play,2,1,schic002,01,LX,3/BP3
play,2,1,womat001,00,B,SB2
play,2,1,womat001,20,BBX,3/G
play,3,0,vidrj001,21,BCBX,63/G
play,3,0,traca001,12,FBFFFS,K
play,3,0,guerv001,00,X,53/G
play,3,1,bellj001,20,BBX,9/F9S
play,3,1,gonzl001,11,BFX,9/F9
play,3,1,willm003,00,X,D7/7S
play,3,1,finls001,00,X,43/G
play,4,0,stevl001,21,BFBX,S7
play,4,0,blumg001,02,CFX,8/F8
play,4,0,widgc001,20,BBX,54(1)/FO
play,4,0,guerw001,11,FBX,S8.1-2
play,4,0,moort001,12,SCBX,S.2-3;1-2
play,4,0,bergp001,00,X,S8/G6M.3-H;2-H;1-2
play,4,0,vidrj001,00,X,8/F8
play,4,1,colbg001,10,BX,9/F9
play,4,1,milld002,32,BCBFBX,9/F9
play,4,1,bautd001,22,FSFBFBFX,8/F8
play,5,0,traca001,02,FFX,8/F8
play,5,0,guerv001,00,X,S8
play,5,0,stevl001,01,CX,6(B)3(1)/LDP
play,5,1,schic002,02,FFX,S9
play,5,1,womat001,00,X,36(1)/FO
play,5,1,bellj001,00,X,8/F8
play,5,1,gonzl001,10,BX,S8.1-2
play,5,1,willm003,10,BX,4/P4
play,6,0,blumg001,12,CSFBX,8/F8
play,6,0,widgc001,00,X,8/F8
play,6,0,guerw001,02,CFFS,K
play,6,1,finls001,12,CBFS,K+PB.B-1
play,6,1,colbg001,00,X,9/F9
play,6,1,milld002,20,BBX,D8/8D.1-H(UR)
play,6,1,bautd001,01,FX,S8.2-H
play,6,1,schic002,00,X,53/SH.1-2
play,6,1,womat001,02,CSFX,S8.2-H(UR)
play,6,1,bellj001,00,B,SB2
play,6,1,bellj001,32,BBCCFBFFFB,W+SB3
play,6,1,gonzl001,00,,NP
sub,santj001,"Julio Santana",0,8,1
play,6,1,gonzl001,00,,NP
sub,jonet004,"Terry Jones",0,9,7
play,6,1,gonzl001,11,BFX,43/G
play,7,0,jonet004,01,CX,3/G
play,7,0,bergp001,21,CBBX,8/F8
play,7,0,vidrj001,01,CX,3/G
play,7,1,willm003,32,CSFBBBX,S9
play,7,1,finls001,00,X,46(1)3/GDP
play,7,1,colbg001,22,CBFBX,8/F8
play,8,0,traca001,00,X,7/F7
play,8,0,guerv001,10,BX,9/F9
play,8,0,stevl001,32,CBBFFBS,K
play,8,1,milld002,00,X,5/L5
play,8,1,bautd001,10,BX,63/G
play,8,1,schic002,31,FBBBX,43/G
play,9,0,blumg001,00,X,9/F9
play,9,0,widgc001,02,CFFX,43/G
play,9,0,santj001,00,,NP
sub,seguf001,"Fernando Seguignol",0,8,11
play,9,0,seguf001,12,CFBFS,K
data,er,moort001,1
data,er,santj001,0
data,er,schic002,2
