id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
bergp001,0,1,8,4,4,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
vidrj001,0,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
traca001,0,3,5,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
guerv001,0,4,9,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
stevl001,0,5,3,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
blumg001,0,6,6,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
widgc001,0,7,2,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
guerw001,0,8,7,3,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
santj001,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seguf001,0,8,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
moort001,0,9,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
jonet004,0,9,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
womat001,1,1,6,4,4,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0
bellj001,1,2,4,4,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gonzl001,1,3,7,4,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
willm003,1,4,5,4,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
finls001,1,5,8,4,4,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0
colbg001,1,6,3,4,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
milld002,1,7,2,4,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
bautd001,1,8,9,4,3,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
schic002,1,9,1,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
