id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
snydj001,0,11,8,1,7,7,79,4,0,5,3,0,0,0,20,19,0,0,0,0
delov001,0,1,1,1,0,0,11,0,0,1,0,0,0,0,3,2,0,0,0,1
stule001,0,12,3,2,0,0,52,2,0,3,0,0,0,0,16,14,0,0,0,0
roqur001,0,3,1,1,1,1,20,0,0,0,0,1,0,0,5,4,0,0,0,0
reyna001,1,5,7,0,6,6,43,1,2,5,0,0,0,0,11,11,0,0,0,0
sprir001,1,1,2,0,2,2,10,0,1,1,0,0,0,0,3,3,0,0,0,0
morgm001,1,6,0,0,0,0,24,2,0,0,0,0,0,0,6,6,0,0,0,0
plesd001,1,3,2,2,3,0,40,1,0,1,1,0,0,0,8,6,0,0,0,1
swing001,1,4,7,2,5,5,43,4,1,2,4,0,0,0,13,11,0,0,0,1
kim-b001,1,5,1,0,0,0,28,2,0,0,1,0,0,0,6,6,0,0,0,0
mantm001,1,3,0,1,0,0,23,0,0,0,0,0,0,0,4,3,0,0,0,0
