id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
womat001,PIT200008110,1,6,5,5,2,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,PIT,0,1,0
bellj001,PIT200008110,2,4,5,4,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
gonzl001,PIT200008110,3,7,5,4,1,1,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,PIT,0,1,0
willm003,PIT200008110,4,5,5,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
colbg001,PIT200008110,5,3,5,3,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bautd001,PIT200008110,6,8,5,4,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
milld002,PIT200008110,7,2,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
contj001,PIT200008110,8,9,4,2,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,PIT,0,1,0
reyna001,PIT200008110,9,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,PIT,0,1,0
friah001,PIT200008110,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
swing001,PIT200008110,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
kim-b001,PIT200008110,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
womat001,PIT200008120,1,6,5,4,2,1,2,0,1,1,1,0,0,0,2,0,0,0,0,0,0,PIT,0,1,0
bellj001,PIT200008120,2,4,5,5,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
gonzl001,PIT200008120,3,7,5,4,3,1,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
willm003,PIT200008120,4,5,5,5,1,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,PIT,0,1,0
finls001,PIT200008120,5,8,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
durae001,PIT200008120,6,3,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bautd001,PIT200008120,6,11,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
milld002,PIT200008120,7,2,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
contj001,PIT200008120,8,9,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
colbg001,PIT200008120,8,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
schic002,PIT200008120,9,1,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,PIT,0,1,0
friah001,PIT200008120,9,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
ruffj001,PIT200008120,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
