id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
reesp001,0,1,4,5,4,2,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0
stync001,0,2,5,5,5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
grifk002,0,3,8,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
yound001,0,4,7,4,4,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
cases001,0,5,3,4,4,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
tuckm001,0,6,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
santb001,0,7,2,4,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
sextc001,0,8,6,4,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
harnp001,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
luebl001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
huntb002,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riedj001,0,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
reyed001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sulls001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ochoa001,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gravd001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
furcr001,1,1,6,5,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jonea002,1,2,8,4,2,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0
jonec004,1,3,5,4,3,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
galaa001,1,4,3,4,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
surhb001,1,5,7,4,4,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0
lopej001,1,6,2,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
jordb001,1,7,9,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
lockk001,1,8,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
millk004,1,9,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kamis001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mulht001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joynw001,1,9,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weisw001,1,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rockj001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bonib001,1,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
