id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
thurm002,0,20,7,2,3,3,122,5,0,5,2,0,0,0,30,26,0,1,1,0
klins002,0,2,2,1,2,2,13,0,1,1,0,0,0,0,5,3,0,1,0,0
stris001,0,2,1,1,0,0,25,0,0,1,0,0,0,0,4,3,0,0,0,0
motag001,0,5,3,0,0,0,28,2,0,3,0,0,0,0,7,6,1,1,0,0
spens003,0,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0
liraf001,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0
santj001,0,6,2,0,0,0,33,3,0,2,0,0,0,0,7,7,0,0,0,0
burkj001,1,15,8,1,5,5,95,3,2,4,1,1,0,0,23,22,0,0,0,0
mulht001,1,6,1,2,0,0,31,1,0,0,1,0,0,0,9,7,0,0,0,2
kamis001,1,3,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0
remlm001,1,1,1,2,0,0,20,0,0,1,0,0,0,0,4,1,0,1,0,0
ligtk001,1,2,0,0,0,0,6,1,0,0,0,0,0,0,2,2,0,0,0,0
rockj001,1,3,1,0,0,0,21,1,0,1,0,0,0,0,4,4,0,0,0,0
marqj001,1,3,0,1,0,0,21,1,0,0,0,0,0,0,4,3,0,0,0,0
seelc001,1,3,3,0,2,2,16,0,0,3,0,0,0,0,5,4,0,0,1,0
