advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,01,1,,,,,0,2,CX,burkj001,1,0,,pierj002,0,
,00,1,peren001,,,,1,3,X,burkj001,0,0,peren001 singles. ,peren001,0,
,12,1,peren001,,,,2,8,CBCFS,burkj001,1,0,cirij001 strikes out. ,cirij001,0,
,00,1,peren001,,,,3,9,X,burkj001,1,0,heltt001 grounds out. ,heltt001,0,G
,12,1,,,,,4,5,CSBFX,jarvk001,1,0,furcr001 grounds out. ,furcr001,1,G
,00,1,,,,,5,6,X,jarvk001,1,0,,jonea002,1,P
,12,1,,,,,6,10,SBCX,jarvk001,1,0,,jonec004,1,P
,31,2,,,,,7,14,CBBBX,burkj001,1,0,,walkt002,0,F
,00,2,hollt001,,,,8,15,X,burkj001,0,0,hollt001 singles. ,hollt001,0,
,00,2,,,,shumt001,9,16,1,burkj001,1,0,hollt001 picked off. ,shumt001,0,
,12,2,,,,,10,21,1BCSC,burkj001,1,0,shumt001 strikes out. ,shumt001,0,
,01,2,,,,,11,12,CX,jarvk001,1,0,galaa001 grounds out. ,galaa001,1,G
,22,2,,,,,12,17,FSBBX,jarvk001,1,0,,lopej001,1,F
,12,2,,,,,13,23,BSFFFC,jarvk001,1,0,sandr002 strikes out. ,sandr002,1,
,32,3,maynb001,,,,14,30,BBFBFFFFX,burkj001,0,0,maynb001 singles. ,maynb001,0,
maynb001 to 2B. ,11,3,,maynb001,,,15,33,BLX,burkj001,1,0,Sacrifice bunt by jarvk001.,jarvk001,0,
maynb001 to 3B. ,11,3,pierj002,,maynb001,,16,36,SBX,burkj001,0,0,pierj002 singles. ,pierj002,0,
maynb001 scores. pierj002 to 2B. ,01,3,,pierj002,,,17,38,SX,burkj001,1,1,peren001 grounds out. ,peren001,0,G
pierj002 out. ,12,3,cirij001,,,,18,42,CCBX,burkj001,1,0,cirij001 singles. ,cirij001,0,
,00,3,,,,,19,24,X,jarvk001,1,0,jordb001 grounds out. ,jordb001,1,G
,11,3,,,,,20,27,BFX,jarvk001,1,0,weisw001 grounds out. ,weisw001,1,G
,12,3,,,,,21,31,CSBC,jarvk001,1,0,burkj001 strikes out. ,burkj001,1,
,32,4,,,,,22,49,CBBBSFX,burkj001,1,0,heltt001 grounds out. ,heltt001,0,G
,11,4,,,,,23,52,CBX,burkj001,1,0,walkt002 grounds out. ,walkt002,0,G
,01,4,hollt001,,,,24,54,FX,burkj001,0,0,hollt001 singles. ,hollt001,0,
,11,4,hollt001,,,,25,57,FBX,burkj001,1,0,,shumt001,0,F
,02,4,furcr001,,,,26,34,CFX,jarvk001,0,0,furcr001 singles. ,furcr001,1,
,10,4,furcr001,,,,27,36,BX,jarvk001,1,0,,jonea002,1,F
furcr001 scores. ,01,4,,,,,28,38,SX,jarvk001,0,2,jonec004 homers. ,jonec004,1,
,21,4,,,,,29,42,BBSX,jarvk001,1,0,,galaa001,1,P
,10,4,,,,,30,44,BX,jarvk001,1,0,lopej001 grounds out. ,lopej001,1,G
,00,5,,,,,31,58,X,burkj001,1,0,maynb001 grounds out. ,maynb001,0,G
,12,5,,,,,32,62,FFBS,burkj001,1,0,jarvk001 strikes out. ,jarvk001,0,
,11,5,,,,,33,65,BCX,burkj001,1,0,,pierj002,0,F
,11,5,,sandr002,,,34,47,BFX,jarvk001,0,0,sandr002 doubles. ,sandr002,1,
,12,5,,sandr002,,,35,51,CBFC,jarvk001,1,0,jordb001 strikes out. ,jordb001,1,
,10,5,,sandr002,,,36,53,BX,jarvk001,1,0,,weisw001,1,L
,01,5,,,sandr002,burkj001,37,55,FB,jarvk001,0,0,sandr002 steals 3B. ,burkj001,1,
,11,5,,,sandr002,,38,58,FBX,jarvk001,1,0,burkj001 grounds out. ,burkj001,1,G
,11,6,peren001,,,,39,68,FBX,burkj001,0,0,peren001 singles. ,peren001,0,
peren001 to 2B. ,11,6,cirij001,peren001,,,40,71,CBX,burkj001,0,0,cirij001 singles. ,cirij001,0,
peren001 to 3B. cirij001 to 2B. ,01,6,heltt001,cirij001,peren001,,41,73,CX,burkj001,0,0,heltt001 singles. ,heltt001,0,
peren001 scores. cirij001 to 3B. heltt001 out. ,01,6,walkt002,,cirij001,,42,75,FX,burkj001,1,1,walkt002 reaches on fielder's choice. ,walkt002,0,
,31,6,walkt002,,cirij001,,43,80,FBBBX,burkj001,1,0,,hollt001,0,
cirij001 scores. walkt002 to 2B. ,00,6,shumt001,walkt002,,,44,81,X,burkj001,0,1,shumt001 singles. ,shumt001,0,
,32,6,shumt001,walkt002,,,46,8,BBCFFBFX,millk004,1,0,maynb001 grounds out. ,maynb001,0,G
,32,6,,,furcr001,,47,64,BBBCFX,jarvk001,0,0,furcr001 triples. ,furcr001,1,
furcr001 scores. ,01,6,,,,,48,66,CX,jarvk001,1,1,jonea002 grounds out. ,jonea002,1,G
,32,6,jonec004,,,,49,75,BBFFFFBFB,jarvk001,0,0,jonec004 walks. ,jonec004,1,
jonec004 to 1B. ,02,6,jonec004,,,,50,78,FFX,jarvk001,1,0,galaa001 grounds out. ,galaa001,1,G
jonec004 scores. ,00,6,,,,,51,79,X,jarvk001,0,2,lopej001 homers. ,lopej001,1,
,01,6,sandr002,,,,52,81,SX,jarvk001,0,0,sandr002 singles. ,sandr002,1,
,00,6,,,,jordb001,54,1,1,dipoj001,1,0,sandr002 picked off. ,jordb001,1,
,32,7,penae001,,,,56,14,BBCSBB,millk004,0,0,penae001 walks. ,penae001,0,
,12,7,,,,,57,19,CCBFX,millk004,2,0,Double Play. ,pierj002,0,
,02,7,,,,,58,22,SCC,millk004,1,0,peren001 strikes out. ,peren001,0,
,12,7,jordb001,,,,60,4,BFSX,dejem001,0,0,jordb001 singles. ,jordb001,1,
,10,7,jordb001,,,,61,6,BX,dejem001,1,0,,weisw001,1,F
,12,7,jordb001,,,,62,10,CBCS,dejem001,1,0,millk004 strikes out. ,millk004,1,
,12,7,jordb001,,,,63,16,CSBFFC,dejem001,1,0,furcr001 strikes out. ,furcr001,1,
,22,8,,,,,64,29,CBFBFFS,millk004,1,0,cirij001 strikes out. ,cirij001,0,
,22,8,,,,,65,35,CBBSFS,millk004,1,0,heltt001 strikes out. ,heltt001,0,
,00,8,walkt002,,,,66,36,X,millk004,0,0,walkt002 singles. ,walkt002,0,
walkt002 to 2B. ,31,8,hollt001,walkt002,,,67,41,BBBCX,millk004,0,0,hollt001 singles. ,hollt001,0,
,02,8,hollt001,walkt002,,,68,44,FCS,millk004,1,0,shumt001 strikes out. ,shumt001,0,
,12,8,,,,,70,5,CSBFX,tavaj001,1,0,jonea002 grounds out. ,jonea002,1,G
