id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
millk004,PIT200006120,1,4,2,5,5,34,0,0,3,1,0,0,0,7,5,0,0,0,0,PIT,0,1,1
marqj001,PIT200006120,14,3,2,3,2,69,3,1,2,0,0,0,0,19,17,0,0,0,0,PIT,0,1,0
chenb001,PIT200006120,6,2,1,0,0,32,2,0,2,0,0,0,0,8,7,0,0,0,0,PIT,0,1,0
ligtk001,PIT200006120,3,0,0,0,0,15,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
remlm001,PIT200006120,3,0,0,0,0,9,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
burkj001,PIT200006130,18,6,1,3,3,81,4,0,5,1,0,0,0,24,23,0,0,0,0,PIT,0,1,1
ligtk001,PIT200006130,3,0,0,0,0,18,2,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
seanr001,PIT200006130,2,0,0,0,0,10,0,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
remlm001,PIT200006130,4,3,1,3,3,35,1,0,1,2,0,0,0,8,7,0,0,0,0,PIT,0,1,0
wengd001,PIT200006130,0,1,0,1,1,9,0,1,0,0,0,0,0,1,1,0,0,0,0,PIT,0,1,0
maddg002,PIT200006140,23,8,1,4,4,114,8,1,6,1,0,0,0,32,31,0,0,0,0,PIT,0,1,1
rockj001,PIT200006140,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,PIT,0,1,0
ligtk001,PIT200006140,4,1,0,0,0,26,1,0,0,1,0,0,0,5,5,0,0,0,0,PIT,0,1,0
millk004,PIT200006150,18,5,3,1,1,112,4,0,3,2,0,0,0,27,24,0,0,0,0,PIT,0,1,1
chenb001,PIT200006150,6,2,0,1,1,25,0,0,1,1,0,0,0,8,8,0,0,0,0,PIT,0,1,0
millk004,LAN200005010,21,5,3,0,0,106,4,0,5,0,0,0,0,28,25,0,0,0,0,LAN,0,1,1
seanr001,LAN200005010,3,0,0,0,0,11,0,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
rockj001,LAN200005010,3,1,1,1,1,27,2,0,1,0,0,0,0,5,4,0,0,0,0,LAN,0,1,0
mulht001,LAN200005020,18,10,1,3,3,79,2,0,6,4,0,0,0,27,26,0,0,0,0,LAN,0,1,1
chenb001,LAN200005020,3,0,2,0,0,24,1,0,0,0,0,0,0,5,3,0,0,0,0,LAN,0,1,0
remlm001,LAN200005020,3,0,0,0,0,14,1,0,0,0,0,0,0,3,3,0,0,0,0,LAN,0,1,0
rockj001,LAN200005020,3,1,2,0,0,24,0,0,1,0,0,1,0,5,3,0,0,0,0,LAN,0,1,0
maddg002,LAN200005030,24,9,1,6,5,96,3,2,7,0,0,0,0,34,33,0,0,0,0,LAN,0,1,1
millk004,CHN200004100,21,6,1,0,0,114,6,0,6,0,0,0,0,26,25,0,0,0,0,CHN,0,1,1
remlm001,CHN200004100,3,1,1,1,1,19,1,0,1,0,0,0,0,5,4,0,0,0,0,CHN,0,1,0
ligtk001,CHN200004100,0,2,1,3,3,13,0,1,1,0,0,0,0,3,2,0,0,0,0,CHN,0,1,0
rivel002,CHN200004100,1,1,0,0,0,9,0,0,1,0,0,0,0,2,1,0,1,0,0,CHN,0,1,0
mulht001,CHN200004120,14,7,3,8,8,90,5,3,3,1,0,0,0,24,18,0,2,1,1,CHN,0,1,1
mcmig001,CHN200004120,1,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0,CHN,0,1,0
burkj001,CHN200004120,6,2,0,1,1,31,5,1,1,0,0,0,0,8,8,0,0,0,0,CHN,0,1,0
mcglk001,CHN200004120,3,3,1,2,1,28,3,0,2,1,0,0,0,8,7,0,0,0,1,CHN,0,1,0
