id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
finlc001,0,15,4,3,4,4,110,2,1,2,1,0,0,1,21,17,0,0,0,0
reeds001,0,2,3,1,3,3,23,0,1,2,0,0,0,0,6,5,0,0,0,0
rincr001,0,2,0,1,0,0,15,2,0,0,0,0,0,0,3,2,0,0,0,0
kamis001,0,4,2,0,2,2,20,0,1,1,0,0,0,0,6,6,0,0,0,0
martt003,0,0,3,0,2,2,10,0,0,2,1,0,0,0,3,3,0,0,0,0
wittb001,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0
ponss001,1,18,8,3,6,6,94,1,1,6,1,0,1,0,27,24,0,0,0,0
mcelc001,1,2,1,1,1,0,25,1,0,1,0,0,1,0,5,4,0,0,0,1
reyea001,1,3,1,0,0,0,16,1,0,1,0,0,0,0,4,4,0,0,0,0
ryanb001,1,1,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0
tromm001,1,3,0,0,0,0,14,1,0,0,0,0,0,0,3,3,0,0,0,0
