advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,11,1,,,,,0,3,CBX,johnj007,1,0,erstd001 grounds out. ,erstd001,0,G
,22,1,,,,,1,12,FCBFFFBFS,johnj007,1,0,stock001 strikes out. ,stock001,0,
,01,1,,,,,2,14,CX,johnj007,1,0,vaugm001 grounds out. ,vaugm001,0,G
,32,1,andeb001,,,,3,8,CSBFBBFB,belct001,0,0,andeb001 walks. ,andeb001,1,
andeb001 to 2B. ,31,1,bordm001,andeb001,,,4,13,BBBCB,belct001,0,0,bordm001 walks. ,bordm001,1,
,12,1,bordm001,andeb001,,,5,17,BCCS,belct001,1,0,deshd001 strikes out. ,deshd001,1,
andeb001 to 3B. ,12,1,,,andeb001,,6,22,CBSFX,belct001,2,0,Double Play. ,bellj002,1,
,21,2,salmt001,,,,7,18,BCBX,johnj007,0,0,salmt001 singles. ,salmt001,0,
,21,2,salmt001,,,,8,22,CBBX,johnj007,1,0,,andeg001,0,L
salmt001 scores. ,00,2,,,,,9,23,X,johnj007,0,2,glaut001 homers. ,glaut001,0,
,01,2,,,,,10,25,FX,johnj007,1,0,,molib001,0,L
,00,2,,,,,11,26,X,johnj007,1,0,,kenna001,0,P
,32,2,surhb001,,,,12,28,BBCBCB,belct001,0,0,surhb001 walks. ,surhb001,1,
,01,2,surhb001,,,,13,30,CX,belct001,1,0,,ripkc001,1,F
surhb001 to 3B. ,32,2,,clarw001,surhb001,,14,37,BCFFBBX,belct001,0,0,clarw001 doubles. ,clarw001,1,
,32,2,bainh001,clarw001,surhb001,,15,44,CBBBCFB,belct001,0,0,bainh001 walks. ,bainh001,1,
,22,2,bainh001,clarw001,surhb001,,16,50,BCBCFS,belct001,1,0,myerg001 strikes out. ,myerg001,1,
,32,2,bainh001,clarw001,surhb001,,17,58,BCFFBBFC,belct001,1,0,andeb001 strikes out. ,andeb001,1,
,12,3,palmo001,,,,18,34,CCBFFFFH,johnj007,0,0,palmo001 hit by pitch. ,palmo001,0,
,02,3,palmo001,,,,19,39,CSFFC,johnj007,1,0,erstd001 strikes out. ,erstd001,0,
palmo001 to 2B. ,11,3,stock001,palmo001,,,20,42,SBX,johnj007,0,0,stock001 singles. ,stock001,0,
,11,3,stock001,palmo001,,,21,45,BSX,johnj007,1,0,,vaugm001,0,
palmo001 scores. stock001 to 3B. salmt001 to 2B. ,10,3,,salmt001,stock001,,22,47,BX,johnj007,0,1,salmt001 singles. ,salmt001,0,
stock001 scores. salmt001 scores. ,01,3,,,,,23,49,FX,johnj007,0,3,andeg001 homers. ,andeg001,0,
,11,3,,,,,24,52,BCX,johnj007,1,0,,glaut001,0,F
,32,3,,,,,25,64,CBBBFX,belct001,1,0,bordm001 grounds out. ,bordm001,1,G
,11,3,,deshd001,,,26,67,CBX,belct001,0,0,deshd001 doubles. ,deshd001,1,
,00,3,,deshd001,,,27,68,X,belct001,1,0,,bellj002,1,F
,20,3,,deshd001,,,28,71,BBX,belct001,1,0,surhb001 grounds out. ,surhb001,1,G
,10,4,,,,,29,54,BX,johnj007,1,0,,molib001,0,F
,11,4,,,,,30,57,LBX,johnj007,1,0,kenna001 grounds out. ,kenna001,0,G
,02,4,,,,,31,61,CSFX,johnj007,1,0,palmo001 grounds out. ,palmo001,0,G
