version,2
info,visteam,FLO
info,hometeam,BAL
info,site,BAL12
info,date,2000/07/18
info,number,0
info,starttime,7:35PM
info,daynight,night
info,usedh,true
info,umphome,fostm901
info,ump1b,kulpr901
info,ump2b,vanvm901
info,ump3b,herna901
info,pitches,pitches
info,temp,88
info,winddir,ltor
info,windspeed,5
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,157
info,attendance,38828
info,wp,sancj001
info,lp,mussm001
info,save,
start,castl001,"Luis Castillo",0,1,4
start,kotsm001,"Mark Kotsay",0,2,9
start,floyc001,"Cliff Floyd",0,3,7
start,wilsp002,"Preston Wilson",0,4,8
start,lee-d002,"Derrek Lee",0,5,3
start,millk005,"Kevin Millar",0,6,10
start,bergd002,"Dave Berg",0,7,5
start,gonza002,"Alex Gonzalez",0,8,6
start,redmm001,"Mike Redmond",0,9,2
start,sancj001,"Jesus Sanchez",0,0,1
start,andeb001,"Brady Anderson",1,1,9
start,bordm001,"Mike Bordick",1,2,6
start,clarw001,"Will Clark",1,3,3
start,bellj002,"Albert Belle",1,4,10
start,conij001,"Jeff Conine",1,5,5
start,surhb001,"B.J. Surhoff",1,6,7
start,johnc002,"Charles Johnson",1,7,2
start,lewim001,"Mark Lewis",1,8,4
start,matol001,"Luis Matos",1,9,8
start,mussm001,"Mike Mussina",1,0,1
play,1,0,castl001,32,BFBBCFX,7/L7
play,1,0,kotsm001,22,CFBBX,43/G
play,1,0,floyc001,02,FFX,S9
play,1,0,wilsp002,12,BCSFX,9/F9
play,1,1,andeb001,32,FCBBBX,4/FL
play,1,1,bordm001,12,BCFS,K23
play,1,1,clarw001,22,BFBSS,K
play,2,0,lee-d002,00,X,D/89D
play,2,0,millk005,10,BX,D7.2-H
play,2,0,bergd002,01,FX,3/G.2-3
play,2,0,gonza002,00,X,S9.3-H
play,2,0,redmm001,00,X,S9.1-3
play,2,0,castl001,10,BX,S7/7S.3-H;1-2
play,2,0,kotsm001,00,X,36(1)/FO.2-3
play,2,0,floyc001,11,SBX,43/G
play,2,1,bellj002,21,BFBX,63/G
play,2,1,conij001,20,BBX,13/G
play,2,1,surhb001,11,CBX,S9
play,2,1,johnc002,22,CBCBFS,K
play,3,0,wilsp002,22,CSBBX,53/G
play,3,0,lee-d002,20,BBX,S
play,3,0,millk005,11,SBX,54(1)3/GDP
play,3,1,lewim001,00,X,8/L8
play,3,1,matol001,22,BCSBX,63/G
play,3,1,andeb001,31,BBBCX,S8
play,3,1,bordm001,20,BBX,8/F8D
play,4,0,bergd002,12,BCCS,K23
play,4,0,gonza002,01,FX,53/G
play,4,0,redmm001,10,BX,4/P4
play,4,1,clarw001,12,BCCX,13/G
play,4,1,bellj002,10,BX,S7
play,4,1,conij001,01,FX,14(1)3/GDP
play,5,0,castl001,00,X,13/BG
play,5,0,kotsm001,00,X,9/L9D
play,5,0,floyc001,30,BBBB,W
play,5,0,wilsp002,00,B,SB2
play,5,0,wilsp002,20,BBX,13/G
play,5,1,surhb001,01,CX,7/F7D
play,5,1,johnc002,00,X,63/G
play,5,1,lewim001,20,BBX,63/G
play,6,0,lee-d002,02,FFS,K
play,6,0,millk005,00,X,6/P6
play,6,0,bergd002,11,CBX,S8/8S
play,6,0,gonza002,11,BSX,8/F8D
play,6,1,matol001,00,X,D9
play,6,1,andeb001,00,X,43/G.2-3
play,6,1,bordm001,02,CFS,K23
play,6,1,clarw001,31,BBCBX,8/F8D
play,7,0,redmm001,12,CCBX,9/L9
play,7,0,castl001,11,CBX,63/G
play,7,0,kotsm001,31,BBFBX,8/F8
play,7,1,bellj002,20,BBX,D9/9D
play,7,1,conij001,00,X,9/F9D.2-3
play,7,1,surhb001,20,BBX,6/P6
play,7,1,johnc002,22,CBBSFS,K
play,8,0,floyc001,00,,NP
sub,holmd001,"Darren Holmes",1,0,1
play,8,0,floyc001,01,CX,S8
play,8,0,wilsp002,11,BSX,HR/8.1-H
play,8,0,lee-d002,21,FBBX,S7/7S
play,8,0,millk005,20,BBX,HR/7.1-H
play,8,0,bergd002,12,BCCS,K
play,8,0,gonza002,02,CSX,8/F8
play,8,0,redmm001,02,FFS,K
play,8,1,lewim001,32,CBBFBX,S
play,8,1,matol001,21,BCBX,64(1)/FO
play,8,1,andeb001,20,BBX,S8.1-2
play,8,1,bordm001,22,BBFFX,54(1)/FO.2-3
play,8,1,clarw001,21,BBFX,6/L6
play,9,0,castl001,00,,NP
sub,molig001,"Gabe Molina",1,0,1
play,9,0,castl001,10,BX,S9
play,9,0,kotsm001,10,BX,7/F7
play,9,0,floyc001,32,BBFFFFFBFX,64(1)/FO
play,9,0,wilsp002,12,CBCFX,54(1)/FO
play,9,1,bellj002,00,X,8/F8D
play,9,1,conij001,01,FX,S7
play,9,1,surhb001,00,X,2/FL
play,9,1,johnc002,31,FBBBX,6/P6
data,er,sancj001,0
data,er,mussm001,3
data,er,holmd001,4
data,er,molig001,0
