version,2
info,visteam,CLE
info,hometeam,BAL
info,site,BAL12
info,date,2000/07/30
info,number,0
info,starttime,1:35PM
info,daynight,day
info,usedh,true
info,umphome,mcclt901
info,ump1b,craft901
info,ump2b,cuzzp901
info,ump3b,schrp901
info,pitches,pitches
info,temp,88
info,winddir,tocf
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,187
info,attendance,47065
info,wp,parrj003
info,lp,finlc001
info,save,
start,loftk001,"Kenny Lofton",0,1,8
start,vizqo001,"Omar Vizquel",0,2,6
start,alomr001,"Roberto Alomar",0,3,4
start,ramim002,"Manny Ramirez",0,4,10
start,cordw001,"Wil Cordero",0,5,7
start,frymt001,"Travis Fryman",0,6,5
start,segud001,"David Segui",0,7,3
start,aloms001,"Sandy Alomar",0,8,2
start,cabrj002,"Jolbert Cabrera",0,9,9
start,finlc001,"Chuck Finley",0,0,1
start,andeb001,"Brady Anderson",1,1,9
start,moram002,"Melvin Mora",1,2,6
start,deshd001,"Delino DeShields",1,3,4
start,bellj002,"Albert Belle",1,4,10
start,conij001,"Jeff Conine",1,5,3
start,surhb001,"B.J. Surhoff",1,6,7
start,fordb001,"Brook Fordyce",1,7,2
start,minor001,"Ryan Minor",1,8,5
start,matol001,"Luis Matos",1,9,8
start,parrj003,"John Parrish",1,0,1
play,1,0,loftk001,31,BBBCX,E3/G
play,1,0,vizqo001,21,BCBX,54(1)3/GDP
play,1,0,alomr001,00,X,S7/7S
play,1,0,ramim002,30,BBBB,W.1-2
play,1,0,cordw001,12,SBCS,K
play,1,1,andeb001,32,BFCBFFBB,W
play,1,1,moram002,32,BBCBFFX,8/F8
play,1,1,deshd001,00,X,D7.1-3
play,1,1,bellj002,30,IIII,IW
play,1,1,conij001,21,BBCX,S7/7S.3-H;2-H;1-2
play,1,1,surhb001,32,CBBBFX,64(1)3/GDP
play,2,0,frymt001,00,X,9/F9
play,2,0,segud001,01,CX,9/F9
play,2,0,aloms001,22,CBSBS,K
play,2,1,fordb001,12,CFBS,K
play,2,1,minor001,20,BBX,13/G
play,2,1,matol001,11,CBX,S8
play,2,1,andeb001,20,BBB,SB2
play,2,1,andeb001,30,BBBB,W
play,2,1,moram002,12,BCFFX,4/P4
play,3,0,cabrj002,32,BCSFBBB,W
play,3,0,loftk001,12,BFCB,WP.1-2
play,3,0,loftk001,32,BFCBFBC,K/C
play,3,0,vizqo001,32,BBBCSX,53/G
play,3,0,alomr001,10,BX,53/G
play,3,1,deshd001,01,CX,43/G
play,3,1,bellj002,10,BX,43/G
play,3,1,conij001,00,X,S8
play,3,1,surhb001,00,X,43/G
play,4,0,ramim002,11,CBX,8/F8S
play,4,0,cordw001,10,BX,63/G
play,4,0,frymt001,11,CBX,63/G
play,4,1,fordb001,11,BFX,43/G
play,4,1,minor001,02,CFX,9/F9
play,4,1,matol001,00,X,4/P4
play,5,0,segud001,20,BBX,S
play,5,0,aloms001,11,BSX,S7/7S.1-2
play,5,0,cabrj002,31,BBBCX,7/L7
play,5,0,loftk001,30,BBBB,W.2-3;1-2
play,5,0,vizqo001,01,CX,3/FL
play,5,0,alomr001,02,CSS,K
play,5,1,andeb001,00,X,S8
play,5,1,moram002,01,CX,13/SH.1-2
play,5,1,deshd001,00,X,31/G.2-3
play,5,1,bellj002,30,IIII,IW
play,5,1,conij001,01,CX,63/G
play,6,0,ramim002,31,BBSBB,W
play,6,0,cordw001,01,CH,HP.1-2
play,6,0,frymt001,32,FBCBBFB,W.2-3;1-2
play,6,0,segud001,00,X,HR/7.3-H;2-H;1-H
play,6,0,aloms001,21,CBBX,4/P4
play,6,0,cabrj002,22,BLBCX,43/G
play,6,0,loftk001,12,CFBC,K/C
play,6,1,surhb001,11,CBX,S7/7S
play,6,1,fordb001,00,X,S8.1-2
play,6,1,minor001,10,BX,E1/TH.2-H;1-3
play,6,1,matol001,11,FBX,54(1)/FO.3-H(UR)
play,6,1,andeb001,00,B,SB2
play,6,1,andeb001,31,BBBSB,W
play,6,1,moram002,00,,NP
sub,speij001,"Justin Speier",0,0,1
play,6,1,moram002,01,CB,SB3;SB2
play,6,1,moram002,22,CBFFBX,S9.3-H;2-3
play,6,1,deshd001,10,BX,8/SF.3-H(UR)
play,6,1,bellj002,10,BX,8/F8
play,7,0,vizqo001,00,,NP
sub,milla001,"Alan Mills",1,0,1
play,7,0,vizqo001,01,CX,S7
play,7,0,alomr001,11,CBX,S9.1-2
play,7,0,ramim002,10,BB,WP.2-3
play,7,0,ramim002,20,BBB,SB2
play,7,0,ramim002,32,BBBSSB,W
play,7,0,cordw001,00,X,S7.3-H;2XH(72);1-2
play,7,0,frymt001,21,BSBX,6/P6
play,7,0,segud001,12,CCBX,7/F7
play,7,1,conij001,10,BX,S7
play,7,1,surhb001,02,SCC,K/C
play,7,1,fordb001,01,CX,S8.1-3;B-2(TH3)
play,7,1,minor001,00,,NP
sub,shuep001,"Paul Shuey",0,0,1
play,7,1,minor001,00,,NP
sub,coffi001,"Ivanon Coffie",1,8,11
play,7,1,coffi001,00,H,HP
play,7,1,matol001,00,X,D/78.3-H;2-H;1-H
play,7,1,andeb001,11,BCC,SB3
play,7,1,andeb001,12,BCCX,8/SF.3-H
play,7,1,moram002,32,BBCBFFS,K
play,8,0,aloms001,00,,NP
sub,coffi001,"Ivanon Coffie",1,8,5
play,8,0,aloms001,11,FBX,63/G
play,8,0,cabrj002,32,CBCBFBB,W
play,8,0,loftk001,21,CBBX,54(1)/FO
play,8,0,vizqo001,12,CFBX,3/G
play,8,1,deshd001,00,,NP
sub,karss001,"Steve Karsay",0,0,1
play,8,1,deshd001,10,BX,S8
play,8,1,bellj002,21,BBFX,9/F9
play,8,1,conij001,11,CBX,9/F9D
play,8,1,surhb001,00,X,7/F7
play,9,0,alomr001,00,,NP
sub,tromm001,"Mike Trombley",1,0,1
play,9,0,alomr001,11,CBX,HR/9
play,9,0,ramim002,32,CBBSBX,HR/8
play,9,0,cordw001,01,CX,8/F8
play,9,0,frymt001,00,X,6/P6
play,9,0,segud001,31,BSBBB,W
play,9,0,aloms001,11,BCX,8/L8
data,er,finlc001,4
data,er,speij001,2
data,er,shuep001,2
data,er,karss001,0
data,er,parrj003,4
data,er,milla001,1
data,er,tromm001,2
