version,2
info,visteam,KCA
info,hometeam,BAL
info,site,BAL12
info,date,2000/08/19
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,millb901
info,ump1b,mealj901
info,ump2b,younl901
info,ump3b,katzt901
info,pitches,pitches
info,temp,82
info,winddir,ltor
info,windspeed,5
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,156
info,attendance,43827
info,wp,suzum001
info,lp,mercj001
info,save,
start,damoj001,"Johnny Damon",0,1,8
start,sancr001,"Rey Sanchez",0,2,6
start,sweem002,"Mike Sweeney",0,3,3
start,dye-j001,"Jermaine Dye",0,4,9
start,randj002,"Joe Randa",0,5,5
start,quinm001,"Mark Quinn",0,6,10
start,dunwt001,"Todd Dunwoody",0,7,7
start,zaung001,"Gregg Zaun",0,8,2
start,delgw001,"Wilson Delgado",0,9,4
start,suzum001,"Mac Suzuki",0,0,1
start,hairj002,"Jerry Hairston",1,1,4
start,moram002,"Melvin Mora",1,2,6
start,deshd001,"Delino DeShields",1,3,7
start,bellj002,"Albert Belle",1,4,9
start,conij001,"Jeff Conine",1,5,10
start,richc001,"Chris Richard",1,6,3
start,fordb001,"Brook Fordyce",1,7,2
start,minor001,"Ryan Minor",1,8,5
start,matol001,"Luis Matos",1,9,8
start,mercj001,"Jose Mercedes",1,0,1
play,1,0,damoj001,02,CCS,K
play,1,0,sancr001,31,BBBCX,63/G
play,1,0,sweem002,32,CBBFFBFFFB,W
play,1,0,dye-j001,22,FBFBS,K
play,1,1,hairj002,11,CBX,63/G
play,1,1,moram002,12,CBFX,53/G
play,1,1,deshd001,32,BCFBFBX,8/F8
play,2,0,randj002,02,CCX,43/G
play,2,0,quinm001,00,X,9/F9
play,2,0,dunwt001,22,BBSFFX,4/P4
play,2,1,bellj002,00,X,43/G
play,2,1,conij001,31,BCBBB,W
play,2,1,richc001,20,BBX,7/F7
play,2,1,fordb001,00,X,D/89D.1-3
play,2,1,minor001,00,X,43/G
play,3,0,zaung001,21,BCBX,S7
play,3,0,delgw001,01,CX,64(1)3/GDP
play,3,0,damoj001,00,X,7/F7
play,3,1,matol001,00,X,S9
play,3,1,hairj002,21,BBCX,64(1)3/GDP
play,3,1,moram002,31,CBBBX,4/P4
play,4,0,sancr001,01,CX,S9
play,4,0,sweem002,11,CBX,S.1-2
play,4,0,dye-j001,30,BBBB,W.2-3;1-2
play,4,0,randj002,10,BX,5/P5
play,4,0,quinm001,01,FX,63/G.3-H;2-3;1-2
play,4,0,dunwt001,01,CX,8/F8
play,4,1,deshd001,31,BCBBB,W
play,4,1,bellj002,21,BFBX,8/L8
play,4,1,conij001,10,BX,64(1)3/GDP
play,5,0,zaung001,22,BBCCX,3/G
play,5,0,delgw001,02,CCS,K
play,5,0,damoj001,10,BX,7/F7
play,5,1,richc001,11,CBX,43/G
play,5,1,fordb001,10,BX,53/G
play,5,1,minor001,00,X,53/G
play,6,0,sancr001,00,X,S
play,6,0,sweem002,12,BFCX,4/L4
play,6,0,dye-j001,32,BBCCBB,W.1-2
play,6,0,randj002,10,BX,HR/7.2-H;1-H
play,6,0,quinm001,01,CX,53/G
play,6,0,dunwt001,00,X,E3/G
play,6,0,zaung001,22,CBBSFX,64(1)/FO
play,6,1,matol001,11,CBX,53/G
play,6,1,hairj002,32,BBCSBX,7/F7
play,6,1,moram002,00,X,E5/G
play,6,1,deshd001,32,BBBCFB,W.1-2
play,6,1,bellj002,11,CBX,6/L6
play,7,0,delgw001,22,FCBBX,S
play,7,0,damoj001,11,CBX,T9.1-H
play,7,0,sancr001,22,FCFBBFH,HP
play,7,0,sweem002,22,FBBSX,S8.3-H;1-2
play,7,0,dye-j001,00,,NP
sub,spurj001,"Jay Spurgeon",1,0,1
play,7,0,dye-j001,32,BBFFBFFFC,K/C
play,7,0,randj002,01,CX,9/F9
play,7,0,quinm001,11,FBX,9/F9
play,7,1,conij001,10,BX,53/G
play,7,1,richc001,22,BFBFS,K
play,7,1,fordb001,11,SBX,S8
play,7,1,minor001,12,CBSS,K
play,8,0,dunwt001,00,X,4/P4
play,8,0,zaung001,01,CX,43/G
play,8,0,delgw001,00,X,S8
play,8,0,damoj001,21,BFBX,43/G
play,8,1,matol001,12,FBCFC,K/C
play,8,1,hairj002,11,BCX,43/G
play,8,1,moram002,01,CX,S8
play,8,1,deshd001,21,BFBX,53/G
play,9,0,sancr001,00,,NP
sub,hubbt001,"Trenidad Hubbard",1,3,7
play,9,0,sancr001,01,SX,S8
play,9,0,sweem002,10,BX,4(B)3(1)/FDP
play,9,0,dye-j001,00,X,HR/7
play,9,0,randj002,02,CFFX,8/F8
play,9,1,bellj002,20,BBX,63/G
play,9,1,conij001,22,BSBFS,K
play,9,1,richc001,11,SBX,43/G
data,er,suzum001,0
data,er,mercj001,6
data,er,spurj001,1
