id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
amarr001,NYN200006050,1,8,5,3,1,2,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,NYN,0,1,0
bordm001,NYN200006050,2,6,5,4,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
conij001,NYN200006050,3,3,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
bellj002,NYN200006050,4,9,4,4,3,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
johnc002,NYN200006050,5,2,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NYN,0,1,0
ripkc001,NYN200006050,6,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
surhb001,NYN200006050,7,7,4,4,3,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,NYN,0,1,0
lewim001,NYN200006050,8,4,3,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
tromm001,NYN200006050,8,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
timlm001,NYN200006050,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
mussm001,NYN200006050,9,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
deshd001,NYN200006050,9,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
andeb001,NYN200006070,1,8,5,5,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
bordm001,NYN200006070,2,6,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NYN,0,1,0
lewim001,NYN200006070,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
deshd001,NYN200006070,3,4,5,5,3,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,NYN,0,1,0
bellj002,NYN200006070,4,9,5,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
surhb001,NYN200006070,5,7,4,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
ripkc001,NYN200006070,6,5,3,2,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,NYN,0,1,0
conij001,NYN200006070,6,11,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
clarw001,NYN200006070,7,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NYN,0,1,0
