version,2
info,visteam,DET
info,hometeam,BOS
info,site,BOS07
info,date,2000/05/03
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,hirsm901
info,ump1b,lampi901
info,ump2b,bellw901
info,ump3b,iassd901
info,pitches,pitches
info,temp,62
info,winddir,rtol
info,windspeed,20
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,147
info,attendance,27397
info,wp,lowed001
info,lp,weavj002
info,save,
start,halts001,"Shane Halter",0,1,5
start,ausmb001,"Brad Ausmus",0,2,2
start,encaj001,"Juan Encarnacion",0,3,8
start,gonzj002,"Juan Gonzalez",0,4,10
start,higgb001,"Bobby Higginson",0,5,7
start,easld001,"Damion Easley",0,6,4
start,magew001,"Wendell Magee",0,7,9
start,clart002,"Tony Clark",0,8,3
start,cruzd001,"Deivi Cruz",0,9,6
start,weavj002,"Jeff Weaver",0,0,1
start,offej001,"Jose Offerman",1,1,4
start,nixot001,"Trot Nixon",1,2,9
start,daubb001,"Brian Daubach",1,3,10
start,garcn001,"Nomar Garciaparra",1,4,6
start,oleat001,"Troy O'Leary",1,5,7
start,everc001,"Carl Everett",1,6,8
start,stanm002,"Mike Stanley",1,7,3
start,hatts001,"Scott Hatteberg",1,8,2
start,veraw001,"Wilton Veras",1,9,5
start,schop001,"Pete Schourek",1,0,1
play,1,0,halts001,32,BBCBFX,D/78
play,1,0,ausmb001,01,FX,63/G
play,1,0,encaj001,11,CBX,S7/7D.2-H
play,1,0,gonzj002,00,X,54(1)3/GDP
play,1,1,offej001,22,BBCCFX,6/L6
play,1,1,nixot001,11,CBX,31/G
play,1,1,daubb001,00,X,S7.BX2(74)
play,2,0,higgb001,22,CFBBS,K
play,2,0,easld001,12,CBFX,5/L5
play,2,0,magew001,12,FBCFX,S8
play,2,0,clart002,11,CBX,43/G
play,2,1,garcn001,32,BFBCBFFFB,W
play,2,1,oleat001,00,X,46(1)3/GDP
play,2,1,everc001,32,CBBBFB,W
play,2,1,stanm002,21,CBBX,HR/7.1-H
play,2,1,hatts001,32,BCFBBC,K/C
play,3,0,cruzd001,11,BSX,63/G
play,3,0,halts001,12,CCBC,K/C
play,3,0,ausmb001,32,FBBCFBB,W
play,3,0,encaj001,32,FBFFBFBX,63/G
play,3,1,veraw001,00,X,4/P4
play,3,1,offej001,32,CBFBBFB,W
play,3,1,nixot001,00,C,CS2(26)
play,3,1,nixot001,11,CBX,3/G
play,4,0,gonzj002,10,BX,63/G
play,4,0,higgb001,22,CCBFBFS,K
play,4,0,easld001,32,FFBFFBBFX,7/F7
play,4,1,daubb001,22,BSBCX,8/F8
play,4,1,garcn001,10,BX,53/G
play,4,1,oleat001,31,BCBBB,W
play,4,1,everc001,11,FBX,S9.1-2
play,4,1,stanm002,22,CCBBX,4/P4
play,5,0,magew001,12,CBSFX,53/G
play,5,0,clart002,01,FX,HR/7
play,5,0,cruzd001,10,BX,8/F8
play,5,0,halts001,12,CBSS,K
play,5,1,hatts001,12,FCBFX,63/G
play,5,1,veraw001,22,BFFFBFX,9/F9
play,5,1,offej001,00,X,43/G
play,6,0,ausmb001,21,BCBX,S5/BG5
play,6,0,encaj001,00,X,8/F8
play,6,0,gonzj002,22,FFFBBX,46(1)3/GDP
play,6,1,nixot001,11,BCX,9/F9
play,6,1,daubb001,12,BSSC,K/C
play,6,1,garcn001,00,X,D8/8D
play,6,1,oleat001,20,BBX,3/G
play,7,0,higgb001,00,X,S7
play,7,0,easld001,02,CCFS,K
play,7,0,magew001,00,X,54(1)3/GDP
play,7,1,everc001,11,BSX,43/G
play,7,1,stanm002,11,CBX,8/F8
play,7,1,hatts001,22,BFFBC,K/C
play,8,0,clart002,00,,NP
sub,lowed001,"Derek Lowe",1,0,1
play,8,0,clart002,10,BX,43/G
play,8,0,cruzd001,22,CBBCX,7/L7
play,8,0,halts001,22,BFBFX,53/G
play,8,1,veraw001,21,BFBX,7/F7
play,8,1,offej001,21,CBBX,D9/9S
play,8,1,nixot001,11,BCX,D9/9D.2-H
play,8,1,daubb001,00,,NP
sub,pattd001,"Danny Patterson",0,0,1
play,8,1,daubb001,32,BSBFBX,31/G.2-3
play,8,1,garcn001,00,X,S.3-H
play,8,1,oleat001,00,X,43/G
play,9,0,ausmb001,12,CBCFC,K/C
play,9,0,encaj001,12,BCCX,43/G
play,9,0,gonzj002,11,BCX,9/F9
data,er,weavj002,4
data,er,pattd001,0
data,er,schop001,2
data,er,lowed001,0
