advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,32,1,,,willg001,,0,6,BCBBSX,martr002,0,0,willg001 triples. ,willg001,0,
,32,1,,,willg001,,1,12,CBBBFX,martr002,1,0,,martd002,0,F
willg001 scores. ,11,1,vaugg001,,,,2,15,CBX,martr002,0,1,vaugg001 singles. ,vaugg001,0,
vaugg001 out. ,11,1,cansj001,,,,3,18,CBX,martr002,1,0,cansj001 reaches on fielder's choice. ,cansj001,0,
cansj001 to 2B. ,20,1,mcgrf001,cansj001,,,4,21,BBX,martr002,0,0,mcgrf001 singles. ,mcgrf001,0,
cansj001 to 3B. mcgrf001 out. ,02,1,castv001,,cansj001,,5,25,CCFX,martr002,1,0,castv001 reaches on fielder's choice. ,castv001,0,
,12,1,,,,,6,4,CCBC,eilad001,1,0,offej001 strikes out. ,offej001,1,
,20,1,,nixot001,,,7,7,BBX,eilad001,0,0,nixot001 doubles. ,nixot001,1,
nixot001 scores. ,02,1,,daubb001,,,8,10,CSX,eilad001,0,1,daubb001 doubles. ,daubb001,1,
daubb001 to 3B. ,11,1,,,daubb001,,9,13,BCX,eilad001,1,0,garcn001 grounds out. ,garcn001,1,G
,02,1,,,daubb001,,10,17,SSFS,eilad001,1,0,oleat001 strikes out. ,oleat001,1,
,12,2,,,,,11,31,CBFFFX,martr002,1,0,difem001 grounds out. ,difem001,0,G
,11,2,,,,,12,34,CBX,martr002,1,0,stock001 grounds out. ,stock001,0,G
,11,2,,,,,13,37,BCX,martr002,1,0,,graft001,0,F
,02,2,,,,,14,20,CFX,eilad001,1,0,,everc001,1,
,12,2,,,,,15,24,SSBX,eilad001,1,0,,stanm002,1,P
,32,2,varij001,,,,16,31,BCBCFBB,eilad001,0,0,varij001 walks. ,varij001,1,
,02,2,varij001,,,,17,34,SCX,eilad001,1,0,veraw001 grounds out. ,veraw001,1,G
,02,3,,,,,18,40,FCX,martr002,1,0,willg001 grounds out. ,willg001,0,G
,32,3,,,,,19,46,BBBCFS,martr002,1,0,martd002 strikes out. ,martd002,0,
,22,3,vaugg001,,,,20,51,CBBCX,martr002,0,0,vaugg001 singles. ,vaugg001,0,
,01,3,,vaugg001,,cansj001,21,53,FB,martr002,0,0,vaugg001 steals 2B. ,cansj001,0,
,32,3,cansj001,vaugg001,,,22,59,FBFBBB,martr002,0,0,cansj001 walks. ,cansj001,0,
,12,3,cansj001,vaugg001,,,23,63,FFBS,martr002,1,0,mcgrf001 strikes out. ,mcgrf001,0,
