id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
andeb001,0,1,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bordm001,0,2,6,5,5,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
deshd001,0,3,4,5,5,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
bellj002,0,4,9,5,4,1,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0
conij001,0,5,3,5,4,2,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0
surhb001,0,6,7,5,4,2,1,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0
ripkc001,0,7,5,5,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
erics001,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
milla001,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
groob001,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clarw001,0,8,10,3,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
matol001,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bainh001,0,8,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lewim001,0,8,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnc002,0,9,2,4,4,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
offej001,1,1,4,5,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
fryej001,1,2,9,5,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
daubb001,1,3,7,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
alcai001,1,3,7,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
garcn001,1,4,6,5,5,3,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0
burkm001,1,5,10,5,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
stanm002,1,6,3,5,4,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
hatts001,1,7,2,5,4,1,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0
alexm001,1,8,5,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
varij001,1,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lowed001,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
florb001,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pridc001,1,9,8,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
lewid001,1,9,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
veraw001,1,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
