version,2
info,visteam,MON
info,hometeam,BOS
info,site,BOS07
info,date,2000/07/18
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,riekr901
info,ump1b,emmep901
info,ump2b,davig901
info,ump3b,guccc901
info,pitches,pitches
info,temp,75
info,winddir,tocf
info,windspeed,10
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,159
info,attendance,32629
info,wp,martp001
info,lp,vazqj001
info,save,lowed001
start,bergp001,"Peter Bergeron",0,1,8
start,guerw001,"Wilton Guerrero",0,2,9
start,vidrj001,"Jose Vidro",0,3,4
start,guerv001,"Vladimir Guerrero",0,4,10
start,stevl001,"Lee Stevens",0,5,3
start,blumg001,"Geoff Blum",0,6,6
start,seguf001,"Fernando Seguignol",0,7,7
start,barrm003,"Michael Barrett",0,8,5
start,websl001,"Lenny Webster",0,9,2
start,vazqj001,"Javier Vazquez",0,0,1
start,offej001,"Jose Offerman",1,1,3
start,fryej001,"Jeff Frye",1,2,4
start,daubb001,"Brian Daubach",1,3,10
start,garcn001,"Nomar Garciaparra",1,4,6
start,oleat001,"Troy O'Leary",1,5,7
start,varij001,"Jason Varitek",1,6,2
start,gilkb001,"Bernard Gilkey",1,7,9
start,sprae001,"Ed Sprague",1,8,5
start,lewid001,"Darren Lewis",1,9,8
start,martp001,"Pedro Martinez",1,0,1
play,1,0,bergp001,00,X,D/78
play,1,0,guerw001,12,LLBS,K
play,1,0,vidrj001,32,BCFFBBFFS,K
play,1,0,guerv001,31,SBBBB,W
play,1,0,stevl001,22,BCBSS,K
play,1,1,offej001,11,CBX,9/F9
play,1,1,fryej001,12,CBCX,9/F9
play,1,1,daubb001,20,BBX,6/P6
play,2,0,blumg001,02,CSC,K/C
play,2,0,seguf001,02,SFX,6/P6
play,2,0,barrm003,00,X,8/F8D
play,2,1,garcn001,30,BBBB,W
play,2,1,oleat001,22,CBSBX,5/FL
play,2,1,varij001,22,SBBFFX,E3/TH.1-2
play,2,1,gilkb001,11,BCX,54(1)3/GDP.2-3
play,3,0,websl001,32,BSBBSB,W
play,3,0,bergp001,20,BBX,3(B)6(1)/GDP
play,3,0,guerw001,22,FFFBFFFBFX,E4/G
play,3,0,vidrj001,00,X,6(1)/FO/G
play,3,1,sprae001,10,BX,S9
play,3,1,lewid001,01,CX,S7.1-2
play,3,1,offej001,10,BX,S8.2-H;1-2
play,3,1,fryej001,22,BBCFS,K
play,3,1,daubb001,00,X,3/L3
play,3,1,garcn001,01,CX,64(1)/FO.2-3
play,4,0,guerv001,12,CBSS,K
play,4,0,stevl001,11,SBX,3/G
play,4,0,blumg001,32,BFBBCS,K
play,4,1,oleat001,20,BBX,S7/7S
play,4,1,varij001,00,X,64(1)3/GDP
play,4,1,gilkb001,22,CBCBX,S9
play,4,1,sprae001,12,FBCS,K
play,5,0,seguf001,02,FFS,K
play,5,0,barrm003,12,SFFBS,K
play,5,0,websl001,22,BFBCFX,S8
play,5,0,bergp001,02,SCFS,K
play,5,1,lewid001,20,BBX,53/G
play,5,1,offej001,11,FBX,7/F7
play,5,1,fryej001,10,BX,63/G
play,6,0,guerw001,11,CBX,43/G
play,6,0,vidrj001,00,X,31/G
play,6,0,guerv001,22,BSBSS,K
play,6,1,daubb001,22,BSFBC,K/C
play,6,1,garcn001,11,BCX,63/G
play,6,1,oleat001,11,FBX,S
play,6,1,varij001,32,BBSCBS,K
play,7,0,stevl001,22,BSBSS,K
play,7,0,blumg001,00,X,T8/8D
play,7,0,seguf001,12,BFCFFX,D9/9D.3-H
play,7,0,barrm003,00,X,63/G.2-3
play,7,0,websl001,11,CBX,1/L1
play,7,1,gilkb001,01,CX,D9/9S
play,7,1,sprae001,11,BSX,9/F9.2-3
play,7,1,lewid001,11,BCX,31/SH.3-H
play,7,1,offej001,00,X,31/G
play,8,0,bergp001,22,BBCCFFFC,K/C
play,8,0,guerw001,11,BCX,S5/BG5
play,8,0,vidrj001,21,BSBX,9/F9
play,8,0,guerv001,31,BBBSB,W.1-2
play,8,0,stevl001,00,,NP
sub,delat001,"Tomas De La Rosa",0,4,12
play,8,0,stevl001,00,X,31/G
play,8,1,fryej001,10,BX,8/F8
play,8,1,daubb001,32,SFBBFBX,3/G
play,8,1,garcn001,01,CX,D9/9D
play,8,1,oleat001,31,BBSBX,D/78D.2-H
play,8,1,varij001,12,CBFS,K
play,9,0,blumg001,00,,NP
sub,alexm001,"Manny Alexander",1,8,5
play,9,0,blumg001,00,,NP
sub,lowed001,"Derek Lowe",1,0,1
play,9,0,blumg001,10,BX,43/G
play,9,0,seguf001,00,X,43/G
play,9,0,barrm003,10,BX,S9
play,9,0,websl001,00,,NP
sub,traca001,"Andy Tracy",0,9,11
play,9,0,traca001,21,BSBX,8/F8D
data,er,vazqj001,3
data,er,martp001,1
data,er,lowed001,0
