id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
rappp001,0,15,9,1,6,6,91,1,1,4,4,0,0,0,25,24,0,0,0,1
johnj007,0,5,1,0,0,0,25,1,0,1,0,0,0,0,6,6,0,0,0,0
ryanb001,0,1,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0
tromm001,0,6,1,0,0,0,30,2,0,1,0,0,0,0,7,7,0,0,0,0
kohlr001,0,2,1,4,2,2,29,0,0,0,1,0,0,0,7,3,0,0,0,2
arror001,1,15,5,0,2,2,67,5,1,3,1,0,0,0,19,18,0,1,0,0
pichh001,1,3,2,1,2,2,32,2,0,1,1,0,0,0,6,5,0,0,0,0
fassj001,1,2,1,1,2,0,22,0,0,1,0,0,0,0,5,4,0,0,0,0
beckr001,1,4,2,0,0,0,23,2,0,2,0,0,0,0,6,6,0,0,0,0
lowed001,1,3,1,0,0,0,19,1,0,1,0,0,0,0,4,4,0,0,0,0
cormr001,1,1,1,0,1,1,3,0,0,1,0,0,0,0,2,1,0,1,0,0
carrh001,1,2,1,1,0,0,10,0,0,1,0,0,0,0,4,3,0,0,0,1
