id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
offej001,TBA200008280,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
daubb001,TBA200008280,2,3,4,4,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,TBA,0,1,0
everc001,TBA200008280,3,8,4,4,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,TBA,0,1,0
garcn001,TBA200008280,4,6,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
oleat001,TBA200008280,5,7,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
hatts001,TBA200008280,6,10,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
merll001,TBA200008280,7,5,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,TBA,0,1,0
varij001,TBA200008280,8,2,3,3,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,TBA,0,1,0
nixot001,TBA200008280,9,9,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
nixot001,TBA200008290,1,9,5,5,3,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,TBA,0,1,0
daubb001,TBA200008290,2,3,4,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,TBA,0,1,0
brogr001,TBA200008290,2,12,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
everc001,TBA200008290,3,8,5,5,4,0,2,6,0,0,1,1,2,0,0,0,0,0,0,0,0,TBA,0,1,0
garcn001,TBA200008290,4,6,5,4,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,TBA,0,1,0
oleat001,TBA200008290,5,7,5,4,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
hatts001,TBA200008290,6,10,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,TBA,0,1,0
merll001,TBA200008290,7,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
alexm001,TBA200008290,7,11,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
varij001,TBA200008290,8,2,5,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
lansm001,TBA200008290,9,4,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,TBA,0,1,0
nixot001,TBA200008300,1,9,4,4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,TBA,0,1,0
offej001,TBA200008300,2,3,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
everc001,TBA200008300,3,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
garcn001,TBA200008300,4,6,4,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
oleat001,TBA200008300,5,7,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
hatts001,TBA200008300,6,10,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
alexm001,TBA200008300,7,5,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
varij001,TBA200008300,8,2,3,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
lansm001,TBA200008300,9,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
brogr001,TBA200008300,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
cummm001,TBA200009290,1,9,5,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
offej001,TBA200009290,2,3,5,4,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
varij001,TBA200009290,3,2,5,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,TBA,0,1,0
garcn001,TBA200009290,4,6,5,5,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
oleat001,TBA200009290,5,7,5,5,3,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,TBA,0,1,0
bichd001,TBA200009290,6,10,5,4,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
lewid001,TBA200009290,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
nixot001,TBA200009290,7,8,5,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
lansm001,TBA200009290,8,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
sadld001,TBA200009290,9,5,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
hatts001,TBA200009290,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
daubb001,TBA200009290,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
nixot001,TBA200009300,1,8,5,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
lansm001,TBA200009300,2,4,4,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
offej001,TBA200009300,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
cummm001,TBA200009300,3,9,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
hatts001,TBA200009300,4,2,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
daubb001,TBA200009300,5,7,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
merll001,TBA200009300,6,5,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
burkm001,TBA200009300,7,10,4,4,2,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,TBA,0,1,0
sadld001,TBA200009300,8,6,4,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,TBA,0,1,0
brogr001,TBA200009300,9,3,4,4,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
nixot001,TBA200010010,1,8,5,4,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,TBA,0,1,0
lansm001,TBA200010010,2,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
cummm001,TBA200010010,3,9,5,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
hatts001,TBA200010010,4,2,5,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
daubb001,TBA200010010,5,7,5,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
merll001,TBA200010010,6,5,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,TBA,0,1,0
burkm001,TBA200010010,7,10,5,3,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,TBA,0,1,0
sadld001,TBA200010010,8,6,5,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
brogr001,TBA200010010,9,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TBA,0,1,0
offej001,KCA200008240,1,10,6,6,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,KCA,0,1,0
nixot001,KCA200008240,2,9,6,4,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,KCA,0,1,0
daubb001,KCA200008240,3,3,5,3,2,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,KCA,0,1,0
brogr001,KCA200008240,3,12,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,KCA,0,1,0
