version,2
info,visteam,BAL
info,hometeam,CHA
info,site,CHI12
info,date,2000/04/24
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,craft901
info,ump1b,schrp901
info,ump2b,mcclt901
info,ump3b,cuzzp901
info,pitches,pitches
info,temp,51
info,winddir,unknown
info,windspeed,18
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,134
info,attendance,15461
info,wp,eldrc001
info,lp,mussm001
info,save,
start,andeb001,"Brady Anderson",0,1,8
start,deshd001,"Delino DeShields",0,2,4
start,surhb001,"B.J. Surhoff",0,3,7
start,bellj002,"Albert Belle",0,4,9
start,bainh001,"Harold Baines",0,5,10
start,conij001,"Jeff Conine",0,6,5
start,clarw001,"Will Clark",0,7,3
start,johnc002,"Charles Johnson",0,8,2
start,bordm001,"Mike Bordick",0,9,6
start,mussm001,"Mike Mussina",0,0,1
start,durhr001,"Ray Durham",1,1,4
start,valej003,"Jose Valentin",1,2,6
start,thomf001,"Frank Thomas",1,3,10
start,ordom001,"Magglio Ordonez",1,4,9
start,konep001,"Paul Konerko",1,5,3
start,singc001,"Chris Singleton",1,6,8
start,lee-c001,"Carlos Lee",1,7,7
start,nortg001,"Greg Norton",1,8,5
start,paulj001,"Josh Paul",1,9,2
start,eldrc001,"Cal Eldred",1,0,1
play,1,0,andeb001,30,BBBB,W
play,1,0,deshd001,32,BBCSBX,D9.1-H
play,1,0,surhb001,00,X,9/F9
play,1,0,bellj002,10,BC,CS3(25)
play,1,0,bellj002,32,BCBBCS,K
play,1,1,durhr001,02,CFC,K/C
play,1,1,valej003,20,BBX,HR/9
play,1,1,thomf001,30,BBBX,63/G
play,1,1,ordom001,31,CBBBB,W
play,1,1,konep001,00,X,54(1)/FO
play,2,0,bainh001,02,CFS,K
play,2,0,conij001,00,X,43/G
play,2,0,clarw001,22,SBSFBFS,K
play,2,1,singc001,00,X,S5/BG5
play,2,1,lee-c001,32,BFBFBFX,FC6.1-2;B-1
play,2,1,nortg001,11,BLX,S9/9S.2-H;1-3
play,2,1,paulj001,10,BX,HR/7.3-H;1-H
play,2,1,durhr001,12,BCSS,K
play,2,1,valej003,32,BBFBFB,W
play,2,1,thomf001,12,SBFS,K
play,2,1,ordom001,11,BCX,64(1)/FO
play,3,0,johnc002,11,CBX,9/F9
play,3,0,bordm001,12,BCCX,53/G
play,3,0,andeb001,20,BBX,7/F7D
play,3,1,konep001,31,BBBCB,W
play,3,1,singc001,00,X,46(1)/FO
play,3,1,lee-c001,12,BFFX,7/F7
play,3,1,nortg001,11,BFC,CS2(26)
play,4,0,deshd001,12,BCFS,K
play,4,0,surhb001,02,CFS,K
play,4,0,bellj002,00,X,4/P4
play,4,1,nortg001,22,FBBSX,53/G
play,4,1,paulj001,00,X,13/BG
play,4,1,durhr001,22,BCCFBX,S8
play,4,1,valej003,22,BCFBX,43/G
play,5,0,bainh001,12,BCSS,K
play,5,0,conij001,11,FBX,9/F9
play,5,0,clarw001,32,FBBBFX,43/G
play,5,1,thomf001,12,SCBFX,13/G
play,5,1,ordom001,11,CBX,53/G
play,5,1,konep001,01,CX,53/G
play,6,0,johnc002,01,FX,HR/7
play,6,0,bordm001,12,BFFS,K23
play,6,0,andeb001,01,CX,9/F9D
play,6,0,deshd001,32,BFBBCC,K/C
play,6,1,singc001,12,CFFBX,4/P4
play,6,1,lee-c001,21,BBFX,3/FL
play,6,1,nortg001,02,CCFX,7/F7
play,7,0,surhb001,21,BCBX,43/G
play,7,0,bellj002,10,BX,63/G
play,7,0,bainh001,32,SBBBFX,5/P5
play,7,1,paulj001,00,X,T9
play,7,1,durhr001,32,CBCBBFX,S7.3-H
play,7,1,valej003,00,X,3/G.1-2
play,7,1,thomf001,11,CBX,D7/7S.2-H
play,7,1,ordom001,00,,NP
sub,maduc001,"Calvin Maduro",0,0,1
play,7,1,ordom001,21,BCBX,9/F9
play,7,1,konep001,32,BBBCSC,K/C
play,8,0,conij001,00,X,8/F8
play,8,0,clarw001,22,BCCBS,K
play,8,0,johnc002,22,FBSBS,K
play,8,1,singc001,00,,NP
sub,mcelc001,"Chuck McElroy",0,0,1
play,8,1,singc001,20,BBX,43/G
play,8,1,lee-c001,32,BFBCFFFFBFX,8/F8S
play,8,1,nortg001,00,X,HR/7
play,8,1,paulj001,02,CSS,K
play,9,0,bordm001,00,X,63/G
play,9,0,andeb001,02,FCS,K
play,9,0,deshd001,21,CBBX,7/F7
data,er,mussm001,7
data,er,maduc001,0
data,er,mcelc001,1
data,er,eldrc001,2
