version,2
info,visteam,CLE
info,hometeam,CHA
info,site,CHI12
info,date,2000/05/28
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,dimum901
info,ump1b,gormb901
info,ump2b,everm901
info,ump3b,crawj901
info,pitches,pitches
info,temp,56
info,winddir,ltor
info,windspeed,9
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,241
info,attendance,24192
info,wp,colob001
info,lp,wellk001
info,save,
start,loftk001,"Kenny Lofton",0,1,8
start,vizqo001,"Omar Vizquel",0,2,6
start,alomr001,"Roberto Alomar",0,3,4
start,ramim002,"Manny Ramirez",0,4,9
start,thomj002,"Jim Thome",0,5,3
start,justd001,"David Justice",0,6,10
start,frymt001,"Travis Fryman",0,7,5
start,sexsr001,"Richie Sexson",0,8,7
start,diaze002,"Einar Diaz",0,9,2
start,colob001,"Bartolo Colon",0,0,1
start,durhr001,"Ray Durham",1,1,4
start,valej003,"Jose Valentin",1,2,6
start,thomf001,"Frank Thomas",1,3,3
start,ordom001,"Magglio Ordonez",1,4,9
start,lee-c001,"Carlos Lee",1,5,7
start,singc001,"Chris Singleton",1,6,8
start,abboj002,"Jeff Abbott",1,7,10
start,perrh001,"Herbert Perry",1,8,5
start,johnm003,"Mark Johnson",1,9,2
start,wellk001,"Kip Wells",1,0,1
play,1,0,loftk001,01,CX,43/G
play,1,0,vizqo001,21,BBCX,43/G
play,1,0,alomr001,32,BSBFBX,53/G
play,1,1,durhr001,32,BBCCFBFS,K
play,1,1,valej003,30,BBBB,W
play,1,1,thomf001,10,BX,S7.1-2
play,1,1,ordom001,02,SFB,WP.2-3
play,1,1,ordom001,12,SFBFFX,9/SF.3-H
play,1,1,lee-c001,30,BBBB,W.1-2
play,1,1,singc001,02,CSS,K
play,2,0,ramim002,12,CBCC,K/C
play,2,0,thomj002,22,BFFBX,43/G
play,2,0,justd001,20,BBX,31/G
play,2,1,abboj002,02,CCFC,K/C
play,2,1,perrh001,00,X,S8
play,2,1,johnm003,22,FBFFBB,WP.1-2
play,2,1,johnm003,32,FBFFBBFB,W
play,2,1,durhr001,12,BCSX,64(1)/FO.2-3
play,2,1,valej003,12,CBFS,K
play,3,0,frymt001,12,CFBFX,8/F8
play,3,0,sexsr001,31,BBFBX,63/G
play,3,0,diaze002,00,X,S7
play,3,0,loftk001,11,BCX,S.1-2
play,3,0,vizqo001,02,CCX,S7.2-H;1-2
play,3,0,alomr001,11,BCX,43/G
play,3,1,thomf001,12,CCBX,8/F8
play,3,1,ordom001,01,CX,9/F9
play,3,1,lee-c001,00,X,3/FL
play,4,0,ramim002,32,FFFBBFBX,S9
play,4,0,thomj002,32,FBBSBB,W.1-2
play,4,0,justd001,11,BCX,5/FL
play,4,0,frymt001,00,C,SB3
play,4,0,frymt001,21,CBBX,9/SF.3-H
play,4,0,sexsr001,12,CCBX,13/G
play,4,1,singc001,31,BBCBX,7/F7
play,4,1,abboj002,22,BCBCFX,D/78
play,4,1,perrh001,32,BFFBFFBB,W
play,4,1,johnm003,22,FSBBFS,K
play,4,1,durhr001,32,FFFBBBFX,31/G
play,5,0,diaze002,12,FBFX,63/G
play,5,0,loftk001,10,BX,S9
play,5,0,vizqo001,20,BBB,SB2
play,5,0,vizqo001,30,BBBB,W+CS3(25)
play,5,0,alomr001,22,CLBBFB,SB2
play,5,0,alomr001,32,CLBBFBX,D7.2-H
play,5,0,ramim002,30,BBBB,W+SB3
play,5,0,thomj002,00,,NP
sub,penaj003,"Jesus Pena",1,0,1
play,5,0,thomj002,32,FBFBBS,K
play,5,1,valej003,32,BBFFFFBC,K/C
play,5,1,thomf001,31,BCBBX,D7
play,5,1,ordom001,31,BBFBB,W
play,5,1,lee-c001,32,CBBBSFS,K
play,5,1,singc001,02,SSS,K
play,6,0,justd001,32,SFBBBFB,W
play,6,0,frymt001,00,,NP
sub,lowes001,"Sean Lowe",1,0,1
play,6,0,frymt001,22,FBBCX,HR/7.1-H
