version,2
info,visteam,CLE
info,hometeam,CHA
info,site,CHI12
info,date,2000/06/22
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,rungb901
info,ump1b,rapue901
info,ump2b,shulj901
info,ump3b,roe-r901
info,pitches,pitches
info,temp,79
info,winddir,tolf
info,windspeed,14
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,172
info,attendance,23374
info,wp,eldrc001
info,lp,finlc001
info,save,
start,loftk001,"Kenny Lofton",0,1,8
start,vizqo001,"Omar Vizquel",0,2,6
start,alomr001,"Roberto Alomar",0,3,4
start,thomj002,"Jim Thome",0,4,3
start,frymt001,"Travis Fryman",0,5,5
start,sexsr001,"Richie Sexson",0,6,7
start,branr001,"Russell Branyan",0,7,10
start,ramia002,"Alex Ramirez",0,8,9
start,aloms001,"Sandy Alomar",0,9,2
start,finlc001,"Chuck Finley",0,0,1
start,durhr001,"Ray Durham",1,1,4
start,graft001,"Tony Graffanino",1,2,6
start,thomf001,"Frank Thomas",1,3,10
start,ordom001,"Magglio Ordonez",1,4,9
start,konep001,"Paul Konerko",1,5,3
start,abboj002,"Jeff Abbott",1,6,8
start,lee-c001,"Carlos Lee",1,7,7
start,perrh001,"Herbert Perry",1,8,5
start,fordb001,"Brook Fordyce",1,9,2
start,eldrc001,"Cal Eldred",1,0,1
play,1,0,loftk001,32,CBFFBBX,7/F7
play,1,0,vizqo001,32,BFBBCX,S7
play,1,0,alomr001,10,BX,6/P6
play,1,0,thomj002,02,FSS,K
play,1,1,durhr001,32,CBCBBFX,HR/78
play,1,1,graft001,32,BBBCFS,K
play,1,1,thomf001,11,BCX,53/G
play,1,1,ordom001,32,FBCBBB,W
play,1,1,konep001,32,CFBFBFBFFB,W.1-2
play,1,1,abboj002,12,CBCC,K/C
play,2,0,frymt001,10,BX,T/78D
play,2,0,sexsr001,00,X,53/G
play,2,0,branr001,12,BSSS,K
play,2,0,ramia002,10,BX,5/L5
play,2,1,lee-c001,00,X,S8
play,2,1,perrh001,00,X,S7/7S.1-2
play,2,1,fordb001,00,X,24/SH.2-3;1-2
play,2,1,durhr001,01,CB,WP.3-H;2-3
play,2,1,durhr001,32,CBBBSFX,S9.3-H
play,2,1,graft001,00,X,9/F9D
play,2,1,thomf001,31,BBBCB,W.1-2
play,2,1,ordom001,31,BCBBB,W.2-3;1-2
play,2,1,konep001,22,CBBFFFX,53/G
play,3,0,aloms001,20,BBX,63/G
play,3,0,loftk001,10,BX,4/P4
play,3,0,vizqo001,01,CX,43/G
play,3,1,abboj002,11,FBX,43/G
play,3,1,lee-c001,10,BX,63/G
play,3,1,perrh001,00,X,D7
play,3,1,fordb001,21,BCBX,S9.2-H;B-2(THH)
play,3,1,durhr001,32,BCBBCX,4/P4
play,4,0,alomr001,12,CFFBX,53/G
play,4,0,thomj002,32,FBBBFFS,K
play,4,0,frymt001,00,X,S9
play,4,0,sexsr001,20,BBX,9/F9
play,4,1,graft001,02,CFFC,K/C
play,4,1,thomf001,00,X,D8/8D
play,4,1,ordom001,20,BBX,63/G
play,4,1,konep001,00,X,7/F7
play,5,0,branr001,01,FX,7/F7D
play,5,0,ramia002,11,BFX,8/F8
play,5,0,aloms001,20,BBX,9/F9D
play,5,1,abboj002,32,BFBFFBX,S8/8S
play,5,1,lee-c001,32,FBFBBFX,53/G.1-2
play,5,1,perrh001,31,BBBFB,W
play,5,1,fordb001,31,BBCBX,6/L6
play,5,1,durhr001,00,X,9/F9D
play,6,0,loftk001,00,,NP
sub,singc001,"Chris Singleton",1,6,8
play,6,0,loftk001,12,CBLS,K
play,6,0,vizqo001,00,X,S8
play,6,0,alomr001,00,X,64(1)3/GDP
play,6,1,graft001,00,,NP
sub,kamis001,"Scott Kamieniecki",0,0,1
play,6,1,graft001,12,CFBFC,K/C
play,6,1,thomf001,32,BCBCBS,K
play,6,1,ordom001,21,CBBX,63/G
play,7,0,thomj002,21,SBBX,8/F8
play,7,0,frymt001,32,CBBBSB,W
play,7,0,sexsr001,01,CX,S7.1-2
play,7,0,branr001,12,SBFS,K
play,7,0,ramia002,02,SSX,6/L6
play,7,1,konep001,10,BX,D7/7D
play,7,1,singc001,01,CX,FC1.2X3(15);B-2#
play,7,1,lee-c001,20,BBX,9/F9.2-3
play,7,1,perrh001,12,FCBB,WP.3-H
play,7,1,perrh001,22,FCBBS,K
play,8,0,aloms001,11,CBX,43/G
play,8,0,loftk001,12,CBCFFFX,43/G
play,8,0,vizqo001,31,BBBCX,D9/9S
play,8,0,alomr001,01,CX,7/F7
play,8,1,fordb001,22,SFBFBX,43/G
play,8,1,durhr001,22,BBCFH,HP
play,8,1,graft001,11,BSX,D7/7S.1-3
play,8,1,thomf001,30,IIII,IW
play,8,1,ordom001,11,CBX,S8.3-H;2-3;1-2
play,8,1,konep001,00,,NP
sub,brewj001,"Jamie Brewington",0,0,1
play,8,1,konep001,22,BCBFS,K
play,8,1,singc001,31,BBBCX,4/P4
play,9,0,thomj002,12,BCFX,S9/9D
play,9,0,frymt001,10,BX,54(1)/FO
play,9,0,sexsr001,32,BBBCFB,W.1-2
play,9,0,branr001,32,SBFBBC,K/C
play,9,0,ramia002,00,X,64(1)/FO.2-3
data,er,finlc001,4
data,er,kamis001,2
data,er,brewj001,0
data,er,eldrc001,0
