id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
offej001,0,1,3,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
fryej001,0,2,4,4,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
garcn001,0,3,6,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
sprae001,0,4,5,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
everc001,0,5,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burkm001,0,6,10,4,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
daubb001,0,7,7,4,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
varij001,0,8,2,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
alcai001,0,9,9,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hatts001,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
durhr001,1,1,4,4,3,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
valej003,1,2,9,4,4,2,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0
thomf001,1,3,10,4,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
konep001,1,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
singc001,1,5,8,4,2,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
lee-c001,1,6,7,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
perrh001,1,7,5,4,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
graft001,1,8,6,4,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
johnm003,1,9,2,4,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
