advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,32,1,hendr001,,,,0,6,CBFBBB,barcl001,0,0,hendr001 walks. ,hendr001,0,
,01,1,,,,marta001,1,8,FC,barcl001,1,0,hendr001 caught stealing. ,marta001,0,
,12,1,,,marta001,,2,12,FCBX,barcl001,0,0,marta001 triples. ,marta001,0,
,22,1,,,marta001,,3,18,CBCBFX,barcl001,1,0,rodra001 grounds out. ,rodra001,0,G
,02,1,,,marta001,,4,22,CCFS,barcl001,1,0,marte001 strikes out. ,marte001,0,
,00,1,,,,,5,1,X,garcf002,1,0,,valej003,1,F
,22,1,,,,,6,6,BCBFX,garcf002,1,0,graft001 grounds out. ,graft001,1,G
,10,1,,,,,7,8,BX,garcf002,0,1,thomf001 homers. ,thomf001,1,
,11,1,,,,,8,11,BFX,garcf002,1,0,,ordom001,1,P
,32,2,olerj001,,,,9,28,CBBFBX,barcl001,0,0,olerj001 singles. ,olerj001,0,
olerj001 to 2B. ,22,2,javis001,olerj001,,,10,33,CBBFX,barcl001,0,0,javis001 singles. ,javis001,0,
,31,2,javis001,olerj001,,,11,38,BLBBX,barcl001,1,0,,guilc001,0,F
,00,2,,olerj001,,,12,39,X,barcl001,2,0,Double Play. ,wilsd001,0,
,10,2,,,,,13,13,BX,garcf002,1,0,,bainh001,1,P
,32,2,perrh001,,,,14,19,CBFBBB,garcf002,0,0,perrh001 walks. ,perrh001,1,
perrh001 to 2B. ,10,2,abboj002,perrh001,,,15,21,BX,garcf002,0,0,abboj002 singles. ,abboj002,1,
perrh001 to 3B. abboj002 out. ,10,2,singc001,,perrh001,,16,23,BX,garcf002,1,0,singc001 reaches on fielder's choice. ,singc001,1,
,00,2,,singc001,perrh001,johnm003,17,24,B,garcf002,0,0,singc001 steals 2B. ,johnm003,1,
,30,2,johnm003,singc001,perrh001,,18,28,BBBB,garcf002,0,0,johnm003 walks. ,johnm003,1,
perrh001 scores. singc001 to 3B. johnm003 to 2B. ,30,2,valej003,johnm003,singc001,,19,32,BBBB,garcf002,0,1,valej003 walks. ,valej003,1,
singc001 scores. johnm003 to 3B. valej003 out. ,11,2,graft001,,johnm003,,20,35,BCX,garcf002,1,1,graft001 singles. ,graft001,1,
,21,3,,,,,21,43,CBBX,barcl001,1,0,,mclem001,0,
,22,3,,,,,22,50,CBBFFFX,barcl001,1,0,hendr001 grounds out. ,hendr001,0,G
,12,3,,,,,23,54,CFBX,barcl001,1,0,marta001 grounds out. ,marta001,0,G
,32,3,thomf001,,,,24,41,BCSBBB,garcf002,0,0,thomf001 walks. ,thomf001,1,
thomf001 out. ,10,3,ordom001,,,,25,43,BX,garcf002,1,0,ordom001 reaches on fielder's choice. ,ordom001,1,
ordom001 scores. ,21,3,,bainh001,,,26,47,FBBX,garcf002,0,1,bainh001 doubles. ,bainh001,1,
,21,3,,bainh001,,,27,51,BBFX,garcf002,1,0,,perrh001,1,F
bainh001 to 3B. ,00,3,,,bainh001,abboj002,28,52,B,garcf002,0,0,Passed Ball. ,abboj002,1,
,32,3,abboj002,,bainh001,,29,58,BSBBFB,garcf002,0,0,abboj002 walks. ,abboj002,1,
,22,3,abboj002,,bainh001,,30,63,CFBBX,garcf002,1,0,,singc001,1,F
,22,4,,,,,31,59,CSBBX,barcl001,0,1,rodra001 homers. ,rodra001,0,
,12,4,,,,,32,63,SFBS,barcl001,1,0,marte001 strikes out. ,marte001,0,
,12,4,,,,,33,67,CFBC,barcl001,1,0,olerj001 strikes out. ,olerj001,0,
,22,4,,,,,34,72,BBCFX,barcl001,1,0,,javis001,0,F
,20,4,,,,,35,66,BBX,garcf002,1,0,johnm003 grounds out. ,johnm003,1,G
,22,4,,,,,36,71,BCBFX,garcf002,0,1,valej003 homers. ,valej003,1,
,32,4,,,,,37,77,BBCFBS,garcf002,1,0,graft001 strikes out. ,graft001,1,
,10,4,thomf001,,,,38,79,BX,garcf002,0,0,thomf001 singles. ,thomf001,1,
