id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
hamij002,0,9,2,0,0,0,36,1,0,2,0,0,0,0,10,10,0,0,0,0
painl001,0,9,2,0,1,1,37,2,0,2,0,0,1,0,11,11,0,0,0,0
quanp001,0,3,2,0,0,0,22,3,0,1,1,0,0,0,5,5,0,0,0,0
guthm001,0,3,0,0,0,0,10,1,0,0,0,0,0,0,3,3,0,0,0,0
castf001,0,3,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0
wellk001,1,15,9,4,6,6,105,4,1,7,1,0,1,0,25,21,0,0,0,1
penaj003,1,3,2,1,4,0,27,2,1,1,0,0,0,0,7,6,0,0,0,0
gintm001,1,3,4,1,3,3,31,1,1,2,1,0,0,0,8,7,0,0,0,0
beirk001,1,3,0,0,0,0,13,2,0,0,0,0,0,0,3,3,0,0,0,0
bradc001,1,3,0,0,1,0,19,1,0,0,0,0,0,0,5,5,0,0,0,0
