id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
durhr001,CHN200007070,1,4,6,4,2,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,CHN,0,1,0
valej003,CHN200007070,2,6,6,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,CHN,0,1,0
thomf001,CHN200007070,3,3,6,6,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
ordom001,CHN200007070,4,9,6,4,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,CHN,0,1,0
perrh001,CHN200007070,5,5,6,5,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,CHN,0,1,0
singc001,CHN200007070,6,8,6,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
lee-c001,CHN200007070,7,7,5,5,4,0,2,0,1,3,1,0,0,0,1,0,0,0,0,0,0,CHN,0,1,0
johnm003,CHN200007070,8,2,5,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CHN,0,1,0
sirom001,CHN200007070,9,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
konep001,CHN200007070,9,11,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
simab001,CHN200007070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
wunsk001,CHN200007070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
abboj002,CHN200007070,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
foulk001,CHN200007070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
howrb001,CHN200007070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
nortg001,CHN200007070,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
lowes001,CHN200007070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
penaj003,CHN200007070,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
durhr001,CHN200007080,1,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
valej003,CHN200007080,2,6,4,3,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,CHN,0,1,0
