id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
durhr001,CHA200010030,1,4,5,3,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,SEA,1,3,0
valej003,CHA200010030,2,6,5,4,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,SEA,1,3,0
thomf001,CHA200010030,3,10,5,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SEA,1,3,0
ordom001,CHA200010030,4,9,5,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,SEA,1,3,0
lee-c001,CHA200010030,5,7,5,5,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,SEA,1,3,0
konep001,CHA200010030,6,3,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,1,3,0
perrh001,CHA200010030,7,5,5,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,SEA,1,3,0
singc001,CHA200010030,8,8,5,5,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,SEA,1,3,0
johnc002,CHA200010030,9,2,4,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,SEA,1,3,0
paulj001,CHA200010030,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,1,3,0
durhr001,CHA200010040,1,4,5,4,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,SEA,1,3,0
valej003,CHA200010040,2,6,4,3,2,1,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,SEA,1,3,0
thomf001,CHA200010040,3,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,1,3,0
ordom001,CHA200010040,4,9,4,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SEA,1,3,0
lee-c001,CHA200010040,5,7,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,SEA,1,3,0
konep001,CHA200010040,6,3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SEA,1,3,0
perrh001,CHA200010040,7,5,4,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,SEA,1,3,0
singc001,CHA200010040,8,8,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SEA,1,3,0
abboj002,CHA200010040,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,1,3,0
bainh001,CHA200010040,8,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SEA,1,3,0
johnc002,CHA200010040,9,2,4,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,SEA,1,3,0
durhr001,SEA200010060,1,4,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SEA,0,3,0
valej003,SEA200010060,2,6,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,SEA,0,3,0
thomf001,SEA200010060,3,3,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,0,3,0
ordom001,SEA200010060,4,9,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,SEA,0,3,0
bainh001,SEA200010060,5,10,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,SEA,0,3,0
johnc002,SEA200010060,6,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,0,3,0
perrh001,SEA200010060,7,5,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,SEA,0,3,0
graft001,SEA200010060,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,0,3,0
lee-c001,SEA200010060,8,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,0,3,0
singc001,SEA200010060,9,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,0,3,0
konep001,SEA200010060,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SEA,0,3,0
chrim002,SEA200010060,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,0,3,0
