id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
sirom001,CHN200007070,18,4,1,2,2,82,2,1,3,0,0,0,0,21,20,0,0,0,0,CHN,0,1,1
simab001,CHN200007070,5,0,0,0,0,15,2,0,0,0,0,0,0,5,5,0,0,0,0,CHN,0,1,0
wunsk001,CHN200007070,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,CHN,0,1,0
foulk001,CHN200007070,3,0,1,0,0,14,1,0,0,0,0,0,0,4,3,0,0,0,0,CHN,0,1,0
howrb001,CHN200007070,3,0,0,0,0,12,1,0,0,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
lowes001,CHN200007070,5,2,0,0,0,21,0,0,2,0,0,0,0,6,5,0,1,0,0,CHN,0,1,0
penaj003,CHN200007070,1,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,CHN,0,1,0
baldj002,CHN200007080,13,10,1,8,8,91,2,3,5,2,0,0,0,23,21,0,0,1,0,CHN,0,1,1
beirk001,CHN200007080,5,1,0,0,0,31,3,0,1,0,0,0,0,6,6,0,0,0,0,CHN,0,1,0
penaj003,CHN200007080,3,3,1,1,1,29,1,0,2,1,0,0,0,7,6,0,0,0,0,CHN,0,1,0
garlj001,CHN200007080,3,0,1,0,0,19,2,0,0,0,0,0,0,4,3,0,0,0,0,CHN,0,1,0
eldrc001,CHN200007090,15,6,4,5,5,94,5,1,4,1,0,0,0,25,20,0,1,0,0,CHN,0,1,1
simab001,CHN200007090,1,2,1,3,3,15,0,0,2,0,0,0,0,4,2,0,1,0,0,CHN,0,1,0
wunsk001,CHN200007090,4,2,0,1,1,16,0,1,1,0,0,0,0,6,5,0,0,1,0,CHN,0,1,0
howrb001,CHN200007090,3,1,0,0,0,11,1,0,1,0,0,0,0,3,3,0,0,0,0,CHN,0,1,0
foulk001,CHN200007090,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,CHN,0,1,0
parqj001,HOU200006020,16,5,2,3,3,79,3,0,5,0,0,0,0,22,20,0,0,0,0,HOU,0,1,1
lowes001,HOU200006020,0,1,0,1,1,4,0,0,1,0,0,0,0,1,1,0,0,0,0,HOU,0,1,0
wunsk001,HOU200006020,1,2,1,0,0,15,0,0,2,0,0,0,0,4,3,0,0,0,0,HOU,0,1,0
simab001,HOU200006020,6,1,0,0,0,38,1,0,1,0,0,0,0,7,7,0,0,0,0,HOU,0,1,0
foulk001,HOU200006020,4,1,0,0,0,18,2,0,0,1,0,0,0,5,5,0,0,0,0,HOU,0,1,0
wellk001,HOU200006030,15,8,2,4,4,98,4,1,4,3,0,0,0,23,21,0,0,0,0,HOU,0,1,1
penaj003,HOU200006030,3,1,1,0,0,24,2,0,1,0,0,0,0,5,4,0,0,0,0,HOU,0,1,0
