advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,00,1,,,,,0,1,X,farnk001,1,0,,kotsm001,0,F
,12,1,,,,,1,5,CFBS,farnk001,1,0,gonza002 strikes out. ,gonza002,0,
,32,1,floyc001,,,,2,14,CBFBBFFFB,farnk001,0,0,floyc001 walks. ,floyc001,0,
,32,1,floyc001,,,,3,20,BBBCCS,farnk001,1,0,wilsp002 strikes out. ,wilsp002,0,
,31,1,youne001,,,,4,5,BBBCB,sancj001,0,0,youne001 walks. ,youne001,1,
youne001 to 2B. ,02,1,,youne001,,,5,8,CSX,sancj001,1,0,Sacrifice bunt by gutir001.,gutir001,1,
,22,1,,youne001,,,6,13,CBCBS,sancj001,1,0,sosas001 strikes out. ,sosas001,1,
,01,1,,youne001,,,7,15,FX,sancj001,1,0,gracm001 grounds out. ,gracm001,1,G
,02,2,lowem001,,,,8,23,CFX,farnk001,0,0,lowem001 singles. ,lowem001,0,
,10,2,lowem001,,,,9,25,BX,farnk001,1,0,,lee-d002,0,F
lowem001 to 2B. ,01,2,bakop001,lowem001,,,10,27,FX,farnk001,0,0,bakop001 singles. ,bakop001,0,
,10,2,bakop001,lowem001,,,11,29,BX,farnk001,1,0,,clapc001,0,P
,00,2,bakop001,lowem001,,,12,30,X,farnk001,1,0,,sancj001,0,L
,00,2,hillg001,,,,13,16,X,sancj001,0,0,hillg001 singles. ,hillg001,1,
,32,2,,,,andrs001,14,24,BFBSFBF1,sancj001,1,0,hillg001 picked off. ,andrs001,1,
,32,2,,,,,15,34,BFBSFBF1FX,sancj001,1,0,,andrs001,1,F
,32,2,,,,,16,40,CBBBFX,sancj001,1,0,bufod001 grounds out. ,bufod001,1,G
,11,3,kotsm001,,,,17,33,BFX,farnk001,0,0,kotsm001 singles. ,kotsm001,0,
kotsm001 to 3B. ,10,3,gonza002,,kotsm001,,18,35,BX,farnk001,0,0,gonza002 singles. ,gonza002,0,
kotsm001 scores. gonza002 to 2B. ,00,3,floyc001,gonza002,,,19,36,X,farnk001,0,1,floyc001 singles. ,floyc001,0,
gonza002 to 3B. floyc001 out. ,02,3,wilsp002,,gonza002,,20,41,CSFFX,farnk001,1,0,wilsp002 reaches on fielder's choice. ,wilsp002,0,
gonza002 scores. wilsp002 to 2B. ,12,3,lowem001,wilsp002,,,21,46,FFBFX,farnk001,0,1,lowem001 singles. ,lowem001,0,
wilsp002 scores. lowem001 to 2B. ,00,3,lee-d002,lowem001,,,22,47,X,farnk001,0,1,lee-d002 singles. ,lee-d002,0,
lowem001 scores. lee-d002 to 3B. bakop001 to 2B. ,11,3,,bakop001,lee-d002,,23,50,SBX,farnk001,0,1,bakop001 singles. ,bakop001,0,
,12,3,,bakop001,lee-d002,,24,55,BCFFX,farnk001,1,0,,clapc001,0,F
