version,2
info,visteam,ARI
info,hometeam,CHN
info,site,CHI11
info,date,2000/04/29
info,number,0
info,starttime,1:20PM
info,daynight,day
info,usedh,false
info,umphome,rapue901
info,ump1b,millb901
info,ump2b,rungb901
info,ump3b,shulj901
info,pitches,pitches
info,temp,47
info,winddir,fromlf
info,windspeed,22
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,214
info,attendance,37484
info,wp,mantm001
info,lp,guthm001
info,save,morgm001
start,friah001,"Hanley Frias",0,1,6
start,bellj001,"Jay Bell",0,2,4
start,gonzl001,"Luis Gonzalez",0,3,7
start,colbg001,"Greg Colbrunn",0,4,3
start,finls001,"Steve Finley",0,5,8
start,gilkb001,"Bernard Gilkey",0,6,9
start,stink001,"Kelly Stinnett",0,7,2
start,klasd001,"Danny Klassen",0,8,5
start,andeb002,"Brian Anderson",0,9,1
start,youne001,"Eric Young",1,1,4
start,gutir001,"Ricky Gutierrez",1,2,6
start,gracm001,"Mark Grace",1,3,3
start,sosas001,"Sammy Sosa",1,4,9
start,hillg001,"Glenallen Hill",1,5,7
start,nievj002,"Jose Nieves",1,6,5
start,bufod001,"Damon Buford",1,7,8
start,giraj001,"Joe Girardi",1,8,2
start,downs001,"Scott Downs",1,9,1
play,1,0,friah001,11,BCX,8/F8S
play,1,0,bellj001,02,CCFS,K
play,1,0,gonzl001,00,X,31/G
play,1,1,youne001,10,BX,S8/8S
play,1,1,gutir001,00,X,23/SH.1-2
play,1,1,gracm001,10,BC,SB3
play,1,1,gracm001,11,BCX,S8/8S.3-H
play,1,1,sosas001,10,BX,9/F9D
play,1,1,hillg001,21,BBFX,8/L8
play,2,0,colbg001,11,CBX,S7/7S
play,2,0,finls001,22,CBFBX,46(1)/FO
play,2,0,gilkb001,21,BBCX,9/L9
play,2,0,stink001,12,BFCFF1,POCS2(136)
play,2,1,nievj002,10,BX,9/F9D
play,2,1,bufod001,22,BFBSFX,1/P1
play,2,1,giraj001,22,CBSBS,K
play,3,0,stink001,00,X,S
play,3,0,klasd001,32,BCCBBB,W.1-2
play,3,0,andeb002,01,FX,46(1)/FO.2-3
play,3,0,friah001,22,CBBFFX,2/FL
play,3,0,bellj001,31,BBBFX,4/P4
play,3,1,downs001,02,CSC,K/C
play,3,1,youne001,32,BBCBFC,K/C
play,3,1,gutir001,10,BX,S8
play,3,1,gracm001,21,BCBB,WP.1-2
play,3,1,gracm001,31,BCBBX,5/FL
play,4,0,gonzl001,11,CBX,9/F9
play,4,0,colbg001,31,BBBCX,HR/7
play,4,0,finls001,00,X,6/P6
play,4,0,gilkb001,32,CSBFBBFB,W
play,4,0,stink001,32,BFBFFFFBX,5/P5
play,4,1,sosas001,00,X,13/G
play,4,1,hillg001,01,CX,D9/9S
play,4,1,nievj002,20,BBX,S7/7S.2-3
play,4,1,bufod001,12,CFBX,3/FL
play,4,1,giraj001,30,BIII,IW.1-2
play,4,1,downs001,21,BCBX,13/G
play,5,0,klasd001,22,BSCBC,K/C
play,5,0,andeb002,12,BCCS,K23
play,5,0,friah001,32,BBFFBFFX,S
play,5,0,bellj001,32,BBCBFC,K/C
play,5,1,youne001,00,X,9/F9S
