id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
vinaf001,0,1,4,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dunss001,0,2,7,5,5,2,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0
clarw001,0,3,3,5,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tatif001,0,4,5,5,2,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
paquc001,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
davie001,0,5,9,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
drewj001,0,6,8,4,4,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
rente001,0,7,6,4,4,2,0,1,3,1,1,0,0,1,0,1,0,0,0,0,0,0
mathm001,0,8,2,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kiled001,0,9,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
youne001,1,1,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gutir001,1,2,6,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sosas001,1,3,9,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
gracm001,1,4,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
whitr001,1,5,7,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bufod001,1,6,8,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
giraj001,1,7,2,4,4,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
husoj001,1,8,5,3,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tapak001,1,9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
worrt002,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mattg002,1,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rains001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heref001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
