id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
reamb001,0,15,2,2,2,0,77,2,0,1,1,0,0,0,20,17,0,0,1,0
jamem001,0,3,1,1,1,1,24,0,0,1,0,0,0,0,6,5,0,0,0,0
timlm001,0,2,1,1,0,0,19,1,0,1,0,0,0,0,4,3,0,0,0,0
chrij002,0,2,1,0,1,0,13,2,0,1,0,0,0,0,3,3,0,0,0,0
morrm001,0,5,2,0,1,0,39,1,0,1,1,0,0,0,8,8,0,0,0,0
natij001,1,16,6,6,5,5,107,6,1,4,1,0,0,1,26,19,0,0,0,0
spraj001,1,5,3,0,0,0,19,1,0,3,0,0,0,0,7,7,0,0,0,0
farnk001,1,0,1,0,0,0,4,0,0,0,1,0,0,0,1,1,0,0,0,0
ohmaw001,1,1,0,2,1,1,15,0,0,0,0,0,1,0,3,1,0,0,0,1
rains001,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
heref001,1,3,0,0,0,0,11,0,0,0,0,0,0,0,3,3,0,0,0,0
