id,game,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,opp,loc,regpost,gs
youne001,PIT200006270,1,4,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
garid001,PIT200006270,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
gutir001,PIT200006270,2,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
sosas001,PIT200006270,3,9,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
gracm001,PIT200006270,4,3,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
nievj002,PIT200006270,5,5,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
rodrh001,PIT200006270,6,7,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bufod001,PIT200006270,7,8,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
reedj001,PIT200006270,8,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
woodk002,PIT200006270,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
browb003,PIT200006270,9,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
rains001,PIT200006270,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
husoj001,PIT200006270,9,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
youne001,PIT200006280,1,4,5,4,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,PIT,0,1,0
browb003,PIT200006280,2,7,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
sosas001,PIT200006280,3,9,5,3,1,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,PIT,0,1,0
gracm001,PIT200006280,4,3,5,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PIT,0,1,0
nievj002,PIT200006280,5,6,5,5,2,0,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
greew001,PIT200006280,6,5,5,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bufod001,PIT200006280,7,8,4,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
giraj001,PIT200006280,8,2,4,4,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
liebj001,PIT200006280,9,1,4,4,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
worrt002,PIT200006280,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
heref001,PIT200006280,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
aguir001,PIT200006280,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
youne001,PIT200006290,1,4,5,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
gutir001,PIT200006290,2,6,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
sosas001,PIT200006290,3,9,5,3,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
gracm001,PIT200006290,4,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
nievj002,PIT200006290,5,5,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
browb003,PIT200006290,6,7,4,4,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,PIT,0,1,0
bufod001,PIT200006290,7,8,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
giraj001,PIT200006290,8,2,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
tapak001,PIT200006290,9,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
husoj001,PIT200006290,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PIT,0,1,0
vanpt001,PIT200006290,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
heref001,PIT200006290,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
greew001,PIT200006290,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
worrt002,PIT200006290,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
youne001,PIT200009290,1,4,5,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,PIT,0,1,0
gutir001,PIT200009290,2,6,5,5,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
sosas001,PIT200009290,3,9,5,4,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,PIT,0,1,0
zulej001,PIT200009290,4,3,5,5,3,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
worrt002,PIT200009290,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
andrs001,PIT200009290,5,5,5,3,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
husoj001,PIT200009290,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
bufod001,PIT200009290,6,8,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
ohmaw001,PIT200009290,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
gracm001,PIT200009290,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
mattg002,PIT200009290,7,7,5,4,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,PIT,0,1,0
