id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
woodk002,PIT200006270,15,5,3,6,6,98,6,1,3,1,0,0,0,23,20,0,0,0,0,PIT,0,1,1
rains001,PIT200006270,6,0,0,0,0,28,4,0,0,0,0,0,1,7,6,0,0,0,0,PIT,0,1,0
garid001,PIT200006270,3,0,0,0,0,9,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
liebj001,PIT200006280,22,8,2,4,4,98,3,0,5,2,1,0,0,31,29,0,0,0,0,PIT,0,1,1
worrt002,PIT200006280,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,PIT,0,1,0
heref001,PIT200006280,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,PIT,0,1,0
aguir001,PIT200006280,3,1,0,0,0,12,1,0,1,0,0,0,0,4,3,0,1,0,0,PIT,0,1,0
tapak001,PIT200006290,18,3,2,2,1,100,6,1,2,0,0,0,0,22,20,0,0,0,0,PIT,0,1,1
vanpt001,PIT200006290,6,1,0,2,0,29,4,1,0,0,0,0,0,8,8,0,0,0,0,PIT,0,1,0
heref001,PIT200006290,3,0,0,0,0,14,1,0,0,0,0,0,0,3,3,0,0,0,0,PIT,0,1,0
worrt002,PIT200006290,1,3,1,1,1,22,0,0,2,1,0,0,0,5,4,0,0,0,1,PIT,0,1,0
spraj001,PIT200009290,9,7,2,4,4,69,3,0,6,1,0,0,1,19,15,0,1,0,0,PIT,0,1,1
farnk001,PIT200009290,6,1,5,0,0,47,3,0,1,0,0,1,0,12,7,0,0,0,0,PIT,0,1,0
rains001,PIT200009290,5,0,2,1,1,28,1,0,0,0,0,0,0,7,4,0,1,0,0,PIT,0,1,0
ohmaw001,PIT200009290,2,2,1,3,3,22,0,0,2,0,0,0,0,5,4,0,0,0,0,PIT,0,1,0
