advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,22,1,,,,,0,5,BCSBX,parrs001,1,0,,abreb001,0,F
,00,1,,gland001,,,1,6,X,parrs001,0,0,gland001 doubles. ,gland001,0,
gland001 scores. ,01,1,,roles001,,,2,8,FX,parrs001,0,1,roles001 doubles. ,roles001,0,
roles001 scores. ,31,1,,lee-t002,,,3,13,BBCBX,parrs001,0,1,lee-t002 doubles. ,lee-t002,0,
,32,1,burrp001,lee-t002,,,4,21,CFFBBFBB,parrs001,0,0,burrp001 walks. ,burrp001,0,
lee-t002 to 3B. burrp001 out. ,11,1,andem003,,lee-t002,,5,24,FBX,parrs001,1,0,andem003 reaches on fielder's choice. ,andem003,0,
andem003 out. ,12,1,ariaa001,,lee-t002,,6,28,CBFX,parrs001,1,0,ariaa001 reaches on fielder's choice. ,ariaa001,0,
,02,1,,,,,7,4,CFFX,daalo001,1,0,huntb002 grounds out. ,huntb002,1,G
,10,1,,,,,8,6,BX,daalo001,1,0,larkb001 grounds out. ,larkb001,1,G
,22,1,,,,,9,11,BFFBS,daalo001,1,0,cases001 strikes out. ,cases001,1,
,02,2,,,,,10,31,CCX,parrs001,1,0,print001 grounds out. ,print001,0,G
,22,2,,,,,11,36,BBCSL,parrs001,1,0,daalo001 strikes out. ,daalo001,0,F
,21,2,abreb001,,,,12,40,CBBX,parrs001,0,0,abreb001 singles. ,abreb001,0,
,20,2,abreb001,,,,13,43,BBX,parrs001,1,0,gland001 grounds out. ,gland001,0,G
,00,2,bichd001,,,,14,12,X,daalo001,0,0,bichd001 singles. ,bichd001,1,
,32,2,bichd001,,,,15,18,FBBBSX,daalo001,1,0,,yound001,1,F
,01,2,,,,,16,20,FX,daalo001,2,0,Double Play. ,stync001,1,
,31,3,roles001,,,,17,48,BFBBB,parrs001,0,0,roles001 walks. ,roles001,0,
roles001 out. ,21,3,lee-t002,,,,18,52,CBBX,parrs001,1,0,lee-t002 reaches on fielder's choice. ,lee-t002,0,
lee-t002 to 2B. ,12,3,burrp001,lee-t002,,,19,56,CBCX,parrs001,0,0,burrp001 singles. ,burrp001,0,
,00,3,burrp001,lee-t002,,,20,57,X,parrs001,1,0,,andem003,0,
,12,3,burrp001,lee-t002,,,21,61,SCBX,parrs001,1,0,,ariaa001,0,F
,00,3,castj004,,,,22,21,X,daalo001,0,0,castj004 singles. ,castj004,1,
castj004 to 2B. ,20,3,santb001,castj004,,,23,24,BBX,daalo001,0,0,santb001 reaches on error. ,santb001,1,G
castj004 to 3B. santb001 to 2B. ,10,3,,santb001,castj004,,24,26,BX,daalo001,1,0,Sacrifice bunt by parrs001.,parrs001,1,
,32,3,huntb002,santb001,castj004,,25,32,SBBBFB,daalo001,0,0,huntb002 walks. ,huntb002,1,
castj004 scores. santb001 to 3B. huntb002 out. ,12,3,larkb001,,santb001,,26,36,CBSX,daalo001,1,1,larkb001 reaches on fielder's choice. ,larkb001,1,
