id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
joneb003,0,6,6,3,5,5,56,2,2,3,1,0,0,0,15,12,0,0,0,0
joneb004,0,12,1,2,0,0,72,3,0,0,1,0,0,2,17,13,0,0,0,0
cookd001,0,3,0,1,0,0,20,1,0,0,0,0,0,0,4,3,0,0,0,0
wendt001,0,1,2,0,2,2,6,0,0,2,0,0,0,0,3,3,0,0,0,0
franj001,0,0,2,1,3,3,11,0,0,2,0,0,0,0,3,2,0,0,0,0
benia001,0,2,2,0,1,1,12,2,1,0,1,0,0,0,4,4,0,0,0,0
bellr003,1,4,2,4,5,5,45,1,2,0,0,0,1,0,10,6,0,0,0,0
ferno001,1,2,1,0,0,0,11,0,0,1,0,0,0,0,3,3,0,0,0,0
glauk001,1,12,2,1,2,2,56,2,0,1,1,0,0,1,17,15,0,0,0,0
wohlm001,1,3,0,4,1,1,33,0,0,0,0,0,0,0,6,2,0,0,0,0
riedj001,1,3,1,1,0,0,16,0,0,0,0,1,0,0,4,3,0,0,0,0
gravd001,1,3,0,0,0,0,9,0,0,0,0,0,0,0,3,3,0,0,0,0
