version,2
info,visteam,OAK
info,hometeam,CLE
info,site,CLE08
info,date,2000/04/19
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,cedeg901
info,ump1b,hudsm901
info,ump2b,fichm901
info,ump3b,scotd901
info,pitches,pitches
info,temp,54
info,winddir,fromrf
info,windspeed,6
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,226
info,attendance,40531
info,wp,appik001
info,lp,wrigj002
info,save,
start,chrir001,"Ryan Christenson",0,1,8
start,tejam001,"Miguel Tejada",0,2,6
start,giamj001,"Jason Giambi",0,3,10
start,saeno001,"Olmedo Saenz",0,4,3
start,grieb001,"Ben Grieve",0,5,7
start,staim001,"Matt Stairs",0,6,9
start,chave001,"Eric Chavez",0,7,5
start,fasas001,"Sal Fasano",0,8,2
start,velaj001,"Jorge Velandia",0,9,4
start,appik001,"Kevin Appier",0,0,1
start,loftk001,"Kenny Lofton",1,1,8
start,vizqo001,"Omar Vizquel",1,2,6
start,alomr001,"Roberto Alomar",1,3,4
start,ramim002,"Manny Ramirez",1,4,9
start,thomj002,"Jim Thome",1,5,3
start,justd001,"David Justice",1,6,7
start,frymt001,"Travis Fryman",1,7,5
start,cruzj003,"Jacob Cruz",1,8,10
start,diaze002,"Einar Diaz",1,9,2
start,wrigj002,"Jaret Wright",1,0,1
play,1,0,chrir001,22,CBCBC,K/C
play,1,0,tejam001,00,X,9/L9
play,1,0,giamj001,20,BBX,D9
play,1,0,saeno001,10,BX,9/F9
play,1,1,loftk001,32,BCBBCB,W
play,1,1,vizqo001,12,BCCFB,SB2
play,1,1,vizqo001,32,BCCFBFBB,W
play,1,1,alomr001,22,BLFBFX,7/F7
play,1,1,ramim002,11,BCS,WP.2-3
play,1,1,ramim002,22,BCSB+1,PO1(23)
play,1,1,ramim002,32,BCSB+1BS,K
play,2,0,grieb001,31,CBBBB,W
play,2,0,staim001,00,X,43/G.1-2
play,2,0,chave001,11,CBX,T8/8D.2-H
play,2,0,fasas001,31,BFBBB,W
play,2,0,velaj001,22,CBFFFBX,4(1)/FO/G.3-H
play,2,0,chrir001,31,BCBBB,W.1-2
play,2,0,tejam001,22,CBFBS,K
play,2,1,thomj002,21,CBBX,9/F9
play,2,1,justd001,22,SBBFFC,K/C
play,2,1,frymt001,22,BCCBX,D9/9S
play,2,1,cruzj003,30,BBBB,W
play,2,1,diaze002,22,CCBBFX,S7.2-H;1-2
play,2,1,loftk001,00,X,64(1)/FO.2-3
play,3,0,giamj001,01,CX,HR/8
play,3,0,saeno001,12,CFBFX,9/L9
play,3,0,grieb001,20,BBX,HR/9
play,3,0,staim001,31,BBCBX,S9
play,3,0,chave001,32,CBBSBX,43/G.1-2
play,3,0,fasas001,22,BCBFB,WP.2-3
play,3,0,fasas001,32,BCBFBB,W
play,3,0,velaj001,00,X,53/G
play,3,1,vizqo001,31,BLBBB,W
play,3,1,alomr001,02,CFX,S9/9S.1-2
play,3,1,ramim002,00,X,64(1)3/GDP.2-3
play,3,1,thomj002,12,FCFBX,9/F9
play,4,0,chrir001,32,BFBBCX,S8/8S
play,4,0,tejam001,00,X,D9.1-H;B-3(E4/THH)
play,4,0,giamj001,00,,NP
sub,depas001,"Sean DePaula",1,0,1
play,4,0,giamj001,31,BBFBB,W
play,4,0,saeno001,12,CCBC,K/C
play,4,0,grieb001,01,CX,46(1)3/GDP
play,4,1,justd001,11,CBX,8/F8S
play,4,1,frymt001,11,SBX,63/G
play,4,1,cruzj003,10,BX,S
play,4,1,diaze002,01,CX,S8/8S.1-2
play,4,1,loftk001,31,CBBBX,S8.2-H;1-2
play,4,1,vizqo001,11,BCX,8/L8
play,5,0,staim001,20,BBX,HR/9
play,5,0,chave001,12,BCFX,S
play,5,0,fasas001,32,CBBBSB,W.1-2
play,5,0,velaj001,02,CLFX,8/F8
play,5,0,chrir001,32,BCFFBFBB,W.2-3;1-2
play,5,0,tejam001,20,BBX,HR/8.3-H;2-H;1-H
