advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,11,1,damoj001,,,,0,3,CBX,wrigj002,0,0,damoj001 singles. ,damoj001,0,
,12,1,damoj001,,,,1,8,BFCFX,wrigj002,1,0,,feblc001,0,
damoj001 to 2B. ,11,1,,damoj001,,sweem002,2,11,BFB,wrigj002,0,0,Wild Pitch. ,sweem002,0,
damoj001 to 3B. ,21,1,sweem002,,damoj001,,3,15,BFBX,wrigj002,0,0,sweem002 singles. ,sweem002,0,
,02,1,sweem002,,damoj001,,4,18,CFC,wrigj002,1,0,dye-j001 strikes out. ,dye-j001,0,
,20,1,sweem002,,damoj001,,5,21,BBX,wrigj002,1,0,,beltc001,0,F
,21,1,alomr001,,,,6,4,CBBX,durbc001,0,0,alomr001 singles. ,alomr001,1,
alomr001 to 2B. ,01,1,vizqo001,alomr001,,,7,6,CX,durbc001,0,0,vizqo001 singles. ,vizqo001,1,
alomr001 to 3B. vizqo001 to 2B. ,20,1,justd001,vizqo001,alomr001,,8,9,BBX,durbc001,0,0,justd001 singles. ,justd001,1,
alomr001 scores. vizqo001 scores. justd001 scores. ,01,1,,,,,9,11,CX,durbc001,0,4,ramim002 homers. ,ramim002,1,
,21,1,,,,,10,15,BFBX,durbc001,1,0,thomj002 grounds out. ,thomj002,1,G
,12,1,,,,,11,20,CFFBS,durbc001,1,0,sexsr001 strikes out. ,sexsr001,1,
,11,1,,,,,12,23,BFX,durbc001,1,0,frymt001 grounds out. ,frymt001,1,G
,12,2,,,,,13,26,BCFFX,wrigj002,1,0,,randj002,0,P
,22,2,,,,,14,31,BFCBC,wrigj002,1,0,quinm001 strikes out. ,quinm001,0,
,11,2,,,,,15,34,BFX,wrigj002,1,0,,fabrj001,0,F
,02,2,,aloms001,,,16,26,CCX,durbc001,0,0,aloms001 doubles. ,aloms001,1,
aloms001 to 3B. ,00,2,cabrj002,,aloms001,,17,27,X,durbc001,0,0,cabrj002 singles. ,cabrj002,1,G
aloms001 scores. cabrj002 to 2B. ,31,2,alomr001,cabrj002,,,18,32,BBBCX,durbc001,0,1,alomr001 singles. ,alomr001,1,
cabrj002 to 3B. alomr001 to 2B. ,00,2,vizqo001,alomr001,cabrj002,,19,33,X,durbc001,0,0,vizqo001 singles. ,vizqo001,1,G
,02,2,vizqo001,alomr001,cabrj002,,20,36,CCC,durbc001,1,0,justd001 strikes out. ,justd001,1,
cabrj002 scores. alomr001 scores. vizqo001 to 3B. ,10,2,,,vizqo001,ramim002,21,38,B+1,durbc001,0,2,Pickoff error. ,ramim002,1,
,31,2,ramim002,,vizqo001,,22,44,B+1BCBB,durbc001,0,0,ramim002 walks. ,ramim002,1,
vizqo001 scores. ramim002 to 2B. ,00,2,thomj002,ramim002,,,23,45,X,durbc001,0,1,thomj002 singles. ,thomj002,1,
