version,2
info,visteam,DET
info,hometeam,CLE
info,site,CLE08
info,date,2000/06/23
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,katzt901
info,ump1b,morrd901
info,ump2b,danlk901
info,ump3b,mckej901
info,pitches,pitches
info,temp,77
info,winddir,fromcf
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,190
info,attendance,43095
info,wp,blaiw001
info,lp,navaj001
info,save,jonet003
start,polol001,"Luis Polonia",0,1,10
start,ausmb001,"Brad Ausmus",0,2,2
start,higgb001,"Bobby Higginson",0,3,7
start,gonzj002,"Juan Gonzalez",0,4,9
start,palmd002,"Dean Palmer",0,5,5
start,clart002,"Tony Clark",0,6,3
start,easld001,"Damion Easley",0,7,4
start,encaj001,"Juan Encarnacion",0,8,8
start,cruzd001,"Deivi Cruz",0,9,6
start,blaiw001,"Willie Blair",0,0,1
start,loftk001,"Kenny Lofton",1,1,8
start,vizqo001,"Omar Vizquel",1,2,6
start,alomr001,"Roberto Alomar",1,3,4
start,thomj002,"Jim Thome",1,4,3
start,frymt001,"Travis Fryman",1,5,5
start,justd001,"David Justice",1,6,10
start,sexsr001,"Richie Sexson",1,7,7
start,ramia002,"Alex Ramirez",1,8,9
start,aloms001,"Sandy Alomar",1,9,2
start,navaj001,"Jaime Navarro",1,0,1
play,1,0,polol001,02,CFFX,3/L3
play,1,0,ausmb001,21,BCBX,43/G
play,1,0,higgb001,31,CBBBX,D9/9D
play,1,0,gonzj002,11,BCH,HP
play,1,0,palmd002,32,BBCBSB,W.2-3;1-2
play,1,0,clart002,22,CSBBC,K/C
play,1,1,loftk001,10,BX,6/P6
play,1,1,vizqo001,12,LFBX,7/F7S
play,1,1,alomr001,11,BCX,13/G
play,2,0,easld001,00,X,D7/7D
play,2,0,encaj001,11,CBX,63/G.2-3
play,2,0,cruzd001,11,BSX,53/G.3-H
play,2,0,polol001,22,SBCBX,S
play,2,0,ausmb001,00,C,SB2
play,2,0,ausmb001,32,CCBBBFX,63/G
play,2,1,thomj002,22,CBBFFX,9/FL
play,2,1,frymt001,01,CX,53/G
play,2,1,justd001,22,BCSFBX,HR/9
play,2,1,sexsr001,10,BX,53/G
play,3,0,higgb001,22,BBCCX,43/G
play,3,0,gonzj002,02,CFX,D/78D
play,3,0,palmd002,11,CBX,53/G
play,3,0,clart002,00,X,HR/7.2-H
play,3,0,easld001,02,SFX,S
play,3,0,encaj001,22,CFBBX,S9.1-3
play,3,0,cruzd001,01,CX,S9.3-H;1-3
play,3,0,polol001,11,FBX,S/78.3-H;1-3
play,3,0,ausmb001,00,,NP
sub,willb001,"Brian Williams",1,0,1
play,3,0,ausmb001,11,CBX,4/P4
play,3,1,ramia002,22,BBCFX,E5/TH1.B-2
play,3,1,aloms001,32,BFBBFC,K/C
play,3,1,loftk001,01,CX,HR/8.2-H(UR)
play,3,1,vizqo001,12,SBFC,K/C
play,3,1,alomr001,11,BCX,43/G
play,4,0,higgb001,31,BBCBB,W
play,4,0,gonzj002,11,SBX,S.1-2
play,4,0,palmd002,21,BSBX,8/F8D.2-3;1-2
play,4,0,clart002,30,BBII,IW
play,4,0,easld001,00,X,8/F8
play,4,0,encaj001,32,BSCBBX,S8.3-H;2-H;1-3
play,4,0,cruzd001,10,BS,OA.1X2(24)#
play,4,1,thomj002,10,BX,9/F9
play,4,1,frymt001,22,CBBFC,K/C
play,4,1,justd001,12,CFBX,63/G
play,5,0,cruzd001,10,BX,9/F9
play,5,0,polol001,01,CX,S9
play,5,0,ausmb001,00,X,8/F8
play,5,0,higgb001,21,BSBB,SB2
play,5,0,higgb001,31,BSBBB,W
play,5,0,gonzj002,22,BSBFS,K
play,5,1,sexsr001,20,BBX,9/F9D
play,5,1,ramia002,00,X,T/78D
play,5,1,aloms001,00,X,4/L4
play,5,1,loftk001,10,BX,S8.3-H
play,5,1,vizqo001,11,BFX,8/F8
play,6,0,palmd002,00,X,S8
play,6,0,clart002,12,SCBFFX,9/F9
play,6,0,easld001,00,X,7/L7
play,6,0,encaj001,01,CX,S8.1-2
play,6,0,cruzd001,00,X,6/P6
play,6,1,alomr001,32,BBCBCX,63/G
play,6,1,thomj002,32,CFBBBB,W
play,6,1,frymt001,32,CBFBBB,W.1-2
play,6,1,justd001,01,SX,46(1)3/GDP.2-3
play,7,0,polol001,00,,NP
sub,mohlm001,"Mike Mohler",1,0,1
play,7,0,polol001,02,CSFS,K
play,7,0,ausmb001,12,CBFC,K/C
play,7,0,higgb001,12,BSCX,43/G
play,7,1,sexsr001,32,BSBCBS,K
play,7,1,ramia002,12,CCBS,K
play,7,1,aloms001,02,CSX,S9/9S
play,7,1,loftk001,00,,NP
sub,nitkc001,"C.J. Nitkowski",0,0,1
play,7,1,loftk001,31,BFBBX,2/FL
play,8,0,gonzj002,00,,NP
sub,reeds001,"Steve Reed",1,0,1
play,8,0,gonzj002,00,X,53/G
play,8,0,palmd002,32,FCBFBFBB,W
play,8,0,clart002,01,FX,S7.1-2
play,8,0,easld001,22,CBCBX,9/F9
play,8,0,encaj001,12,BSFFC,K/C
play,8,1,vizqo001,00,,NP
sub,halts001,"Shane Halter",0,5,5
play,8,1,vizqo001,00,,NP
sub,brocd001,"Doug Brocail",0,0,1
play,8,1,vizqo001,02,CCX,S9
play,8,1,alomr001,00,X,8/F8D
play,8,1,thomj002,32,BSSBBS,K
play,8,1,frymt001,22,CBFBX,T9/9D.1-H
play,8,1,justd001,12,CCBFX,D9.3-H
play,8,1,sexsr001,12,SFBX,53/G
play,9,0,cruzd001,00,,NP
sub,brewj001,"Jamie Brewington",1,0,1
play,9,0,cruzd001,01,FX,S8
play,9,0,polol001,10,BX,46(1)3/GDP
play,9,0,ausmb001,22,FBFBFX,53/G
play,9,1,ramia002,00,,NP
sub,jonet003,"Todd Jones",0,0,1
play,9,1,ramia002,22,FBCBS,K
play,9,1,aloms001,10,BX,S7
play,9,1,loftk001,00,,NP
sub,cabrj002,"Jolbert Cabrera",1,9,12
play,9,1,loftk001,30,BBBB,W.1-2
play,9,1,vizqo001,02,CFS,K
play,9,1,alomr001,02,CSS,K
data,er,blaiw001,3
data,er,nitkc001,0
data,er,brocd001,2
data,er,jonet003,0
data,er,navaj001,5
data,er,willb001,2
data,er,mohlm001,0
data,er,reeds001,0
data,er,brewj001,0
