id,team,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB
johnm004,0,6,4,2,6,6,44,1,1,2,1,0,0,0,12,10,0,0,0,0
nitkc001,0,12,5,1,1,1,60,5,0,3,2,0,0,0,16,14,0,0,1,0
pattd001,0,3,3,0,1,1,25,0,1,2,0,0,0,0,6,6,0,0,0,0
nomoh001,0,3,0,0,0,0,11,1,0,0,0,0,0,0,3,3,0,0,0,0
brocd001,0,3,0,0,0,0,11,1,0,0,0,0,0,0,3,3,0,0,0,0
rigdp001,1,13,8,0,6,6,81,6,2,4,2,0,0,0,21,21,0,0,0,0
brewj001,1,6,0,2,1,1,36,0,0,0,0,0,0,0,8,5,0,1,0,0
mohlm001,1,0,1,0,1,1,3,0,1,0,0,0,0,0,1,1,0,0,0,0
reeds001,1,0,4,0,4,4,10,0,1,2,1,0,0,0,4,4,0,0,0,0
lorra001,1,8,3,1,2,2,51,3,0,0,3,0,0,0,12,11,0,0,0,0
