version,2
info,visteam,TOR
info,hometeam,CLE
info,site,CLE08
info,date,2000/07/06
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,vanvm901
info,ump1b,coope901
info,ump2b,diazl901
info,ump3b,reilm901
info,pitches,pitches
info,temp,72
info,winddir,fromrf
info,windspeed,13
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,217
info,attendance,43237
info,wp,carpc002
info,lp,burbd001
info,save,kochb001
start,stews002,"Shannon Stewart",0,1,7
start,gonza001,"Alex S. Gonzalez",0,2,6
start,mondr002,"Raul Mondesi",0,3,9
start,delgc001,"Carlos Delgado",0,4,3
start,fullb001,"Brad Fullmer",0,5,10
start,batit001,"Tony Batista",0,6,5
start,fletd001,"Darrin Fletcher",0,7,2
start,cruzj004,"Jose Cruz",0,8,8
start,bushh001,"Homer Bush",0,9,4
start,carpc002,"Chris Carpenter",0,0,1
start,alomr001,"Roberto Alomar",1,1,4
start,vizqo001,"Omar Vizquel",1,2,6
start,leder001,"Ricky Ledee",1,3,7
start,thomj002,"Jim Thome",1,4,3
start,frymt001,"Travis Fryman",1,5,5
start,branr001,"Russell Branyan",1,6,10
start,aloms001,"Sandy Alomar",1,7,2
start,loftk001,"Kenny Lofton",1,8,8
start,ramia002,"Alex Ramirez",1,9,9
start,burbd001,"Dave Burba",1,0,1
play,1,0,stews002,11,BFX,S7
play,1,0,gonza001,22,BCBFX,64(1)/FO
play,1,0,mondr002,32,FBBFBS,K
play,1,0,delgc001,32,CBCFBBFB,W.1-2
play,1,0,fullb001,22,BFFBX,43/G
play,1,1,alomr001,32,CBSBBS,K
play,1,1,vizqo001,21,CBBX,53/G
play,1,1,leder001,21,BCBX,S8
play,1,1,thomj002,02,CSS,K
play,2,0,batit001,12,CBFS,K
play,2,0,fletd001,00,X,6/P6
play,2,0,cruzj004,00,X,43/G
play,2,1,frymt001,22,FBFBFS,K
play,2,1,branr001,31,BBBCX,7/F7S
play,2,1,aloms001,11,FBX,S7
play,2,1,loftk001,00,X,S5/BG5.1-2
play,2,1,ramia002,10,BX,64(1)/FO.2-3
play,3,0,bushh001,22,BBCFX,S
play,3,0,stews002,32,CFBBBX,S9.1-3
play,3,0,gonza001,12,BCFS,K
play,3,0,mondr002,00,X,D7.3-H;1-3
play,3,0,delgc001,20,BBX,S9.3-H;2-H
play,3,0,fullb001,21,BBCX,46(1)3/GDP
play,3,1,alomr001,01,FX,8/F8D
play,3,1,vizqo001,02,LCX,S9
play,3,1,leder001,21,FBBX,D/78D.1-H
play,3,1,thomj002,01,SX,D9/9D.2-H
play,3,1,frymt001,22,SBBFS,K
play,3,1,branr001,31,BBBCB,W
play,3,1,aloms001,22,CSBBFFFS,K
play,4,0,batit001,10,BX,S9
play,4,0,fletd001,31,BBCBX,S8.1-2
play,4,0,cruzj004,31,BBSBB,W.2-3;1-2
play,4,0,bushh001,12,BFFS,K
play,4,0,stews002,00,X,S8.3-H;2-3;1-2
play,4,0,gonza001,22,CBSBFFS,K
play,4,0,mondr002,22,BFSBX,64(1)/FO
play,4,1,loftk001,22,CBFBX,6/P6
play,4,1,ramia002,02,SFX,53/G
play,4,1,alomr001,02,CSX,43/G
play,5,0,delgc001,32,CBCBBX,D7
play,5,0,fullb001,00,X,7/F7
play,5,0,batit001,00,X,5/FL
play,5,0,fletd001,31,BBCBB,W
play,5,0,cruzj004,00,X,8/F8
play,5,1,vizqo001,01,CX,63/G
play,5,1,leder001,10,BX,9/F9
play,5,1,thomj002,00,X,D/78
play,5,1,frymt001,22,SBBFX,S8/8S.2-H
play,5,1,branr001,20,BBX,8/F8
play,6,0,bushh001,00,X,53/G
play,6,0,stews002,22,BFBSX,S
play,6,0,gonza001,00,,NP
sub,cordm001,"Marty Cordova",0,2,11
play,6,0,cordm001,00,X,4/P4
play,6,0,mondr002,10,BB,SB2
play,6,0,mondr002,30,BBBB,W
play,6,0,delgc001,00,,NP
sub,lorra001,"Andrew Lorraine",1,0,1
play,6,0,delgc001,20,BBX,D9.2-H;1-H
play,6,0,fullb001,00,X,8/F8D
play,6,1,aloms001,00,,NP
sub,woodc001,"Chris Woodward",0,2,6
play,6,1,aloms001,01,CX,9/L9
play,6,1,loftk001,32,BFCBBX,T9
play,6,1,ramia002,10,BX,HR/78.3-H
play,6,1,alomr001,22,BSSBFX,4/P4
play,6,1,vizqo001,00,X,S
play,6,1,leder001,00,,NP
sub,borbp001,"Pedro Borbon",0,0,1
play,6,1,leder001,31,BBBCC,SB2
play,6,1,leder001,32,BBBCCFB,W
play,6,1,thomj002,11,BCX,3/G
play,7,0,batit001,00,,NP
sub,speij001,"Justin Speier",1,0,1
play,7,0,batit001,11,BCX,D7/7D
play,7,0,fletd001,02,CFFFH,HP
play,7,0,cruzj004,02,SFFFFFB,PB.2-3
play,7,0,cruzj004,22,SFFFFFBBFFC,K/C
play,7,0,bushh001,32,SFBFBBB,W.1-2
play,7,0,stews002,00,X,8/SF.3-H
play,7,0,woodc001,22,BSBCS,K
play,7,1,frymt001,12,CSBC,K/C
play,7,1,branr001,00,,NP
sub,sexsr001,"Richie Sexson",1,6,11
play,7,1,sexsr001,00,,NP
sub,frasj001,"John Frascatore",0,0,1
play,7,1,sexsr001,11,CBX,HR/8
play,7,1,aloms001,10,BX,S8/8S
play,7,1,loftk001,10,BX,8/F8
play,7,1,ramia002,30,BBBX,S7.1-2
play,7,1,alomr001,11,CBX,6/FL
play,8,0,mondr002,00,X,S
play,8,0,delgc001,11,CBX,3/G.1-2
play,8,0,fullb001,12,BFFX,S9.2-H
play,8,0,batit001,10,BX,54(1)/FO
play,8,0,fletd001,21,BBFX,9/F9
play,8,1,vizqo001,00,,NP
sub,kochb001,"Billy Koch",0,0,1
play,8,1,vizqo001,01,CX,S
play,8,1,leder001,20,BBX,7/F7
