id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
spieb001,0,1,5,5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
biggc001,0,2,4,5,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
bagwj001,0,3,3,4,4,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
berkl001,0,4,9,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
aloum001,0,5,7,4,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hidar001,0,6,8,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
wardd002,0,7,10,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
euset001,0,8,2,4,4,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
lugoj001,0,9,6,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
loftk001,1,1,8,5,4,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
vizqo001,1,2,6,5,4,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
alomr001,1,3,4,5,4,2,0,2,2,0,1,1,0,0,0,2,0,0,1,0,0,1
ramim002,1,4,10,5,4,2,0,2,5,0,0,0,0,2,0,0,0,0,0,0,0,1
thomj002,1,5,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frymt001,1,6,5,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
branr001,1,7,9,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
cabrj002,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sexsr001,1,8,7,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aloms001,1,9,2,4,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
