version,2
info,visteam,SEA
info,hometeam,CLE
info,site,CLE08
info,date,2000/08/20
info,number,0
info,starttime,1:05PM
info,daynight,day
info,usedh,true
info,umphome,gibsg901
info,ump1b,tscht901
info,ump2b,meric901
info,ump3b,ripps901
info,pitches,pitches
info,temp,65
info,winddir,fromrf
info,windspeed,12
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,197
info,attendance,43144
info,wp,burbd001
info,lp,selea001
info,save,
start,hendr001,"Rickey Henderson",0,1,7
start,javis001,"Stan Javier",0,2,9
start,rodra001,"Alex Rodriguez",0,3,6
start,marte001,"Edgar Martinez",0,4,10
start,marta001,"Al Martin",0,5,8
start,olerj001,"John Olerud",0,6,3
start,guilc001,"Carlos Guillen",0,7,5
start,wilsd001,"Dan Wilson",0,8,2
start,belld002,"David Bell",0,9,4
start,selea001,"Aaron Sele",0,0,1
start,loftk001,"Kenny Lofton",1,1,8
start,vizqo001,"Omar Vizquel",1,2,6
start,alomr001,"Roberto Alomar",1,3,4
start,ramim002,"Manny Ramirez",1,4,9
start,thomj002,"Jim Thome",1,5,10
start,segud001,"David Segui",1,6,3
start,frymt001,"Travis Fryman",1,7,5
start,cordw001,"Wil Cordero",1,8,7
start,aloms001,"Sandy Alomar",1,9,2
start,burbd001,"Dave Burba",1,0,1
play,1,0,hendr001,12,FSBC,K/C
play,1,0,javis001,32,BBCCBX,43/G
play,1,0,rodra001,00,X,S/89
play,1,0,marte001,12,CBFX,63/G
play,1,1,loftk001,10,BX,HR/9
play,1,1,vizqo001,01,CX,7/F7
play,1,1,alomr001,21,BBCX,D7
play,1,1,ramim002,32,BBCCFBB,W
play,1,1,thomj002,32,CBBCBFFS,K+CS2(24)/DP
play,2,0,marta001,00,X,S9
play,2,0,olerj001,21,BBCX,S.1-2
play,2,0,guilc001,32,BSBBFS,K+CS3(25)/DP.1-2
play,2,0,wilsd001,32,FFBBBS,K
play,2,1,segud001,10,BX,8/F8D
play,2,1,frymt001,20,BBX,S/78
play,2,1,cordw001,32,FFBFBBFX,S9.1-3
play,2,1,aloms001,32,BBFFBB,W.1-2
play,2,1,loftk001,11,BCX,HR/9.3-H;2-H;1-H
play,2,1,vizqo001,01,CX,43/G
play,2,1,alomr001,12,CFBX,13/G
play,3,0,belld002,20,BBX,63/G
play,3,0,hendr001,32,CBBCBFB,W
play,3,0,javis001,32,CSBBBX,13/G.1-2
play,3,0,rodra001,30,BBBB,W
play,3,0,marte001,32,BBBCFS,K
play,3,1,ramim002,20,BBX,S9
play,3,1,thomj002,32,FBCBBB,W.1-2
play,3,1,segud001,22,BCFBX,46(1)/FO.2-3
play,3,1,frymt001,10,BX,S8.3-H;1-2
play,3,1,cordw001,22,CFBBX,E5/G.2-3;1-2
play,3,1,aloms001,00,X,9/F9S
play,3,1,loftk001,32,CBBFBB,W.3-H(UR);2-3;1-2
play,3,1,vizqo001,00,,NP
sub,tomkb001,"Brett Tomko",0,0,1
play,3,1,vizqo001,00,X,8/L8
play,4,0,marta001,21,FBBX,8/F8
play,4,0,olerj001,10,BX,7/L7
play,4,0,guilc001,00,X,T8/8D
play,4,0,wilsd001,11,SBX,9/F9
play,4,1,alomr001,00,X,9/F9
play,4,1,ramim002,22,BSBFFFX,43/G
play,4,1,thomj002,12,BCSX,E4/G
play,4,1,segud001,11,FBX,S7.1-2
play,4,1,frymt001,30,BBBB,W.2-3;1-2
play,4,1,cordw001,32,FBFFFBBFX,S/89.3-H(UR);2-H(UR);1-3
play,4,1,aloms001,01,CX,54(1)/FO
play,5,0,belld002,10,BX,8/F8
play,5,0,hendr001,02,CCC,K/C
play,5,0,javis001,20,BBX,63/G
play,5,1,loftk001,12,BCCFFX,7/FL
play,5,1,vizqo001,01,FX,S
play,5,1,alomr001,10,BX,4(1)/FO/G
play,5,1,ramim002,32,BCBSBB,W.1-2
play,5,1,thomj002,22,SSBBFX,S9.2-H;1-3
play,5,1,segud001,22,FFBBX,S9/9S.3-H;1-2
play,5,1,frymt001,21,BBFX,3/FL
play,6,0,rodra001,00,,NP
sub,cabrj002,"Jolbert Cabrera",1,3,4
play,6,0,rodra001,00,,NP
sub,selbb001,"Bill Selby",1,4,9
play,6,0,rodra001,00,X,63/G
play,6,0,marte001,22,FCBBX,13/G
play,6,0,marta001,22,FBFBX,D9
play,6,0,olerj001,01,CX,S7.2-H
play,6,0,guilc001,11,CBX,S9/9S.1-2
play,6,0,wilsd001,02,CCX,S/89.2-H;1-3
play,6,0,belld002,12,SBCS,K
play,6,1,cordw001,00,,NP
sub,panij001,"Jose Paniagua",0,0,1
play,6,1,cordw001,11,BSX,S7
play,6,1,aloms001,02,FSX,46(1)/FO
play,6,1,loftk001,31,CBBBB,W.1-2
play,6,1,vizqo001,00,X,6(B)4(2)/LDP
play,7,0,hendr001,10,BX,S/78
play,7,0,javis001,00,X,7/F7
play,7,0,rodra001,22,BCBSX,3/G.1-2
play,7,0,marte001,10,BX,S.2-3
play,7,0,marta001,00,X,4/L4
play,7,1,cabrj002,00,,NP
sub,rhoda001,"Arthur Rhodes",0,0,1
play,7,1,cabrj002,00,X,8/F8
play,7,1,selbb001,22,BBFFS,K
play,7,1,thomj002,00,,NP
sub,perrc001,"Chan Perry",1,5,11
play,7,1,perrc001,02,FFS,K
play,8,0,olerj001,00,,NP
sub,woods001,"Steve Woodard",1,0,1
play,8,0,olerj001,21,BBCX,8/F8S
play,8,0,guilc001,22,SBBFX,31/G
play,8,0,wilsd001,22,BFBSX,3/G
play,8,1,segud001,00,,NP
sub,sasak001,"Kazuhiro Sasaki",0,0,1
play,8,1,segud001,22,BBFCC,K/C
play,8,1,frymt001,10,BX,D7/7D
play,8,1,cordw001,01,SX,D9.2-H
play,8,1,aloms001,12,CBCX,63/G
play,8,1,loftk001,01,CX,53/G
play,9,0,belld002,00,,NP
sub,wickb001,"Bob Wickman",1,0,1
play,9,0,belld002,32,BFBCFFFBB,W
play,9,0,hendr001,32,CBSBFFFBX,E6/G.1-2
play,9,0,javis001,02,FFC,K/C
play,9,0,rodra001,12,BCSX,53/G.2-3;1-2
play,9,0,marte001,22,CFBBX,D/89D.3-H(UR);2-H(UR)
play,9,0,marta001,01,SX,3/L3
data,er,selea001,6
data,er,tomkb001,2
data,er,panij001,0
data,er,rhoda001,0
data,er,sasak001,1
data,er,burbd001,2
data,er,woods001,0
data,er,wickb001,0
