version,2
info,visteam,OAK
info,hometeam,CLE
info,site,CLE08
info,date,2000/08/24
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,true
info,umphome,drakr901
info,ump1b,scotd901
info,ump2b,hudsm901
info,ump3b,cedeg901
info,pitches,pitches
info,temp,74
info,winddir,fromcf
info,windspeed,9
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,231
info,attendance,43276
info,wp,zitob001
info,lp,woods001
info,save,mecij001
start,longt002,"Terrence Long",0,1,8
start,velar001,"Randy Velarde",0,2,4
start,giamj001,"Jason Giambi",0,3,10
start,stanm002,"Mike Stanley",0,4,3
start,grieb001,"Ben Grieve",0,5,7
start,tejam001,"Miguel Tejada",0,6,6
start,staim001,"Matt Stairs",0,7,9
start,chave001,"Eric Chavez",0,8,5
start,fasas001,"Sal Fasano",0,9,2
start,zitob001,"Barry Zito",0,0,1
start,loftk001,"Kenny Lofton",1,1,8
start,vizqo001,"Omar Vizquel",1,2,6
start,alomr001,"Roberto Alomar",1,3,4
start,ramim002,"Manny Ramirez",1,4,9
start,frymt001,"Travis Fryman",1,5,5
start,segud001,"David Segui",1,6,3
start,thomj002,"Jim Thome",1,7,10
start,cordw001,"Wil Cordero",1,8,7
start,aloms001,"Sandy Alomar",1,9,2
start,woods001,"Steve Woodard",1,0,1
play,1,0,longt002,10,BX,3/P3
play,1,0,velar001,21,BBFX,9/F9
play,1,0,giamj001,32,BBCSBB,W
play,1,0,stanm002,22,CSBBX,64(1)/FO
play,1,1,loftk001,32,CBBFBB,W
play,1,1,vizqo001,32,BBCFBB,W.1-2
play,1,1,alomr001,00,X,53/SH.2-3;1-2
play,1,1,ramim002,30,IIII,IW
play,1,1,frymt001,02,CFC,K/C
play,1,1,segud001,20,BBX,S8.3-H;2-H;1-2
play,1,1,thomj002,32,BCBCBB,W.2-3;1-2
play,1,1,cordw001,12,SCBX,64(1)/FO
play,2,0,grieb001,01,FX,S7
play,2,0,tejam001,00,H,HP.1-2
play,2,0,staim001,00,X,S5/BG5.2-3;1-2
play,2,0,chave001,02,CFS,K
play,2,0,fasas001,30,BBBB,W.3-H;2-3;1-2
play,2,0,longt002,31,BBBCX,HR/9.3-H;2-H;1-H
play,2,0,velar001,22,CBSBX,63/G
play,2,0,giamj001,00,X,S/89
play,2,0,stanm002,01,CX,9/F9
play,2,1,aloms001,00,X,63/G
play,2,1,loftk001,02,CCFX,8/F8
play,2,1,vizqo001,02,CCC,K/C
play,3,0,grieb001,10,BX,31/G
play,3,0,tejam001,20,BBX,S8
play,3,0,staim001,10,BX,S9/9S.1-3
play,3,0,chave001,31,CBBBX,E2/G.3-H(NR);1-3;B-2
play,3,0,fasas001,02,CSS,K+WP.B-1
play,3,0,longt002,00,,NP
sub,brewj001,"Jamie Brewington",1,0,1
play,3,0,longt002,10,BX,S8.3-H;2-H(UR);1-2
play,3,0,velar001,32,SBSFBFBC,K/C
play,3,0,giamj001,22,BCSBC,K/C
play,3,1,alomr001,11,FBX,D7/7D
play,3,1,ramim002,22,BBFCFS,K
play,3,1,frymt001,01,SB,WP.2-3
play,3,1,frymt001,11,SBX,4/P4
play,3,1,segud001,32,BFBBFX,8/F8
play,4,0,stanm002,12,BCCS,K
play,4,0,grieb001,31,BBBCB,W
play,4,0,tejam001,00,X,8/F8D
play,4,0,staim001,12,BFCB,SB2
play,4,0,staim001,32,BFCBBX,9/F9
play,4,1,thomj002,31,BBFBB,W
play,4,1,cordw001,22,BSBFC,K/C
play,4,1,aloms001,32,BBSBFFB,W.1-2
play,4,1,loftk001,31,BBBCX,6(B)3(2)/FDP
play,5,0,chave001,20,BBX,43/G
play,5,0,fasas001,01,CX,S9
play,5,0,longt002,22,FFBBX,S7.1-2
play,5,0,velar001,22,CCBBX,7/F7D
play,5,0,giamj001,01,SX,D7/7D.2-H;1-H
play,5,0,stanm002,12,CBFS,K
play,5,1,vizqo001,22,FBFBFS,K
play,5,1,alomr001,22,CBBCX,S7/7S
play,5,1,ramim002,22,SCBBX,D/89D.1-3
play,5,1,frymt001,31,BBBCX,FC5.3XH(52);2-3;B-1#
play,5,1,segud001,22,FBBCS,K
play,6,0,grieb001,32,BBSCBX,8/F8
play,6,0,tejam001,32,BBBCSB,W
play,6,0,staim001,31,BSBBX,S8.1-2
play,6,0,chave001,12,FBFFX,S7.2-H;1-2
play,6,0,fasas001,00,,NP
sub,reeds001,"Steve Reed",1,0,1
play,6,0,fasas001,12,CBCS,K
play,6,0,longt002,12,CBFX,31/G
play,6,1,thomj002,00,,NP
sub,chrir001,"Ryan Christenson",0,5,7
play,6,1,thomj002,20,BBX,E4/TH
play,6,1,cordw001,11,CBX,9/F9
play,6,1,aloms001,22,BSBFX,54(1)3/GDP
play,7,0,velar001,00,,NP
sub,cabrj002,"Jolbert Cabrera",1,1,8
play,7,0,velar001,00,,NP
sub,diaze002,"Einar Diaz",1,5,5
play,7,0,velar001,00,,NP
sub,selbb001,"Bill Selby",1,3,4
play,7,0,velar001,00,,NP
sub,mcdoj003,"John McDonald",1,2,6
play,7,0,velar001,12,CSFBX,3/G
play,7,0,giamj001,31,BBBCB,W
play,7,0,stanm002,11,BFX,4/P4
play,7,0,chrir001,22,CBSFBC,K/C
play,7,1,cabrj002,01,FX,S8
play,7,1,mcdoj003,02,FSC,K/C
play,7,1,selbb001,12,CFBFS,K
play,7,1,ramim002,00,,NP
sub,tam-j001,"Jeff Tam",0,0,1
play,7,1,ramim002,12,BSFX,S7/7S.1-2
play,7,1,diaze002,01,CX,E7/F.2-H(UR);1-2
play,7,1,segud001,32,CBCBBB,W.2-3;1-2
play,7,1,thomj002,32,BBSCFBB,W.3-H(UR);2-3;1-2
play,7,1,cordw001,22,BBFFC,K/C
play,8,0,tejam001,00,,NP
sub,speij001,"Justin Speier",1,0,1
play,8,0,tejam001,02,CFC,K/C
