id,game,IPouts,H,BB,R,ER,PC,K,HR,1B,2B,3B,WP,HBP,PA,AB,BK,SH,SF,IBB,opp,loc,regpost,gs
wrigj002,SLN200006020,14,4,4,4,4,98,5,0,4,0,0,0,1,22,17,0,0,0,0,SLN,0,1,1
watsm001,SLN200006020,1,1,0,0,0,7,0,0,0,0,1,0,0,2,2,0,0,0,0,SLN,0,1,0
brewj001,SLN200006020,3,2,0,1,1,12,0,0,2,0,0,0,0,5,4,0,1,0,0,SLN,0,1,0
martt003,SLN200006020,3,1,0,0,0,16,0,0,1,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
kamis001,SLN200006020,3,0,0,0,0,12,2,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
colob001,SLN200006030,24,3,2,2,2,115,12,0,3,0,0,0,0,30,28,0,0,0,0,SLN,0,1,1
karss001,SLN200006030,3,1,1,0,0,21,0,0,1,0,0,0,0,5,4,0,0,0,0,SLN,0,1,0
browj003,SLN200006040,15,4,4,2,2,108,6,1,3,0,0,1,1,25,20,0,0,0,0,SLN,0,1,1
speij001,SLN200006040,5,1,1,0,0,26,2,0,1,0,0,0,0,7,6,0,0,0,1,SLN,0,1,0
martt003,SLN200006040,1,0,0,0,0,6,1,0,0,0,0,0,0,1,1,0,0,0,0,SLN,0,1,0
reeds001,SLN200006040,3,1,0,0,0,13,0,0,1,0,0,0,0,4,4,0,0,0,0,SLN,0,1,0
karss001,SLN200006040,3,0,0,0,0,8,1,0,0,0,0,0,0,3,3,0,0,0,0,SLN,0,1,0
finlc001,CIN200007070,23,7,4,2,2,116,5,1,4,2,0,0,0,33,28,0,1,0,0,CIN,0,1,1
shuep001,CIN200007070,1,0,1,0,0,10,0,0,0,0,0,0,0,2,1,0,0,0,0,CIN,0,1,0
davik001,CIN200007080,8,5,2,6,6,58,0,3,1,1,0,0,0,15,13,0,0,0,0,CIN,0,1,1
browj003,CIN200007080,7,5,2,3,3,56,1,1,3,1,0,0,0,14,12,0,0,0,0,CIN,0,1,0
lorra001,CIN200007080,4,1,1,1,1,21,0,0,1,0,0,0,0,6,5,0,0,0,0,CIN,0,1,0
reeds001,CIN200007080,2,3,1,2,1,32,0,0,3,0,0,0,0,7,6,0,0,0,0,CIN,0,1,0
brewj001,CIN200007080,3,3,1,2,2,18,0,0,2,1,0,0,0,7,6,0,0,0,0,CIN,0,1,0
colob001,CIN200007090,18,3,2,1,1,96,8,1,1,1,0,0,0,23,21,0,0,0,0,CIN,0,1,1
shuep001,CIN200007090,4,1,1,0,0,22,1,0,1,0,0,0,0,6,5,0,0,0,0,CIN,0,1,0
lorra001,CIN200007090,1,0,0,0,0,6,1,0,0,0,0,0,0,1,1,0,0,0,0,CIN,0,1,0
karss001,CIN200007090,4,3,0,2,2,20,1,0,3,0,0,0,1,8,7,0,0,0,0,CIN,0,1,0
wrigj002,TBA200004070,15,3,6,2,2,92,4,0,0,3,0,0,0,24,17,0,0,1,0,TBA,0,1,1
wittb001,TBA200004070,6,5,0,1,1,39,0,1,4,0,0,0,0,11,11,0,0,0,0,TBA,0,1,0
martt003,TBA200004070,3,0,1,0,0,18,0,0,0,0,0,0,0,4,3,0,0,0,0,TBA,0,1,0
karss001,TBA200004070,3,2,0,2,1,10,0,0,2,0,0,0,1,6,5,0,0,0,0,TBA,0,1,0
burbd001,TBA200004080,18,7,1,4,4,90,7,2,2,3,0,0,0,26,25,0,0,0,0,TBA,0,1,1
kamis001,TBA200004080,2,1,0,0,0,13,0,0,0,1,0,0,0,3,3,0,0,0,0,TBA,0,1,0
shuep001,TBA200004080,4,1,1,0,0,25,2,0,1,0,0,0,0,6,5,0,0,0,0,TBA,0,1,0
karss001,TBA200004080,3,1,0,0,0,13,1,0,1,0,0,0,0,3,3,0,0,0,0,TBA,0,1,0
colob001,TBA200004090,18,5,5,1,1,116,9,0,5,0,0,1,0,27,22,0,0,0,0,TBA,0,1,1
reeds001,TBA200004090,3,3,0,1,1,18,1,0,2,1,0,0,0,5,5,0,0,0,0,TBA,0,1,0
wittb001,TBA200004090,6,3,1,2,2,34,1,0,2,1,0,1,0,10,9,0,0,0,0,TBA,0,1,0
colob001,TBA200008010,18,4,3,3,3,93,8,0,3,1,0,0,0,23,20,0,0,0,0,TBA,0,1,1
shuep001,TBA200008010,3,1,0,1,1,16,1,1,0,0,0,0,0,4,4,0,0,0,0,TBA,0,1,0
karss001,TBA200008010,2,0,2,0,0,18,0,0,0,0,0,0,0,4,2,0,0,0,0,TBA,0,1,0
wickb001,TBA200008010,2,2,2,2,2,25,1,0,2,0,0,0,0,6,3,0,1,0,0,TBA,0,1,0
burbd001,TBA200008020,19,2,2,2,2,90,5,0,2,0,0,0,0,22,20,0,0,0,0,TBA,0,1,1
karss001,TBA200008020,4,2,1,1,1,32,0,0,1,1,0,0,0,7,5,0,0,1,1,TBA,0,1,0
shuep001,TBA200008020,1,1,0,0,0,10,1,0,1,0,0,0,0,2,2,0,0,0,0,TBA,0,1,0
wickb001,TBA200008020,3,0,0,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,TBA,0,1,0
berej002,TBA200008030,24,4,2,1,1,113,8,1,3,0,0,0,0,28,26,0,0,0,0,TBA,0,1,1
wickb001,TBA200008030,3,2,0,0,0,13,0,0,2,0,0,0,0,4,4,0,0,0,0,TBA,0,1,0
finlc001,KCA200006270,15,6,1,1,1,117,4,1,3,2,0,0,0,22,21,0,0,0,0,KCA,0,1,1
speij001,KCA200006270,6,0,0,0,0,24,3,0,0,0,0,0,0,6,6,0,0,0,0,KCA,0,1,0
brewj001,KCA200006270,6,0,0,0,0,28,1,0,0,0,0,0,1,7,6,0,0,0,0,KCA,0,1,0
davik001,KCA200006280,13,8,2,7,6,81,1,0,8,0,0,0,0,24,22,0,0,0,0,KCA,0,1,1
willb001,KCA200006280,8,1,1,1,1,28,1,1,0,0,0,0,0,9,8,0,0,0,0,KCA,0,1,0
lorra001,KCA200006280,3,0,0,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,0,KCA,0,1,0
colob001,KCA200006290,11,2,6,5,5,81,2,2,0,0,0,0,0,18,11,0,0,1,0,KCA,0,1,1
lorra001,KCA200006290,7,1,2,1,1,30,1,1,0,0,0,0,0,10,8,0,0,0,0,KCA,0,1,0
shuep001,KCA200006290,3,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0,KCA,0,1,0
brewj001,KCA200006290,3,1,0,0,0,15,1,0,1,0,0,0,0,4,4,0,0,0,0,KCA,0,1,0
browj003,KCA200009220,12,8,0,2,2,71,1,0,5,3,0,1,0,18,18,0,0,0,0,KCA,0,1,1
nichc002,KCA200009220,5,0,1,0,0,35,0,0,0,0,0,0,2,8,5,0,0,0,0,KCA,0,1,0
reeds001,KCA200009220,3,1,1,0,0,17,0,0,1,0,0,0,0,5,4,0,0,0,0,KCA,0,1,0
karss001,KCA200009220,4,1,0,1,1,23,0,1,0,0,0,0,0,5,5,0,0,0,0,KCA,0,1,0
colob001,KCA200009230,21,2,3,0,0,100,8,0,2,0,0,0,0,26,23,0,0,0,0,KCA,0,1,1
speij001,KCA200009230,3,1,0,0,0,9,1,0,1,0,0,0,0,3,3,0,0,0,0,KCA,0,1,0
martt003,KCA200009230,3,1,1,1,1,19,0,0,0,1,0,0,0,5,3,0,0,1,0,KCA,0,1,0
nagyc001,KCA200009240,8,4,2,6,6,40,1,0,4,0,0,0,0,14,9,0,2,1,0,KCA,0,1,1
brewj001,KCA200009240,7,3,3,0,0,57,2,0,3,0,0,0,0,13,10,0,0,0,0,KCA,0,1,0
nichc002,KCA200009240,4,3,1,2,2,26,0,0,2,1,0,0,0,7,6,0,0,0,0,KCA,0,1,0
cairc001,KCA200009240,2,1,0,0,0,14,1,0,1,0,0,0,0,3,3,0,0,0,0,KCA,0,1,0
hanec001,KCA200009240,3,1,1,1,1,19,0,0,1,0,0,0,0,5,3,0,0,1,0,KCA,0,1,0
finlc001,TOR200005040,15,6,4,7,7,105,5,1,3,2,0,1,0,24,20,0,0,0,0,TOR,0,1,1
depas001,TOR200005040,6,1,2,0,0,39,2,0,1,0,0,0,0,9,7,0,0,0,0,TOR,0,1,0
reeds001,TOR200005040,3,3,1,1,1,30,2,0,3,0,0,0,0,7,6,0,0,0,0,TOR,0,1,0
nagyc001,TOR200005050,12,8,1,7,7,84,5,3,4,1,0,1,0,22,21,0,0,0,0,TOR,0,1,1
martt003,TOR200005050,4,1,1,2,2,25,2,1,0,0,0,0,0,6,5,0,0,0,0,TOR,0,1,0
kamis001,TOR200005050,2,0,0,0,0,7,1,0,0,0,0,0,0,2,2,0,0,0,0,TOR,0,1,0
rincr001,TOR200005050,3,1,0,0,0,10,0,0,1,0,0,0,0,4,4,0,0,0,0,TOR,0,1,0
shuep001,TOR200005050,5,3,1,2,2,42,5,1,2,0,0,0,0,9,8,0,0,0,0,TOR,0,1,0
wrigj002,TOR200005060,18,7,3,5,5,86,3,2,3,2,0,0,0,26,23,0,0,0,0,TOR,0,1,1
kamis001,TOR200005060,2,1,2,1,0,28,1,0,0,1,0,0,0,5,3,0,0,0,1,TOR,0,1,0
rincr001,TOR200005060,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,TOR,0,1,0
depas001,TOR200005060,3,0,0,0,0,11,2,0,0,0,0,0,0,3,3,0,0,0,0,TOR,0,1,0
karss001,TOR200005060,3,2,0,0,0,13,0,0,2,0,0,0,0,4,4,0,0,0,0,TOR,0,1,0
wittb001,TOR200005070,5,8,2,6,6,53,1,2,4,2,0,0,0,14,12,0,0,0,0,TOR,0,1,1
reeds001,TOR200005070,6,0,1,1,1,29,2,0,0,0,0,0,0,7,6,0,0,0,0,TOR,0,1,0
martt003,TOR200005070,8,3,0,1,1,40,2,0,2,1,0,0,0,11,11,0,0,0,0,TOR,0,1,0
kamis001,TOR200005070,6,1,0,0,0,24,3,0,1,0,0,0,0,7,7,0,0,0,0,TOR,0,1,0
rincr001,TOR200005070,1,1,0,0,0,6,0,0,1,0,0,0,0,2,2,0,0,0,0,TOR,0,1,0
shuep001,TOR200005070,7,2,2,0,0,48,2,0,2,0,0,0,0,11,8,0,1,0,1,TOR,0,1,0
karss001,TOR200005070,3,1,0,0,0,18,1,0,1,0,0,0,0,4,4,0,0,0,0,TOR,0,1,0
finlc001,TOR200007250,17,7,3,2,2,104,7,0,6,1,0,1,0,24,21,0,0,0,0,TOR,0,1,1
speij001,TOR200007250,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,TOR,0,1,0
cairc001,TOR200007250,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,TOR,0,1,0
reeds001,TOR200007250,3,0,0,0,0,13,0,0,0,0,0,0,0,3,3,0,0,0,0,TOR,0,1,0
shuep001,TOR200007250,3,1,0,0,0,18,1,0,0,1,0,0,0,4,4,0,0,0,0,TOR,0,1,0
brewj001,TOR200007250,3,1,1,1,1,24,1,0,0,1,0,0,0,5,4,0,0,0,0,TOR,0,1,0
colob001,TOR200007260,16,6,5,7,7,117,10,4,1,1,0,0,0,25,20,0,0,0,0,TOR,0,1,1
navaj001,TOR200007260,5,2,0,1,1,24,1,0,1,1,0,0,0,7,7,0,0,0,0,TOR,0,1,0
karss001,TOR200007260,3,1,0,0,0,17,3,0,1,0,0,0,0,4,4,0,0,0,0,TOR,0,1,0
burbd001,CLE200004140,12,9,3,6,6,80,4,2,4,3,0,0,0,23,20,0,0,0,1,CLE,0,1,1
wittb001,CLE200004140,9,2,0,0,0,49,1,0,2,0,0,0,0,11,11,0,0,0,0,CLE,0,1,0
reeds001,CLE200004140,3,3,0,1,1,19,1,1,1,1,0,1,0,5,5,0,0,0,0,CLE,0,1,0
martt003,CLE200004140,3,0,0,0,0,19,1,0,0,0,0,0,0,4,4,0,0,0,0,CLE,0,1,0
colob001,CLE200004150,10,9,2,6,6,83,3,0,6,2,1,0,0,21,19,0,0,0,0,CLE,0,1,1
martt003,CLE200004150,7,1,1,0,0,29,1,0,1,0,0,0,0,9,8,0,0,0,0,CLE,0,1,0
rincr001,CLE200004150,2,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,CLE,0,1,0
reeds001,CLE200004150,2,1,1,0,0,15,1,0,1,0,0,0,0,4,3,0,0,0,1,CLE,0,1,0
karss001,CLE200004150,3,0,0,0,0,12,2,0,0,0,0,0,0,3,3,0,0,0,0,CLE,0,1,0
shuep001,CLE200004150,3,0,1,0,0,16,1,0,0,0,0,0,0,4,3,0,0,0,0,CLE,0,1,0
finlc001,CLE200004160,27,5,4,1,0,132,13,0,5,0,0,0,0,35,31,0,0,0,0,CLE,0,1,1
nagyc001,CLE200004180,17,7,4,6,6,101,6,0,4,2,1,0,0,28,24,0,0,0,1,CLE,0,1,1
kamis001,CLE200004180,7,1,1,0,0,34,3,0,1,0,0,0,0,9,8,0,0,0,0,CLE,0,1,0
reeds001,CLE200004180,0,1,1,2,2,13,0,1,0,0,0,0,0,3,2,0,0,0,0,CLE,0,1,0
martt003,CLE200004180,3,0,2,0,0,21,1,0,0,0,0,0,0,4,2,0,0,0,0,CLE,0,1,0
wrigj002,CLE200004190,9,7,4,5,5,82,2,2,2,2,1,1,0,20,16,0,0,0,0,CLE,0,1,1
depas001,CLE200004190,6,3,3,5,5,47,1,2,1,0,0,0,0,11,8,0,0,0,0,CLE,0,1,0
martt003,CLE200004190,6,0,1,0,0,23,1,0,0,0,0,0,0,7,6,0,0,0,0,CLE,0,1,0
rincr001,CLE200004190,3,0,0,0,0,10,0,0,0,0,0,0,1,4,3,0,0,0,0,CLE,0,1,0
karss001,CLE200004190,3,2,0,0,0,15,0,0,2,0,0,0,0,5,5,0,0,0,0,CLE,0,1,0
burbd001,CLE200004200,15,5,2,2,2,85,9,0,2,3,0,1,0,22,19,0,0,1,0,CLE,0,1,1
kamis001,CLE200004200,4,6,1,2,2,41,1,1,5,0,0,0,0,10,9,0,0,0,0,CLE,0,1,0
rincr001,CLE200004200,2,0,0,0,0,7,2,0,0,0,0,0,0,2,2,0,0,0,0,CLE,0,1,0
shuep001,CLE200004200,3,2,1,1,0,24,1,0,2,0,0,0,0,6,5,0,0,0,0,CLE,0,1,0
karss001,CLE200004200,3,2,0,0,0,16,2,0,2,0,0,0,0,5,5,0,0,0,0,CLE,0,1,0
burbd001,CLE200004280,18,6,5,3,3,110,3,0,5,1,0,0,0,28,22,0,0,1,0,CLE,0,1,1
rincr001,CLE200004280,2,0,0,0,0,10,2,0,0,0,0,0,0,2,2,0,0,0,0,CLE,0,1,0
kamis001,CLE200004280,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,CLE,0,1,0
shuep001,CLE200004280,3,0,0,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,0,CLE,0,1,0
karss001,CLE200004280,3,1,0,0,0,20,0,0,1,0,0,0,0,4,4,0,0,0,0,CLE,0,1,0
finlc001,CLE200004290,23,5,2,2,2,112,7,1,2,2,0,0,0,29,27,0,0,0,0,CLE,0,1,1
shuep001,CLE200004290,1,0,1,0,0,9,0,0,0,0,0,0,0,2,1,0,0,0,0,CLE,0,1,0
karss001,CLE200004290,3,0,0,0,0,14,1,0,0,0,0,0,0,3,3,0,0,0,0,CLE,0,1,0
nagyc001,CLE200004300,24,6,0,2,2,101,5,1,4,1,0,0,1,31,29,0,1,0,0,CLE,0,1,1
depas001,CLE200004300,3,1,1,0,0,21,2,0,1,0,0,0,0,5,4,0,0,0,1,CLE,0,1,0
wrigj002,CLE200005010,24,6,3,2,2,122,5,0,3,3,0,0,0,30,27,0,0,0,0,CLE,0,1,1
rincr001,CLE200005010,0,2,0,0,0,11,0,0,2,0,0,0,0,2,2,0,0,0,0,CLE,0,1,0
kamis001,CLE200005010,3,0,1,0,0,11,0,0,0,0,0,0,0,3,2,0,0,0,1,CLE,0,1,0
wittb001,CLE200005020,12,8,0,3,3,63,1,1,5,2,0,0,0,18,18,0,0,0,0,CLE,0,1,1
martt003,CLE200005020,5,1,2,0,0,32,2,0,1,0,0,1,0,7,5,0,0,0,1,CLE,0,1,0
reeds001,CLE200005020,3,1,0,1,1,18,1,1,0,0,0,0,0,4,4,0,0,0,0,CLE,0,1,0
rincr001,CLE200005020,3,0,0,0,0,18,1,0,0,0,0,0,0,3,3,0,0,0,0,CLE,0,1,0
depas001,CLE200005020,4,0,0,0,0,16,2,0,0,0,0,0,0,4,4,0,0,0,0,CLE,0,1,0
burbd001,CLE200005030,21,3,2,2,2,109,8,1,1,0,1,0,0,26,24,0,0,0,0,CLE,0,1,1
shuep001,CLE200005030,3,3,0,2,2,24,1,0,2,1,0,0,0,6,6,0,0,0,0,CLE,0,1,0
karss001,CLE200005030,2,3,1,2,2,25,1,0,1,1,1,0,0,6,5,0,0,0,0,CLE,0,1,0
martt003,CLE200005030,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,CLE,0,1,0
wrigj002,CLE200005110,23,4,2,0,0,103,4,0,4,0,0,1,0,28,26,0,0,0,0,CLE,0,1,1
reeds001,CLE200005110,4,1,0,0,0,15,1,0,1,0,0,0,0,5,5,0,0,0,0,CLE,0,1,0
colob001,CLE200005120,18,3,2,2,2,84,8,0,3,0,0,0,1,24,21,0,0,0,0,CLE,0,1,1
kamis001,CLE200005120,3,2,1,1,1,21,1,0,1,1,0,1,0,6,5,0,0,0,0,CLE,0,1,0
shuep001,CLE200005120,6,0,0,0,0,27,2,0,0,0,0,0,1,7,6,0,0,0,0,CLE,0,1,0
burbd001,CLE200005130,21,7,4,5,5,127,9,0,4,3,0,1,0,31,25,0,1,1,0,CLE,0,1,1
depas001,CLE200005130,6,1,1,0,0,39,1,0,1,0,0,0,0,8,7,0,0,0,0,CLE,0,1,0
karss001,CLE200005130,6,0,0,0,0,23,4,0,0,0,0,0,0,6,6,0,0,0,0,CLE,0,1,0
reeds001,CLE200005130,3,1,1,1,1,13,0,0,0,1,0,0,0,5,3,1,1,0,0,CLE,0,1,0
finlc001,CLE200005140,21,6,5,3,3,129,6,0,2,4,0,1,0,31,26,0,0,0,0,CLE,0,1,1
kamis001,CLE200005140,3,1,1,1,1,20,1,1,0,0,0,0,0,5,4,0,0,0,0,CLE,0,1,0
rincr001,CLE200005140,3,1,1,1,1,18,1,0,1,0,0,0,0,5,4,0,0,0,0,CLE,0,1,0
nagyc001,CLE200005160,15,8,0,5,4,100,3,3,3,1,1,0,0,24,24,0,0,0,0,CLE,0,1,1
depas001,CLE200005160,2,3,1,2,2,26,0,1,2,0,0,0,0,6,4,0,0,1,0,CLE,0,1,0
reeds001,CLE200005160,1,0,1,0,0,6,0,0,0,0,0,0,0,2,1,0,0,0,0,CLE,0,1,0
rincr001,CLE200005160,1,1,1,0,0,9,0,0,0,1,0,0,0,3,2,0,0,0,0,CLE,0,1,0
shuep001,CLE200005160,4,3,0,2,2,20,0,1,2,0,0,0,0,6,6,0,0,0,0,CLE,0,1,0
