advance_str,count_on_batter,inning,on-1,on-2,on-3,on-B,order,pitch_count,pitch_str,pitcher,play_outs,play_runs,play_str,player_id,team,trajectory
,31,1,,,,,0,5,BCBBX,astap001,1,0,hendr001 grounds out. ,hendr001,0,G
,00,1,belld001,,,,1,6,X,astap001,0,0,belld001 singles. ,belld001,0,
belld001 to 2B. ,10,1,alfoe001,belld001,,,2,8,BX,astap001,0,0,alfoe001 singles. ,alfoe001,0,
belld001 to 3B. alfoe001 out. ,10,1,piazm001,,belld001,,3,10,BX,astap001,1,0,piazm001 reaches on fielder's choice. ,piazm001,0,
piazm001 to 2B. ,31,1,ventr001,piazm001,belld001,,4,15,BBBCB,astap001,0,0,ventr001 walks. ,ventr001,0,
ventr001 out. ,21,1,zeilt001,piazm001,belld001,,5,19,BCBX,astap001,1,0,zeilt001 reaches on fielder's choice. ,zeilt001,0,
,00,1,,,,,6,1,X,hampm001,1,0,huntb002 grounds out. ,huntb002,1,G
,32,1,,,,,7,7,BCCBBX,hampm001,1,0,,lansm001,1,F
,00,1,,,,,8,8,X,hampm001,1,0,walkl001 grounds out. ,walkl001,1,G
,11,2,,,,,9,22,FBX,astap001,1,0,paytj001 grounds out. ,paytj001,0,G
,11,2,ordor001,,,,10,25,CBX,astap001,0,0,ordor001 singles. ,ordor001,0,
ordor001 out. ,02,2,hampm001,,,,11,28,CLX,astap001,1,0,hampm001 reaches on fielder's choice. ,hampm001,0,
,31,2,hampm001,,,,12,33,BBCBX,astap001,1,0,,hendr001,0,F
,10,2,,,,,13,10,BX,hampm001,1,0,cirij001 grounds out. ,cirij001,1,G
,21,2,,heltt001,,,14,14,BBCX,hampm001,0,0,heltt001 doubles. ,heltt001,1,
,32,2,hammj001,heltt001,,,15,21,CCBBFBB,hampm001,0,0,hammj001 walks. ,hammj001,1,
heltt001 to 3B. hammj001 to 2B. ,11,2,,hammj001,heltt001,,16,24,CBX,hampm001,1,0,peren001 grounds out. ,peren001,1,G
,11,2,,hammj001,heltt001,,17,27,BCX,hampm001,1,0,maynb001 grounds out. ,maynb001,1,G
,20,3,belld001,,,,18,36,BBX,astap001,0,0,belld001 singles. ,belld001,0,
,00,3,belld001,,,,19,37,X,astap001,1,0,,alfoe001,0,L
,01,3,,,,piazm001,20,39,SS,astap001,1,0,belld001 caught stealing. ,piazm001,0,
,02,3,,,,,21,42,SSS,astap001,1,0,piazm001 strikes out. ,piazm001,0,
,11,3,,,,,22,30,BFX,hampm001,1,0,astap001 grounds out. ,astap001,1,G
,31,3,huntb002,,,,23,35,BBBCB,hampm001,0,0,huntb002 walks. ,huntb002,1,
,21,3,,huntb002,,lansm001,24,39,BCBB,hampm001,0,0,huntb002 steals 2B. ,lansm001,1,
,31,3,lansm001,huntb002,,,25,44,BCBBB,hampm001,0,0,lansm001 walks. ,lansm001,1,
huntb002 scores. lansm001 scores. ,22,3,,,walkl001,,26,55,BFBSFFFFFFX,hampm001,0,2,walkl001 triples. ,walkl001,1,
walkl001 scores. ,00,3,cirij001,,,,27,56,X,hampm001,0,1,cirij001 singles. ,cirij001,1,
cirij001 scores. ,22,3,,,heltt001,,28,63,CBSBFFX,hampm001,0,1,heltt001 triples. ,heltt001,1,
heltt001 scores. ,01,3,hammj001,,,,29,65,SX,hampm001,0,1,hammj001 singles. ,hammj001,1,
hammj001 to 3B. ,20,3,,peren001,hammj001,,30,68,BBX,hampm001,0,0,peren001 doubles. ,peren001,1,
hammj001 scores. ,01,3,,peren001,,,31,70,FX,hampm001,1,1,maynb001 hits sacrifice fly. ,maynb001,1,
,01,3,,peren001,,,32,72,SX,hampm001,1,0,astap001 grounds out. ,astap001,1,G
