version,2
info,visteam,MON
info,hometeam,COL
info,site,DEN02
info,date,2000/05/01
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,false
info,umphome,wintm901
info,ump1b,culbf901
info,ump2b,welkb901
info,ump3b,froeb901
info,pitches,pitches
info,temp,65
info,winddir,rtol
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,195
info,attendance,35104
info,wp,whitg001
info,lp,hermd001
info,save,
start,cabro001,"Orlando Cabrera",0,1,6
start,bergp001,"Peter Bergeron",0,2,8
start,whitr001,"Rondell White",0,3,7
start,guerv001,"Vladimir Guerrero",0,4,9
start,stevl001,"Lee Stevens",0,5,3
start,vidrj001,"Jose Vidro",0,6,4
start,widgc001,"Chris Widger",0,7,2
start,barrm003,"Michael Barrett",0,8,5
start,hermd001,"Dustin Hermanson",0,9,1
start,goodt001,"Tom Goodwin",1,1,8
start,shumt001,"Terry Shumpert",1,2,4
start,walkl001,"Larry Walker",1,3,9
start,cirij001,"Jeff Cirillo",1,4,5
start,heltt001,"Todd Helton",1,5,3
start,hammj001,"Jeffrey Hammonds",1,6,7
start,peren001,"Neifi Perez",1,7,6
start,maynb001,"Brent Mayne",1,8,2
start,jarvk001,"Kevin Jarvis",1,9,1
play,1,0,cabro001,11,FBX,8/F8D
play,1,0,bergp001,00,X,D7/7D
play,1,0,whitr001,32,FBFBFBFX,53/G
play,1,0,guerv001,10,BX,63/G
play,1,1,goodt001,22,CBBCC,K/C
play,1,1,shumt001,22,CBBFFC,K/C
play,1,1,walkl001,30,BBBB,W
play,1,1,cirij001,10,BX,63/G
play,2,0,stevl001,00,X,S9
play,2,0,vidrj001,00,B,WP.1-2
play,2,0,vidrj001,12,BCFC,K/C
play,2,0,widgc001,32,BFFBBC,K/C
play,2,0,barrm003,30,IIII,IW
play,2,0,hermd001,11,SBX,S9/9S.2-3;1-2
play,2,0,cabro001,10,BX,3/G
play,2,1,heltt001,22,FBFBFX,43/G
play,2,1,hammj001,22,SBBSS,K
play,2,1,peren001,02,FFFX,S9
play,2,1,maynb001,22,BBFFX,13/G
play,3,0,bergp001,12,CCFFBX,D9/9S
play,3,0,whitr001,12,CBCX,9/F9D.2-3
play,3,0,guerv001,00,X,63/G.3-H
play,3,0,stevl001,30,BBBB,W
play,3,0,vidrj001,00,X,8/F8
play,3,1,jarvk001,12,CSFBC,K/C
play,3,1,goodt001,32,CBCBBFB,W
play,3,1,shumt001,00,B,SB2
play,3,1,shumt001,21,BBSS,PB.2-3
play,3,1,shumt001,22,BBSSX,6/SF.3-H
play,3,1,walkl001,01,CX,D7
play,3,1,cirij001,21,BBCX,D/78.2-H
play,3,1,heltt001,02,CFFX,HR/9.2-H
play,3,1,hammj001,00,X,HR/9
play,3,1,peren001,12,BFCX,53/G
play,4,0,widgc001,01,CX,HR/8
play,4,0,barrm003,00,X,S8/8S
play,4,0,hermd001,02,SLX,54/SH.1-2
play,4,0,cabro001,00,X,S7.2-3
play,4,0,bergp001,00,X,HR/9.3-H;1-H
play,4,0,whitr001,11,FBX,S
play,4,0,guerv001,00,X,S9.1-2
play,4,0,stevl001,21,BBSX,36(1)1/GDP
play,4,1,maynb001,00,X,31/G
play,4,1,jarvk001,00,X,143/G
play,4,1,goodt001,32,BCBCFFFFFBFX,S8
play,4,1,shumt001,00,C,CS2(24)
play,5,0,vidrj001,02,FFX,HR/8
play,5,0,widgc001,00,X,HR/8
play,5,0,barrm003,00,,NP
sub,whitg001,"Gabe White",1,9,1
play,5,0,barrm003,00,X,53/G
play,5,0,hermd001,11,BFX,43/G
play,5,0,cabro001,11,BCX,8/F8
play,5,1,shumt001,12,CBSX,7/F7
play,5,1,walkl001,00,X,S8
play,5,1,cirij001,31,BBFBX,S/78.1-3
play,5,1,heltt001,20,BBB,WP.3-H;1-2
play,5,1,heltt001,32,BBBFFFX,HR/7.2-H
play,5,1,hammj001,10,BX,S8
play,5,1,peren001,00,,NP
sub,blanm001,"Matt Blank",0,9,1
play,5,1,peren001,21,BCBX,46(1)/FO
play,5,1,maynb001,32,SCBBFBFB,W.1-2
play,5,1,whitg001,00,,NP
sub,ledea001,"Aaron Ledesma",1,9,11
play,5,1,ledea001,30,BBBB,W.2-3;1-2
play,5,1,goodt001,32,CBFBFBX,43/G
play,6,0,bergp001,00,,NP
sub,tavaj001,"Julian Tavarez",1,9,1
play,6,0,bergp001,00,X,63/G
play,6,0,whitr001,32,BBCFFBB,W
play,6,0,guerv001,10,BX,S/78S.1-2
play,6,0,stevl001,22,SBSFBFS,K
play,6,0,vidrj001,11,CBX,36(1)/FO.2-3
play,6,1,shumt001,20,BBX,S5/BG5
play,6,1,walkl001,12,FFBX,HR/9.1-H
play,6,1,cirij001,21,BBCX,63/G
play,6,1,heltt001,32,CBBBCX,S9
play,6,1,hammj001,00,,NP
sub,telfa001,"Anthony Telford",0,6,1
play,6,1,hammj001,00,,NP
sub,blumg001,"Geoff Blum",0,9,4
play,6,1,hammj001,32,CFBBBX,S7.1-3
play,6,1,peren001,21,BFBX,E9/SF.3-H;1-2
play,6,1,maynb001,10,BX,S9.2-H;1-2
play,6,1,tavaj001,01,FX,14/SH.2-3;1-2
play,6,1,goodt001,21,FBBX,D/89D.3-H(UR);2-H(UR)
play,6,1,shumt001,00,X,53/G
play,7,0,widgc001,12,CBCS,K
play,7,0,barrm003,20,BBX,53/G
play,7,0,blumg001,20,BBX,3/G
play,7,1,walkl001,00,,NP
sub,websl001,"Lenny Webster",0,7,2
play,7,1,walkl001,01,SX,43/G
play,7,1,cirij001,00,X,43/G
play,7,1,heltt001,21,BFBX,HR/9
play,7,1,hammj001,32,BFBSBFFS,K
play,8,0,cabro001,22,FBFBX,53/G
play,8,0,bergp001,22,BCBFX,63/G
play,8,0,whitr001,10,BX,HR/9
play,8,0,guerv001,10,BX,9/F9
play,8,1,peren001,00,,NP
sub,jonet004,"Terry Jones",0,3,7
play,8,1,peren001,00,,NP
sub,guerw001,"Wilton Guerrero",0,6,9
play,8,1,peren001,00,,NP
sub,rigbb001,"Brad Rigby",0,4,1
play,8,1,peren001,01,CX,63/G
play,8,1,maynb001,30,BBBB,W
play,8,1,tavaj001,00,,NP
sub,bragd001,"Darren Bragg",1,9,11
play,8,1,bragd001,32,BFBFBX,S9/9S.1-2
play,8,1,goodt001,10,BX,36(1)/FO.2-3
play,8,1,shumt001,32,BBCFBB,W.1-2
play,8,1,walkl001,00,X,46(1)/FO
play,9,0,stevl001,00,,NP
sub,dejem001,"Mike DeJean",1,9,1
play,9,0,stevl001,00,X,43/G
play,9,0,guerw001,10,BX,43/G
play,9,0,websl001,31,BBBCX,D7
play,9,0,barrm003,01,CX,43/G
data,er,hermd001,8
data,er,blanm001,3
data,er,telfa001,2
