id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
spieb001,0,1,6,5,4,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
biggc001,0,2,4,5,4,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0
bagwj001,0,3,3,5,2,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
camik001,0,4,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lugoj001,0,4,11,4,3,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
aloum001,0,5,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hidar001,0,6,8,5,4,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
berkl001,0,7,9,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
wagnb001,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
euset001,0,8,2,4,4,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
doteo001,0,9,1,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
perey001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valdm001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wardd002,0,9,11,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
barkg001,0,9,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goodt001,1,1,8,4,4,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
lansm001,1,2,4,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
walkl001,1,3,7,4,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
cirij001,1,4,5,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
heltt001,1,5,3,4,3,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
hammj001,1,6,9,4,4,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
shumt001,1,7,6,3,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
dejem001,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whitg001,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jimej001,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
huntb002,1,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
servs002,1,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maynb001,1,8,11,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jarvk001,1,9,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peren001,1,9,11,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
